ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
இவ்வகையான நிரல்கள் வழு நிறைந்தவை (buggy) என அழைக்கப்படுகின்றன.	Ivvagaiyaana niralgal vazhu niranthanthavai (buggy) yena azhaikkappadukinrana.
ஒரிசா அரசு தேசிய நெடுஞ்சாலை 5 இலிருந்து ஓர் நான்கு வழிப்பாதையை இ.	Orisa arasu desiya nedunjsaalai 5 ilirundhu or naangu vazhippaathaiyai E.
காலில் இருந்து வெளியேறாமல் தடுக்கவும், பாதுகாப்புடன் கூடியவை இவ்வகை செருப்புகள்.	Kaalil irundhu veliyeraamal thadukkavum, pathukaappudan koodiyavai ivvagai seruppukal.
வாழ்க்கையே ஒரு வழிபாடு	Vaazhkkaiye oru vazhipaadu
முன்னதாக ஐதராபாத்தின் பேகம்பட் பகுதியில் உள்ள ஐதராபாத்து பொதுப் பள்ளியில் பயின்றார்.	Munnathaaga Hyderabaththin begampat paguthiyil ulla Hyderabad pothup palliyil payinraar.
மன்னவர் மன்னவர் வேந்தன் வழுதி பராந்தக நாதன் வரக் குரன்	Mannavar mannavar Venthan vazhuthi paraanthaga naathan varak kuran
கடலிலிருந்து முட்டையிடுவதற்காகக் கடற்கரையை நோக்கி இரவில் வரும்.	Kadalilirundhu muttaiyiduvatharkaagak kadarkaraiyai nokki iravil varum.
ஐ.எம்.டி.பி இணையத்தளத்தில் பவுல் பெட்டனி	I.M.T.B inaiyaththalaththil pavul pettani
சாதாரண நடவு முறை, மற்றும் திருந்திய நெல் சாகுபடி (ஒற்றை நடவு முறை) முறைக்கு உகந்ததான இது, சாதாரண அளவில் ஏக்கருக்கு முப்பது கிலோவும், திருந்திய நெல் சாகுபடிக்குத் தரமான இரண்டுக் கிலோ விதையும் போதுமானது எனக் கருதப்படுகிறது.	Saathaarana nadavu murai, mattrum thirunthiya nel saagupadi (ottrai nadavu murai) muraikku uganthathaana ithu, saathaarana alavil yekkarukku muppathu kilovum, thirunthiya nel saagupadikkuth tharamaana iranduk kilo vithaiyum pothumaanathu yenak karuthappadugirathu.
இது கடலுக்குள் இருக்கும் ஒரு ஆறு போன்றது.	Ithu kadalukkul irukkum oru aaru pondrathu.
தேமாங்கனி, புளிமாங்கனி, கருவிளங்கனி, கூவிளங்கனி என்ற வாய்பாட்டால் அமையப்பெறும் நான்கு சீர்களும் வஞ்சிச் சீர்களுக்கு உதாரணங்கள் ஆகும்.	Themaangani, pulimaangani, karuvilangani, koovilangani yendra vaaypaattal amaiyapperum naangu seergalum vanjik seergalukku uthaaranangal aagum.
சுசான்னி டபுள்யூ. தவுர்தெல்லோத்தி	Susanni W. thavurthelloththi
நட்சத்திர ஜன்னல்	Natchaththira jannal
அவருடைய மனைவியான டாக்டர் ஜீன் மர்பி சில ஆண்டுகள் இந்த சபையைத் தொடர்ந்தார்.	Avarudaiya maanaviyaana doctor Jeen marfi sila aandugal intha sabaiyaith thodarnthaar.
வாலேன்சியா	Valensiyaa
இவருக்கு ஒரு மூத்த சகோதரர் (பிரட்), ஒரு இளைய சகோதரர் (டாரல்) மற்றுமொரு இளைய சகோதரி (ஜூடித்) இருந்தனர்.	Ivarukku oru mootha sagotharar (Piret), oru ilaiya sagotharar (Taaral) mattrumoru ilaiya sagothari (Judith) irundhanar.
பாசுபோமாலிப்டிக் அமிலத்தை இணையான மற்றும் நிறைவுறாத சேர்மங்கள் மாலிப்டினம் நீலமாக ஒடுக்கமடையச் செய்கின்றன.	Phopomoliptic amilathai inaiyaana matrum niraivuraatha sermangal moliptinum neelamaaga odukkamadaiyach cheigindrana.
அவர்கள் நடித்த பிரேமம் படம் மலையாளத்தில் மிக சிறந்த படமாகும்.	Avargal nadiththa premam padam malayalaththil miga sirantha padamaagum.
இராசமாணிக்கனார் எழுதியுள்ளார்.	Rasamaanikkanaar yezhuthiyullaar.
தெற்கில் இந்தியாவின் பிகார் மாநிலம்	Therkil indhiyaavin Bihar maanilam
மகாலிங்கம் தவமணி	Magalingam thavamani
கானக் குயில்	Gaanak kuyil
டாட்டா 1875 ஆம் ஆண்டு இங்கிலாந்துக்குச் செல்வதற்கு முன்னர் பம்பாயிலுள்ள ஒரு தனியார் உயர்நிலைப் பள்ளியில் தனது துவக்கக் கல்வியைப் பயின்று, தனிப் பயிற்ச்சியிலும் பயின்றார்.	Tata 1875 aam aandu Englanthukku selvatharku munnar bambaaiyilulla oru thaniyaar uyarnilai palliyil thanathu thuvakka kalviyaip payindru, thanip payirchchiyilum payindraar.
பயிற்சியளிக்கப்பட வேண்டிய அரசு அலுவலர்களின் எண்ணிக்கை பெரிய அளவில் தேங்கி இருந்ததால் காவலர் பயிற்சிப் பள்ளிகளில் சிறப்பு முகாம்கள் நடத்தப்பட்டு அவற்றின் அளவு குறைக்கப்பட்டது.	Payirchiyalikkappada vendiya arasu alvalargalin yennikkai periya alavil thengi irunthathaal kaavalar payirchchip palligalil sirappu mugaamgal nadaththappattu avattrin alavu kuraikkappattathu.
இதில் 12.92 சதுர கிலோ மீற்றர் நிலத்தினால் சூழப்பட்டுள்ளது.	Ithil 12.92 sathura kilo meter nilaththinaal soozhappattullathu.
பழைய ஆங்கில நாயகச் செய்யுள், ஆங்கிலத்தின் வரலாறு, செருமானிய மொழியறிவியல் அறிமுகம், பழைய மற்றும் நடு ஆங்கில மொழியறிவியல், பழைய ஐசுலாந்தியம், காத்திக், நடுக்கால வெல்சு மொழி போன்ற பாடங்களைக் கற்பித்தார்.	Pazhaiya aangila naayagach seiyyul, aangilaththin varalaru, serumaaniya mozhiyariviyal arimugam, pazhaiya mattrum nadu aangila mozhiyariviyal. Pazhaiya isulaanthiyam, kaaththik nadukkaala velsu mozhi pondra paadangalaik karpiththaar.
இருவேறு இணை உலகுகளில் நடக்கும் கதையே இரண்டாம் உலகம்.	Iruveru inai ulagugalil nadakkum kathaiye irandaam ulagam.
வீட்டுக்குரிய எல்லா அறைகளையும் உட்படுத்திய கட்டிடத்தை வீடு எனக்கொண்டு அதற்குள் நுழைவதற்கான வாயிலை வீட்டு வாயில் எனக் கொள்வது ஒன்று.	Veetukkuriya yella araigalaiyum utpaduththiya kattidaththai veedu yenakkondu atharkul nuzhaivathrkaana vaayilai veettu vaayil yenak kolvathu ondru.
1984, 1991 ஆம் ஆண்டுகளில் நடந்த இந்திய நாடாளுமன்றத் தேர்தல்களில் இந்தியப் பொதுவுடைமைக் கட்சியின் சார்பில் சிவகாசி நாடாளு மன்றத் தொகுதியில் போட்டியிட்டுத் தோல்வி அடைந்தார்.	1984, 1991 aam aandugalil nadantha indthiya naadaalumandrath therthalgalil Indiyap potuvudaimaik kaatchiyin saarbil sivagaasi naadalu mandrath thoguthiyil pottiyittuth tholvi adainthaar.
அனிதா கன்வல்	Anitha kanval
அவ்வாறு அங்கு வசிப்பவரின் தாய்நாடு என்ன என அறிவது தேவைப்படுவதில்லை.	Avvaaru angu vasippavarin thaainaadu yenna yena arivathu thevaippaduvathillai.
உள்ளீட்டையும் வார்ப்புருவையும் இந்த ஒப்பிடும் நிரல் பகுப்பாய்வு செய்கிறது.	Ulleettaiyum vaarppuruvaiyum intha oppidum niral paguppaayvu seigirathu.
எனவே இவை பனிக்குடமுஐயனவாகவும் கருதப்படுகின்றன.	Yenave ivai panikkudamuiyanavaagavum karuthappadukindrana.
"மக்களாட்சி" என்பதன் பொருளே மக்களின் ஆட்சி என்பதாக இருப்பினும், வழமையான சார்பாண்மை மக்களாட்சியில் மக்களின் பங்கேற்பை வாக்களிப்பதுடன் மட்டுப்படுத்திவிட்டு உண்மையான ஆட்சிப்பொறுப்பை அரசியல்வாதிகளிடம் விட்டுவிடுவதாகவே உள்ளது.	"Makkalaatchi" yenbathan porule makkalin aatchi yenbathaaga iruppinum, vazhamziyaana saarpaanmai makkalaatchiyil makkalin pangerpai vaakkalippathudan mattuppaduththivittu unmaiyaana aatchipporuppai arasiyalvaathigalidam vittuvidivathaagave ullathu.
பெருங்குறவஞ்சி	Perungkuravanji
இதுபோன்ற குறுங்கால நெற்பயிர்கள், நவரை, சொர்ணவாரி, கார், குறுவை, மற்றும் பின்தாளடி போன்ற பட்டங்கள் (பருவங்கள்) ஏற்றதாக கூறப்படுகிறது.	Ithupondra kurungkaala nerpayirgal, navarai, sornavaari, kaar kuruvai, mattrum pinthaaladi pondra pattangal (paruvangal) yettrathaaga koorappadugirathu.
2007 ஆம் ஆண்டு முதல் ஒருநாள் பன்னாட்டுத் துடுப்பாட்டப் போட்டிகளிலும், 2008 ஆம் ஆண்டு முதல் தேர்வுத் துடுப்பாட்டப் போட்டிகளிலும் விளையாடினார்.	2007 aam aandu muthal orunaal pannaattuth thuduppattap pottigalilum, 2008 aam aandu muthal thervuth thuduppaattap pottigalilum vilaiyaadinaar.
யாப்பியல் என்னும் பகுதி யாப்பிலக்கணத்துக்கு அடிப்படை.	Yaappiyal yennum paguthi yaappilakanaththukku adipadai.
எச்சத்தனும் உயிர்ப்பெற்று சிவபெருமானை அடைந்தார்.	Yechchaththanum uyirpettru sivaperumaanai adainthaar.
உள்கட்டமைப்பு அமைப்புகளில், நிரந்தர சொத்துகள் மற்றும் கட்டுப்பாட்டு அமைப்புகள் ஆகிய இரண்டும் உட்பட, அமைப்புகளை இயக்க, நிர்வகிக்க மற்றும் கண்காணிக்கத் தேவைப்படும் மென்பொருள், அதோடல்லாமல் அமைப்பின் அத்தியாவசிய பாகமாக இருக்கும் எந்தவொரு துணை கட்டடங்கள், இயந்திரத்தொகுதிகள் அல்லது வாகனங்கள் ஆகியவையும் இதில் உள்ளடங்கும்.	Ulkattamaippu amaippugalil, niranthara soththukal mattrum kattuppaattu amaipukal aagiya irandum ulpada amaippukkalai iyakka, nirvagikka mattrum kankaanikkath thevaipadum. Menporul, athodallaamal amaippin aththiyavasiya paagamaag irukkum yenthavoru thunai kattangal, iyanthirathoguthigal allathu vaaganangal aagiyavaiyum ithil ulladangum.
ஒரு பிளாக்கிங் சேமாஃபோர் என்பது, பூஜ்ஜியத்தில் துவக்கப்படும்.	Oru plaakking semaphore yenbathu, poojjiyaththil thuvakkapdum.
என்ற வினை பொட்டாசியம் எக்சாபுளோரோபாசுப்பேட்டு உருவாதலை விளக்குகிறது.	Yendra vinai Pottasium exoflurophospate uruvaathalai vilakkugirathu.
இணைக்குறள் ஆசிரியப்பா - இதன் முதல் மற்றும் இறுதியடிகள் தவிர்ந்த இடையிலுள்ள அடிகள் இரண்டு, மூன்று அல்லது நான்கு சீர்களைக் கொண்ட அடிகள் கலந்து அமையலாம்.	Inaikkural aasiriyappa - ithan muthal mattram iruthiyadigal thavirntha idailulla adigal irandu, moondru allathu naangu seergalaik konda adigal kalanthu amaiyalaam.
ஏதேனும் வேலையாக அமராமல் சென்றால் சிவகணங்கள் பக்தர்களின் பாதுகாப்பிற்காக வரும் என்றும் நம்புகின்றனர்.	Yethanum velaiyaaga amaraamal sendraal sivakanangal pakthargalin paathukaappirkaaga varum yendrum nambukinranar.
இவற்றில் பல்வேறு வேலைப்பாடுகளைக் கொண்ட பொருட்கள் உள்ளன.	Ivattril palveru velaippadugalaik konda porutkal ullana.
பெருங்கலம் என்னும் கப்பல் செல்வ-வளம் சேர்க்கும் புகார்த் துறைக்கு அரசன்.	Perungkalam yennum kappal selva-valam serkkum pugaarth thuraikku arasan.
நவீன விஞ்ஞான-தொழில் நுட்ப கட்டுமானத்துக்கு அடிப்படை அலைகள் பற்றிய அறிவுதான்.	Naveena vigagaanna-thozhil nutpa kattumanaththukku adippadai alaigal pattriya arivuthaan.
தான் தோற்றுவிடுவோம் என்று தெரிந்தவுடன் காசியப்பன் தன் வாளால் தன் தலையை வெட்டி தற்கொலை செய்து கொண்டான்.	Thaan thottruviduvom yendru therinthavudan kaasiyappan than vaalaal than thalaiyai vetti tharkolai seithu kondaan.
தற்போது இவை ஈரானிலும் ஆப்கானிசுத்தானிலும் மட்டுமே காணப்படுகின்ற போதிலும், இவற்றிற் பெரும்பாலானவை ஈரானிலேயே வாழ்கின்றன.	Tharpothu ivai Iraanilum Afgaanisthaanilum mattume kannappadukindra pothilum, ivattrir perumbaalaanavai Iraanileye vaazhkinrana.
பெரும்பாலான ஆமைகள் நீரில் வாழ்பவையே.	Perumbaalaana aamaigal neeril vaazhbavaiye.
ஆனால் தவறான ஏற்றுக்கொள்ளல் வீதம் அதிகமாகும்.	Aanaal thavaraan yettrukkolaal veetham athigamaagum.
குறும்படங்கள்	kurumpadangal
இவர் கண்பார்வையற்ற தம்பதிகளுக்கு பிறந்தவர்.	Ivar kanpaarvaiyatrra thambathigalukku piranthavar.
பின் இவரின் விளம்பரங்களைப் பார்த்த பிறகு மலையாளத் திரைப்படமான கோஹினூர் எனும் திரைப்படத்தில் இரண்டாவது கதாநாயகி வேடத்திற்கு இவரைத் தேர்வு செய்தனர்.	Pin ivarin vilambarangalaip paarththa piragu malaiyaalath thiraippadamaana Kohinoor yenum thiraipadaththil irandaavathu kathanaayagi vedaththirkku ivarai thervu seithanar.
பல ஆறுகளைக் கடந்து செல்ல வேண்டும்.	Pala aarugalaik kadanthu sella vendum.
துரத்தும் நிழல்கள்	Thuraththum nizhalgal
இந்த அறிகுறிகளை அடிப்படையாகக்கொண்டே இந்நோய்க் கண்டறியப்படுகிறது.	Intha arikurigalai adippadaiyaagakkonde innoik kandariyappadugirathu.
மேல் பகு நிலையில் நாம் பிரிக்க விருப்பும் கணிமிகள் இருக்கும்.	Mel pagu nilaiyil naam pirikka viruppum kanimigal irukkum.
ஆபிராம் தம் மனைவியுடன் எகிப்திலிருந்து நெகேபை நோக்கிச் சென்றார்.	Abrahaam tham maniviyudan egyptlirirundhu nekepai mokki senraar.
தாவரங்களின் மூச்சுத் தொகுதியின் முக்கியமான உடற்கூற்று அம்சமாக இலைகளின் கீழ்ப் பகுதியில் அமைந்துள்ள நுண்துளைகள் உள்ளன.	Thaavarangalin moochuth thoguthiyin mukkiyammana udarkootru amsamaaga ilaigalin keezhp paguthiyil amainthulla nunthulaigal ullana.
வழூஉச்சொல் புணர்த்தல்	Vazhuvuchsoll punarththal
இராபர்ட்டு புரூசின் உடல் டன்பெர்ம்லைன் மடத்தில் புதைக்கப்பட்டது; அவரது இதயம் மெர்லோசு மடத்தில் புதைக்கப்பட்டது.	Robert broosin udal Tunpermlain madaththil pudhaikkappattathu; avarathu ithayam Merlosu madaththila pudaikkappattathu.
குழுமூரை அடுத்திருந்த குன்றத்தில் ஆனிரை (பசுவினக் கூட்டம்) மேய்ந்துகொண்டே இருக்கும்.	Kuzhumoorai aduththiruntha kundraththil aanirai (pasuvinak kootam) meynthukonde irukkum.
இங்கு வயது என்பது மாறி.	Ingu vayathu yenbathu maari.
ஊர்மக்களின் முக்கிய தொழில் பயிர்தொழிலேயாகும்.	Oormakkalin mukkiya thozhil payirthozhileyaagum.
எதிர்-திருத்தந்தை மூன்றாம் கிளெமெண்டு இறந்ததை அடுத்து, புனித உரோமைப் பேரரசர் நான்காம் என்றியின் ஆதரவாளர்கள் தியோதோரிக் என்பவரை எதிர் திருத்தந்தையாக உரோமை நகரில் தேர்ந்தெடுத்தார்கள்.	Yethir-thiruththanthai moondraam Clement irandathai aduththu, punitha Roamap perarasar naangaam Hendryin aatharavaalarkal thiyothorik yenbavarai yethir thiruththanthaiyaaga Roma nagaril therntheduththaargal.
இவர் சிறந்த பாடகராக விளங்கினார்.	Ivar sirantha paadagaraaga vilanginaar.
பின்னர் வெப்பப் பிராந்திய மருந்துக் கூடம், கல்கத்தா மருத்துவக் கல்லூரி ஆகிய நிறுவனங்களில் 1921 ஆம் ஆண்டு முதல் மருந்தியல் பேராசிரியராக பணியாற்றினார்.	Pinnar veppap piranthiya marunthuk koodam, Calcutta marththuvak kalloori aagiya niruvanangalil 1921 aam aandu muthal marunthiyal peraasiriyaraaga paniyaattrinaar.
முன்னர் வசதி படைத்தோர் வெள்ளையாகவும் குண்டாகவும் இருப்பதை அந்தஸ்து குறியீடாக கருதினர்.	Munnar vasathi padaiththor vellaiyaagavum gundaagavum iruppathai anthasthu kuruyeedaaga karuthinar.
எனவே, நேர்மறை எண்ணங்களை எண்ண வேண்டும்	Yenave, nermarai yennangalai yenna vendum
கி எடையுடனும் இருக்கும்.	K yedaiyudanum irukkum.
மங்கலானதை இரண்டாம் நட்சத்திரம் என்கிறோம்.	Mangalanathai irandaavathu natchaththiram yengirom.
இக்கோயில் ஆரம்ப கிறித்தவ மறைப் பரப்புனர்களில் மிக முக்கியமானவராகக் கருதப்படும் திருத்தூதர் பவுலின் பெயரில் உள்ளது.	Ikkkoyil aaramba kiriththava marai parappunargalil miga mukkiyamaanavaraagak karuthappadum thiruthoothar pavulin peyaril ullathu.
இப்பட்டியல் நூல் வெளிவந்த ஆண்டினை முதன்மைப்படுத்தியே தொகுக்கப்பட்டுள்ளது.	Ippattiyal nool velivantha aandinai muthanmaippaduththiye thogukkappattullathu.
நிலத்தோற்ற நகர்ப்புறவியம்	Nilaththottraa nagarppuraviyam
அறுபதுக்கும் மேலான இந்து மெய்ஞ்ஞானப் பழநூல்கள், இயமம் பற்றி விவாதிக்கின்றன. எனினும் பொதுவாக, இயமங்கள் பத்து என்றே வரையறுக்கப்பட்டிருக்கின்றன.	Arupathukkum melaana inthu meiganap pazhanoolgal, iyamam pattri vivathikkinrana. Yeninum pothuvaaga, imayangal paththu yendre varaiyarukkappattirukkindrana.
இது ஒரு சம்பவமாகி விளங்குகிறது.	Ithu oru sambavamaagi vilangugirathu.
சிவப்பு மாளிகையின் கனவு என்ற தலைப்பிலும் இப்புதினம் மொழிபெயர்க்கப்பட்டுள்ளது.	Sivappu maaligaiyin kanavu yendra thalippilum ipputhinam mozhipeyarkkappattullathu.
உதாரணமாக வேலிக்காற் புடைக்கலவிழையம் செவ்வக வடிவத்தில் நெருக்கமாக அடுக்கப்பட்டு ஒழுங்காக இருக்கும்; எனினும் கடற்பஞ்சுப் புடைக்கலவிழைம் ஐதாக அடுக்கப்பட்டு ஒழுங்கற்ற வடிவங்களில் இருக்கும்.	Unthaaranamaaga velikkaar puldaikkalavizhaiyam sevvaga vadivaththil nerkkamaaga adukkappattu ozhungaaga irukkum; yeninum kadarpanjsu pudaikkalavizaaim Iythaaga adukkappattu ozhungattrra vadivangalil irukkum.
மயோடானிக் தசைவளக்கேடானது இயல்பு நிறமியின் ஆதிக்க வடிவ மரபமைப்பு மாதிரியை அடிப்படையாகக் கொண்டது.	Mayodaanik thasaivalakkedaanathu iyalbu niramiyin aathikka vadiva marabamaippu maathiriyai adippadaiyaagak kondathu.
செயல் ஹைடத்தோடு செல்கள், எப்பிடெமிஸ் செல்கள் தீவிரமாக நீரை இழக்கும் போது உருவாகின்றன.	Seyal hydathode cellgal, epidermis cellgal theeviramaaga neerai izhakkum pothu uruvaakinrana.
உள்ளரங்குகளில் வளர்க்கப்படுவதற்காக மலர்ப்பயிர்கள் அதிகமாக தொட்டிகளில் விற்கப்படுகின்றன.	Ullarangugalil valarkkappaduvatharkaaga malarppayirgal athigamaaga thottigalil virkappadukinrana.
எலும்புப் புற்றுநோய்க்கு எவ்வித பலனளிக்கும் என்று தெரியாதநிலையிலும் மருத்துவர்கள் அவருக்கு இண்ட்டர்ஃபெரான் சிகிச்சை அளித்தார்கள்.	Yelunbu puttrunoikku yevvitha palanalikkum yendru theriyaathanilaiyilum maruththuvargal avarukku interferron sigichchai aliththaargal.
கத்தோலிக்க திருச்சபைக் கூற்றுகளின்படி, அனைத்து நிலை சூதாட்டப் போட்டியாளர்களுக்கும் வெற்றி பெற ஒரு நியாயமான வாய்ப்பு இருக்கிறது.	Caththolikka thiruchsabaik kootrugalinpadi, anaiththu nilai soothattap pottiyaalargalukkum vettri pera oru niyaayamaana vaayppu irukkirathu.
ஜான் டி. ஜோன்ஸ் (1849-1914) மினசோட்டா அரசியல்வாதி மற்றும் மினசோட்டா பிரதிநிதிகள்மன்றத்தின் சபாநாயகராக இருந்தார்.	Jhon d. jones (1849-1914) minsottaa arasiyalvaathi mattrum minsotta prathinithigalmandraththin sabanaayagaraaga irundhaar.
புஷ்ஷை அதிகார பீடத்திலிருந்து நீக்குவதே "எனது வாழ்க்கையின் மையக் குவிமையம்" எனவும் அது "வாழ்வா, சாவா என்னும் ஒரு போராட்டம்" என்றும் சொரெஸ் கூறினார்.	Busshai athigaara peedaththilirundhu neekuvathe "yenathu vaazhkaiyin maiyak kuvimaiyam" yenavum athu "vaazhvaa, saavaa yennum oru porattam" yendrum Sores koorinaar.
சாதிய மறுப்பும் ஒழிப்பும் தான் பெண்ணுடலை அடிமைத்தளையிலிருந்து விடுவிக்கும் என்ற உணர்வுடன் தலித் பெண்ணியத்தைத் தனக்கேயான மொழியில் சித்தாந்தப்படுத்தி வருபவர்.	Saathiya maruppum ozhippum thaan pennudalai adimaiththalaiyilirundhu viduvikkum yendra unarvudan thalith penniyaththai thanakeyaana mozhiyil siththanthappaduththi varbavar.
கருப்பு ரோஜா 1996 இல் வெளியான தமிழ் திரைப்படமாகும்.	Karuppu roja 1996 il veliyaana thamizh thiraippadamaagum.
சிற்றிதழ் இயக்கம் மற்றும் நவீனத் தமிழ் இலக்கியம் வழி உருவெடுத்தவர்.	Sittrithazh iyakkam mattrum naveenath thamizh ilakkiyam vazhi uruveduththavar.
பின்னர் அந்தத் தடத்தின் நுனியை எடுத்துக் கழியின் முனையூடாக மாட்டவேண்டும்.	Pinnar anthath thadaththin nuniyai yeduththuk kazhiyin munaiyudaaga maattavendum.
தொண்டைப் பகுதி வெண்மையானது.	Thondaip paguthy venmaiyanathu.
தூண்டிலர் தடம் என்பது நிலைத்த தடம் ஒன்றை உருவாக்கும் ஒரு முடிச்சு ஆகும்.	Thoondilar thadam yenbathu nilaiththa thadam ondrai uruvakkum oru mudichchu aagum.
மதுரம் மற்றும் பலரும் நடித்துள்ளனர்.	Mathuram mattrum palarum nadiththullanar.
மைக்கேல் கல்லூரியில் இளநிலை பயின்றார்.	Maikkel kallooriyil ilanilai payindraar.
ராஜ் தொலைக்காட்சி இது 1994ஆம் ஆண்டு முதல் சென்னை தமிழ்நாட்டை தலைமையிடமாக வைத்து இயங்கும் தமிழ் மொழி பொழுதுபோக்கு தொலைக்காடசி சேவையாகும்.	Raj tholaikkaatchi ithu 1994aam aandu muthal Chennai thamizhnattai thalaimaiyidamaaga vaiththu iyangum thamizh mozhi pozhuthupokku tholaikkaattchi sevaiyaagum.
ரெனால்ட்ஸ் எண்	Renalts yen
இவர் பாக்கித்தான் அணிக்காக தேர்வுத் துடுப்பாட்டம், பன்னாட்டு இருபது20, ஒருநாள் பன்னாட்டுத் துடுப்பாட்டப் போட்டிகளில் விளையாடி வருகிறார்.	Ivar pakisthan anikkaaga thevuth thuduppaattam, pannaattu irupathu20, orunaal pannaatuth thuduppattap pottigalil vilaiyaadi varugiraar.
இவர் எந்தவொரு தேர்வுத் துடுப்பாட்டப் போட்டியிலும் கலந்து கொள்ளவில்லை.	ivar enthavoru thervuth thuduppaattap pottiyilum kalanthu kollavillai.
உணவால் தோற்றுவிக்கப்பட்ட உறுப்புக்களின் தொகுதி அன்னமயகோசம்.	Unavaal thottruvikkappatta uruppukkalin thoguthi annamaiyakosam.
அரசர் பூமிபோனின் வாழ்க்கையின் சில தருணங்கள் (புகைப்படத் தொகுப்பாக)	Arasar boomiponin vaazhkkaiyin sila tharunangal (pugaippadath thoguppaaga)
செல்வ வளம்	Selva valam
இந்தப் பூக்களை நல்லெண்ணெய் விட்டுப் பிசைந்து நெற்றியில் பற்றுப் போட்டால் தலைவலி, நீங்கும்	Intha pookalai nallennai vittup pisainthu nettriyil pattru pottal thalaivali, neengum
இது மேலும் வரையறுக்கப்படலாம்.	ithu melum varaiyarukkappadalam.
இராபர்ட்டு புரூசு டர்ன்பெரி கோட்டையில் சூலை 11, 1274இல் பிறந்தார்.	Robert broos turnberry kottaiyil July 11, 1274il piranthaar.
ஐ.ஏ.எஸ். தேர்வும் அணுகுமுறையும்	I.A.S. thervum anugumuraiyum
பாசத்தை விலக்கி ஆன்மாவுக்கு ஆனந்தம் தரவேண்டும். - மறைஞான சம்பந்தர் கோட்பாடு.	Pasaththai vilakki aanmaavukku aanantham tharavendum. - maraigana sampanthar kotpaadu.
பெரியாழ்வார் வைணவ நெறியைப் பின்பற்றி பக்தியில் சிறந்து விளங்கிய பன்னிரு ஆழ்வார்களுள் ஒருவர்.	Periyaazhvaar vainava neriyai pinpattri bakthiyil siranthu vilangiya panniru aazhvaargalul oruvar.
டி திட்டத்தின் உறுப்பினரும் ஆவார்.	T thittaththin uruppinarum aavaar.
சைக்ளோ புரோப்பீன் தயாரிப்புத் தொகுப்பு முறைகளில் தாமிரம் ஒரு பயனுள்ள வினையூக்கியாக நிருபிக்கப்பட்டுள்ளது.	Cyclo propane thayaaripputh thoguppu muraigali thaamiram oru payanulla vinaiyukkiyaaga nirubikkappattullathu.
பரி.யோவான் கல்லூரி	Pari.yovaan kallori
பாண்டித்துரைத் தேவர் நான்காம் தமிழ்ச் சங்கத்தை மதுரையில் நிறுவ முயன்றபோது, அவருக்கு உறுதுணையாக நின்றவர் சிந்நயச் செட்டியார்.	Pandiththuraith devar naangaam thamizhch sangaththai mathuraiyil niruva muyandrapothu, avarukku uruthunaiyaaga niravar sinnayach settiyyar.
மாறிகளில் சார் மாறி, சாரா மாறி என இருவகையுண்டு: y என்ற மாறி, சூரிய வெப்பப் பெறுமானத்தைக் குறித்து நின்றால், ஒரு நாளின் வெவ்வேறு நேரங்களில் வெப்பப் பெறுமானம் மாறும் பொழுது, அதற்கேற்ப yயின் பெறுமானமும் மாறும்.	Maarigalil saar maari, saaraa maari yena iruvagaiyundu: y yendra maari, sooriya veppap perumaanaththaik kuriththu nindraal, oru naalin vevveru nerangalil veppap perumaanam maarum pozhuthu, atharkerpa yin perumaanamum maarum.
• தொழிற்சாலைகளில் இயந்திரங்களை இயக்கவும், தொலை தொடர்புத் துறையிலும் மின்னாற்றல் பயன்படுகிறது.	• Thozhirsaalaigalil iyanthirangalai iyakkavum, tholai thodarbuth thuraiyilum minnaattral payanpadugirathu.
தோட்டத்தின் வரலாறு	Thottaththin varalaaru
பட்டினப் பாலை நூலாகத் தன்னைப் பாடிய கடியலூர் உருத்திரங் கண்ணனார்க்குப் பதினூறாயிரம் பொன் பரிசாக வழங்கினான்.	Pattinap paalai noolagath thannaip paadiya kadiyaloor uruththirang kannaanaarkkkup pathinooraayiram pon parisaaga vazhanginaan.
கரோலின் லுக்கிரெடியா ஹெர்ச்செல் ஹனோவரில் 1750 மார்ச் 16இல் பிறந்தார்.	Carolin lukkirediyaa herchsel hanovaril 1750 March 16il piranthaar.
ஒடியாடல் விளையாட்டு என்பது அதனைத் தொடல், இதனைத் தொடல், அதில் நிற்றல், இதில் நிற்றல் என வைத்துக்கொண்டு ஓடியாடும் விளையாட்டாகும்.	Odiyaadal vilaiyaattu yenbathu athanaith thodal, ithanaith thodal, athil nittral, ithil nittral yena vaiththukkondu odiyaadum vilaiyaataagum.
பாஸ்கா காலம் என்பது திருவழிபாட்டு ஆண்டின் ஐந்தாவது காலம் ஆகும்.	Baska kaalm yenbathu thiruvazhipaattu aandin iynthaavathu kaalam aagum.
