కృష్ణాష్టమి	krishnashtami
అధ్యాత్మ	adhyaathma
ప్రబోధగ్రంథమని	prabhodha grandhamani
గ్రహించవచ్చు	grahinchavachchu
</s>	</s>
మ్రింగెడివాడు	mringedivaadu
విభుండని	vibhundani
</s>	</s>
నవంబరు	november
23	23
న	na
పాకిస్తాన్	pakistan
అంతర్గత	anthargatha
ఆత్యయిక	aathyayika
పరిస్థితిని	paristhithini
ప్రకటించాక	prakatinchaaka
భారత	bharatha
నౌకాదళం	naukaadhalam
కరాచీకి	karachiki
దగ్గరలోని	dhaggaraloni
ఓఖా	oka
వద్ద	vadhdha
మూడు	mudu
విద్యుత్	vidhyuth
తరగతి	tharagathi
క్షిపణి	kshipani
పడవలను	padavalanu
నిఘా	nighaa
కోసం	kosam
మోహరించింది	moharinchindhi
.	.
</s>	</s>
మూలం.ప్రాచీన	mulam.praacheena
తాళ	thaala
పత్ర	pathra
నిధులలోని	nidhulaloni
సాంప్రదాయక	saampradhaayaka
శాస్త్ర	saasthra
పీఠం	pitam
అచార	aachaara
ధర్మములు	dharmamulu
-	-
ఆలోచనలు.రచన	aalochanalu.rachana
బ్రహ్మశ్రీ	brahmasri
గుత్తికొండ	guththikonda
వేంకటేశ్వర్లు	venkateswarlu
</s>	</s>
మరుసటి	marusati
రోజు	roju
క్యాంపు	campu
నిమిత్తం	nimiththam
విశాఖపట్నం	visakapatnam
వెళ్ళివచ్చిన	vellivachina
ఓ	oh
పోలీసు	polisu
ఐజీ	ig
మరికొంత	marikontha
మంది	mandhi
అధికారులు	adhikaarulu
విచిత్రంగా	vichithrangaa
ప్రవర్తిస్తుంటారు	pravarthisthuntaaru
</s>	</s>
ఆంజనేయులు	anjaneyulu
గారి	gaari
తమ్ముడు	thammudu
</s>	</s>
తరువాత	tharuvaatha
ఎనిమిది	yenimidhi
నెలలకు	nelalaku
జర్మనీ	germany
నుండి	nundi
యంత్రాలను	yanthraalanu
దిగుమతి	dhigumathi
చేసుకుని	chesukuni
అనిల్	anil
బ్రాండ్	brand
అయ్యన్	ayyan
బ్రాండ్	brand
పేరుతో	perutho
బాణాసంచా	baanaasanchaa
ఉత్పత్తిని	uthpaththini
ప్రారంభించారు	prarambinchaaru
</s>	</s>
రాజాజీ	rajaji
మంత్రి	manthri
వర్గంలో	varghamlo
ప్రకాశం	prakasam
పంతులు	panthulu
ఉన్న	unna
సమయంలో	samayamlo
ఆయన	aayana
రెవెన్యూ	revenue
బోర్డు	board
డైరక్టరుగా	directorgaa
ఉన్నారు	unnaaru
</s>	</s>
తర్వాత	tharvaatha
దీన్ని	dhinni
నిజంగా	nijangaa
గమనించి	gamaninchi
నిర్థారించినందుకు	nirdhaarinchinandhuku
1993లో	1993 lo
టేలర్	taylor
హల్స్	halls
లకు	laku
నోబెల్	nobel
బహుమతి	bhahumathi
లభించింది	labhinchindhi
</s>	</s>
ఆ	aa
పాఠశాల	paatasaala
ప్రధానోపాధ్యాయుడు	pradhaanopaadhyaayudu
ఎం	m
</s>	</s>
గుజరాత్‌	gujarat
రాష్ట్రంలో	rashtramlo
శ్రీకృష్ణ	srikrishna
జన్మాష్టమిని	janmashtamini
శ్రీజగదాష్టమి	srijagadhashtami
అని	ani
పిలుస్తారు	pilusthaaru
</s>	</s>
బెనారస్‌	benaras
విశ్వవిద్యాలయం	visvavidyalayam
నుండి	nundi
మెట్రి	metri
క్యులేషన్‌	culation
ఆంధ్ర	andhra
విశ్వవిద్యాలయం	visvavidyalayam
నుండి	nundi
ఎం	m
</s>	</s>
శారద	sarada
</s>	</s>
తరువాతి	tharuvaathi
కాలంలో	kaalamlo
శ్రీలంక	srilanka
రాజ్యాంగశక్తి	raajyaangasakthi
క్షీణదశకు	kshinadhasaku
చేరుకుంది	cherukundhi
</s>	</s>
నిమ్మకాయ	nimmakaya
రసం	rasam
మొటిమలకి	motimalaki
రాసి	raasi
అరగంట	araganta
తర్వాత	tharvaatha
గోరువెచ్చని	goruvechchani
నీటితో	nititho
కడిగి	kadigi
వేయాలి	veyaali
</s>	</s>
జయలలితతో	jayalalithatho
పాటు	paatu
ఎంజీఆర్	emjiaar
శివాజీ	sivaji
గణేశన్	ganesan
రజనీకాంత్	rajinikanth
కమల్	kamal
హాసన్	hasan
తదితరులతో	thadhitharulatho
కలసి	kalasi
పలు	palu
సినిమాల్లో	cinemaallo
నటించాడు	natinchaadu
</s>	</s>
జలపాత	jalapaatha
మంత్రముగ్ధతకు	manthramugdhathaku
మైమరచిన	maimarachina
అనేక	aneka
మంది	mandhi
కవులు	kavulu
జలపాతం	jalapaatham
గురించి	gurinchi
వర్ణించి	varninchi
తమ	thama
కవిత్వంలో	kavithvamlo
వ్రాసారు	vraasaaru
</s>	</s>
చరిత్రలో	charitralo
ఈ	ee
రోజున	rojuna
జరిగిన	jarigina
సంగతులు	sangatulu
</s>	</s>
సినీరంగంలో	cinerangamlo
శంకరమంచి	sankaramanchi
మొత్తం	moththam
15	15
సినిమాలకు	cinemalaku
పనిచేసారు	panichesaaru
ఔను	avunu
వాళ్ళిద్దరూ	valliddaru
ఇష్టపడ్డారు	istapaddaru
గోపి	gopi
గోపికా	gopika
గోదావరి	godavari
సరదాగా	saradhaga
కాసేపు	kaasepu
అప్పుచేసి	appuchesi
పప్పుకూడు	pappukudu
మొదలైన	modhalaina
సినిమాలు	cinemalu
శంకరమంచికి	sankaramanchiki
విజయవంతమైన	vijayavanthamaina
సినీ	cine
రచయితగా	rechayithagaa
పేరు	peru
తెచ్చిపెట్టాయి	thechchipettayi
</s>	</s>
కళ్ల	kalla
కలక	kalaka
కళ్లమంటలు	kallamantalu
కళ్ల	kalla
దురదలు	dhuradhalu
కళ్లనుంచి	kalla nunchi
నీళ్లుకారటం	neellu kaaratam
వంటి	vanti
కంటికి	kantiki
సంబంధించిన	sambandhinchina
సమస్యల్లో	samasyallo
ఇది	idhi
చాలా	chaalaa
లాభప్రదంగా	laabhapradhangaa
ఉంటుంది	untundhi
</s>	</s>
1977లో	1977 lo
జనసంఘ్	janasangh
పార్టీని	partyni
జనతా	janathaa
పార్టీలో	party
విలీనం	vilinam
చేయబడటంతో	cheyabadatamtho
ఎన్నికలలో	yennikalalo
విజయం	vijayam
సాధించిన	saadhinchina
జనతా	janathaa
ప్రభుత్వంలో	prabhuthvamlo
సమాచార	samaachaara
ప్రసార	prasaara
శాఖ	sakha
మంత్రిత్వ	manthrithva
శాఖను	sakhanu
నిర్వహించినాడు	nirvahinchinaadu
</s>	</s>
క్షాత్రబలం	kshaathrabalam
వ్యర్ధమని	vyardhamani
గ్రహించి	grahinchi
విశ్వామిత్రుడు	vishvamithrudu
తీవ్రంగా	theevrangaa
తపస్సు	thappassu
ఆచరించాడు	aacharinchaadu
</s>	</s>
ప్రతి	prathi
వ్యాసము	vyaasamu
ఏదో	yedho
ఒక	oka
సామాజిక	saamaajika
విషయాన్ని	vishayaanni
స్పృశిస్తూనే	sprusisthune
ఉంటుంది	untundhi
</s>	</s>
ఆమె	aame
తిరిగి	thirigi
నయాగరాలో	niagaralo
ఎప్పడూ	yeppudu
చేయలేదు	cheyaledhu
</s>	</s>
మందం	mandham
మల్చింగ్	malchingh
వే	ve
స్తే	stay
కలుపు	kalupu
90	90
శాతం	saatham
తగ్గుతుంది	thagguthundhi
</s>	</s>
నౌఘర్	naugarh
ఫోర్ట్	fort
సొంభద్ర	sonbhadra
</s>	</s>
అవి	avi
ఎక్కువ	yekkuva
విద్యుత్‌ను	vidhyuthnu
వాడేవి	vaadevi
పరిమాణంలో	parimaanamlo
కూడా	kudaa
చాలా	chala
పెద్దవిగా	pedhdhavigaa
ఉండేవి	undevu
</s>	</s>
మాధవి	madhavi
</s>	</s>
ప్రాకృత	praakrutha
వాఙ్ఞ్మయంలో	vaaghmayamlo
రామకథ	ramakadha
:	:
పైన	paina
ఇందాక	indhaaka
చెప్పినట్టుగా	cheppinattugaa
ప్రాకృతం	praakrutham
అన్నది	annadhi
జనపదాల్లో	janapadhaallo
వాడుకలో	vadukalo
ఉన్న	unna
భాష	bhasha
కాగా	kaagaa
సంస్కృతం	samskrutham
సంస్కరింపబడి	samskarimpabadi
సమాజంలో	samaajamlo
ఉన్నత	unnatha
వర్గాల	vargaala
ఆదరణకు	aadharanaku
నోచుకున్న	nochukunna
భాష	bhaasha
</s>	</s>
ఇంకా	inkaa
దీనిని	dhinini
సంఖ్యాశాస్త్ర	sankhyaasaasthra
పద్ధతులను	padhdhathulanu
ఉపయోగించి	vupayoginchi
సులభంగా	sulabhangaa
పరిష్కరించవచ్చు	parishkarinchavachchu
</s>	</s>
అనఁగా	anagaa
జీవుఁడు	jeevudu
పూర్వజన్మలయందు	purva janmalayandhu
చేసిన	chesina
పుణ్యకర్మములను	punya karmamulanu
అనుసరించి	anusarinchi
వివేకముగల	vivekamugala
మనుష్యాదిజన్మములను	manushyaadhi janmamulanu
పాపకర్మములను	paapa karmamulanu
అనుసరించి	anusarinchi
వివేకముచాలని	vivekamuchaalani
పశ్వాదిశరీరములను	pasvaadhi sareeramulanu
పొందుటయేకాక	pondhutayekaaka
ఆయాజన్మములయందును	aayaa janmamulayandhunu
సుఖదుఃఖ	sukha dhukkha
రూపఫలములను	rupa phalamulanu
ఆవల	aavala
స్వర్గనరకాది	svarga narakaadhi
లోకములను	lokamulanu
పొందుచు	pondhuchu
ఉన్నాఁడు	vunnaadu
</s>	</s>
బాపు	bapu
అంటే	ante
అర్థం	arthan
కాని	ani
తెల్లవాళ్ళు	thellavaallu
ఇతని	ithani
జోలికి	joliki
పోలేదు	poledhu
</s>	</s>
న్యూట్రాన్	neutron
తారలు	thaaralu
వర్గం-II	vargham-ii
వర్గం-Ib	vargham-ib
Ic	ic
సూపర్నోవా	supernova
పేలుళ్ళ	pelulla
తర్వాత	tharvaatha
మిగిలిన	migilina
అవశేష	avasesha
తారలు	thaaralu
</s>	</s>
ఈ	ee
మొక్క	mokka
పూల	pula
రేఖలు	reekhalu
పసుపు	pasupu
రంగులో	rangulo
5-7.5	5-7.5
పొడవు	podavu
వరకు	varaku
పెరుగుతాయి	peruguthaayi
</s>	</s>
మొత్తంగా	moththangaa
ఇది	idhi
జాబితాలో	jaabithaalo
50	50
కంటే	kante
ఎక్కువ	yekkuva
వారాలు	vaaraalu
కొనసాగింది	konasaagindhi
</s>	</s>
ఇవి	idhi
శక్తిని	sakthini
ప్రత్యక్షంగా	prathyakshangaa
మార్పిడి	marpidi
చేయడం	cheyadam
వల్ల	valla
కణాల	kanaala
DNA	dna
యుగళ	yugala
తంతువులను	thanthuvulanu
తెంచివేసి	thenchivesi
కణితులలోని	kanithulaloni
కణాలను	kanaalanu
చంపివేస్తాయి	champivesthaayi
</s>	</s>
దాంతో	dhaantho
నరేష్	naresh
కు	ku
ఆ	aa
తేదీన	thedina
ఏదో	yedho
జరిగుండాలనీ	jarigundaalani
దాని	dhaani
వెనుక	venuka
రామలక్ష్మి	ramalakshmi
హస్తం	hastham
ఉంటుందనీ	untundhani
అనుమానం	anumaanam
మొదలవుతుంది	modhalavuthundhi
</s>	</s>
కొత్తగా	koththagaa
అక్షరాస్యులైన	aksharaasyulaina
వయోజనులు	vayojanulu
పిల్లలతో	pillalatho
సహా	sahaa
సమాజంలో	samaajamlo
అన్ని	anni
వర్గాల	vargaala
వారికి	vaariki
వినోదం	vinodham
విజ్ఞానం	vignaanam
వికాసం	vikaasam
కలిగించే	kaliginche
గ్రంథాలను	grandhaalanu
ప్రచురించడం	prachurinchadam
నేషనల్	national
బుక్	book
ట్రస్ట్	trust
ఇండియా	india
ప్రచురణల	prachuranala
విభాగం	vibhaagam
లక్ష్యం	lakshyam
</s>	</s>
తిరగలి	thiragali
</s>	</s>
133	133
పరుగులతో	parugulatho
వృత్తిలోనే	vruththilone
అత్త్యుత్తమమైనదైన	athyuththamamainadhaina
అతని	athani
మూడవ	mudava
టెస్ట్	test
శతకం	sathakam
దక్షిణ	dhakshina
ఆఫ్రికాతో	africatho
మరల	marala
ఆడినప్పుడు	aadinappudu
సాధించాడు	saadhinchaadu
</s>	</s>
పలు	palu
రకాలుగా	rakaalugaa
ఒక	oka
అంగన్వాడీ	anganvaadi
కార్యకర్త	karyakartha
గ్రామీణ	graameena
జనాభా	janaabhbhaa
వెళ్ళడము	velladamu
ఒక	oka
వైద్యుడు	vaidhyudu
కంటే	kante
మెరుగైన	merugaina
అమర్చారు	amarchaaru
</s>	</s>
గీతారెడ్డిని	gita reddyni
ఆమె	aame
నివాసంలో	nivaasamlo
సీబీఐ	sibiai
అధికారులు	adhikaarulu
ప్రశ్నించనున్నారు	praschanunnaaru
</s>	</s>
రైటర్స్	writters
కు	ku
ఇండిపెండెంట్	independent
గేమింగ్	gaming
కంపెనీల్లో	companeelloo
తప్ప	thappa
ఔట్సోర్సింగ్	outsourcing
గేమ్	game
కంపెనీల్లో	companeelloo
అంతగా	anthagaa
అవకాశం	avakaasam
ఉండదు	undadhu
</s>	</s>
వారానికో	vaaraaniko
రోజు	roju
అరగంట	araganta
మాత్రం	maathram
ప్రసారం	prasaaram
జరుగుతుండేది	jaruguthundedhi
</s>	</s>
విద్యుదయస్కాంత	vidhyudhayaskaantha
తరంగాలు	tharangaalu
ఉత్పత్తి	uthpaththi
కావటం	kaavatam
అవి	avi
కొంత	kontha
దూరం	dhuram
ప్రసరించాక	prasarinchaaka
గ్రహించబడడం	grahinchabadadam
మొట్టమొదటిసారిగా	mottamodhatisaarigaa
ఈ	ee
ప్రయోగంలో	prayogamlo
జరిగాయి	jarigaayi
</s>	</s>
కాలుష్య	kaalushya
నియంత్రణ	niyanthrana
పరికరాలు	parikaraalu
</s>	</s>
ఇందులో	indhulo
వైద్యులు	vaidhyulu
స్త్రీ	sthri
యొక్క	yokka
యోనికి	yoniki
ఉన్న	unna
కన్నెపొరను	kanneporanu
పరీక్షించి	pareekshinchi
ఆమె	aame
శీలవతా	seelavathaa
కాదా	kaadhaa
అని	ani
నిర్ధారిస్తారు	nirdhaaristhaaru
</s>	</s>
అల్లు	allu
రామలింగయ్య	ramalingaiah
</s>	</s>
ఇక్కడ	ikkada
ఇవి	ivi
సౌర	soura
ఘటంలోని	ghatamloni
p-రకం	p-rakam
వైపు	vaipu
ఉన్న	unna
ఒక	oka
ఎలక్ట్రాన్-రంధ్రం	electron-randhram
జత	jatha
వలె	vale
ఒక	oka
రంధ్రంకో	randhramkoo
లేదా	ledhaa
n-రకం	n-rakam
వైపు	vaipu
సృష్టించబడిన	srushtinchabadina
తర్వాత	tharvaatha
జంక్షన్	junction
గుండా	gundaa
పంపబడిన	pampabadina
ఒక	ok
రంధ్రంతో	randramtho
మళ్లీ	malli
కలవవచ్చు	kaluvavachchu
</s>	</s>
చరిత్రలోని	charitraloni
రోజులు	rojulu
</s>	</s>
అల్	all
ది	the
వరల్డ్స్	worlds
ఫైటింగ్	fighting
ఫ్లీట్స్	fleets
పేమాస్టర్	paymaster
లెఫ్ట్నెంట్-కమాండర్	lieutenant-commander
E.C	e.c
</s>	</s>
ప్రస్తుతం	prasthutham
నిన్ను	ninnu
వరించిన	varinchina
చక్రవర్తిపదవిని	chakravarthi padhavini
త్యజించుట	thyajinchuta
న్యాయమా	nyaayama
!	!
</s>	</s>
1980	1980
నాటికి	naatiki
యుగోస్లేవియా	yugoslavia
సౌత్	south
ఆఫ్రికా	africa
హాంగ్	hong
కాంగ్	kong
బ్రెజిల్	brazil
సింగపూర్	singapore
ఈజిప్ట్	egypt
మరియు	mariyu
కొరియా	korea
లకి	laki
విస్తరించినది	vistharinchinadhi
</s>	</s>
అనుసంధాన	anusandhaana
మరియు	mariyu
కొల్లాయిడ్	colloide
అణువులు	anuvulu
ఢీకొనటం	dikonatam
వల్ల	valla
ఏర్పడిన	yerpadina
మిశ్రమం	misramam
విజ్ఞానశాస్త్రం	vignaanasaathram
కర్బన్	carbon
సూక్ష్మనాళాలు	sukshmanaalaalu
మరియు	mariyu
ఇతర	ithara
కర్బన	karbana
నిర్మాణాలు	nirmaanaalu
మరియు	mariyu
వివిధ	vividha
సూక్ష్మఅణువులు	sukshma anuvulu
మరియు	mariyu
సూక్ష్మగొట్టాలు	sukshma gottaalu
వంటి	vanti
సూక్ష్మ	sukshma
సాంకేతిక	saankethika
పరిజ్ఞానం/నానోటెక్నాలజీలో	parignaanam/nano technologylo
ఉపయోగమున్న	upagogamunna
చాలా	chaalaa
పదార్ధాలను	padhaarthaalanu
ఇచ్చింది	ichchindhi
</s>	</s>
అటు	atu
ఇబ్రాహీం	ibrahim
మతమూ	mathamu
కొత్త	koththa
మతమేమీగాదు	mathamemigaadhu
ప్రపంచంలో	prapanchamlo
ప్రథమ	pradhama
మానవుడైనటువంటి	maanavudainatuvanti
ఆదమ్	adam
నుండి	nundi
వస్తున్న	vasthunna
ధార్మిక	dhaarmika
విశ్వాస	visvaasa
విధానము	vidhaanamu
</s>	</s>
1907లో	1907 lo
ఆమె	aame
దివ్యజ్ఞానసమాజం	divyagnaana samaajam
అధ్యక్షురాలైంది	adhyakshuraalaindhi
</s>	</s>
యోగం	yogam
యాగం	yaagam
యజ్ఞం	yagnam
కలిగిన	kaligina
స్త్రీలను	sthrilanu
యోగినులుగా	yoginulugaa
ఆరాధించేవారు	aaraadhinchevaaru
</s>	</s>
స్వర్ణముఖి	svarnamukhi
</s>	</s>
ఈ	ee
నియోజకవర్గములో	niyojakavargamulo
పెద్ద	pedhdha
పట్నములు	patnamulu
లేవు	levu
</s>	</s>
ఎముకలు	yemukalu
ఇన్‌ఫ్లమేషన్‌కి	inflammationki
గురై	gurai
ఎక్కువ	yekkuva
బరువు	baruvu
మోపటంతో	mopatamtho
కీళ్ళ	killa
నొప్పి	noppi
వస్తుంది	vasthundhi
</s>	</s>
ఒకసారి	okasaari
నరేష్	naresh
బీచ్	beach
లో	lo
రామలక్ష్మిని	ramalakshmini
కలుస్తాడు	kalusthaadu
</s>	</s>
షర్టులకి	shirtulaki
అతికించే/తీసివేసే	athikinche/thisivese
వీలుగా	vilugaa
కాలర్లను	collarlanu
రూపొందించేది	rupondhinchedhi
ఆరో	aaro
</s>	</s>
ఇది	idhi
తరచుగా	tharachugaa
242	242
లేదా	ledhaa
243	243
అవోర్డుపోయిస్	awardupois
పౌండ్లు	poundlu
ఉన్నట్లు	unnatlu
చెప్పబడుతుంది	cheppabaduthundhi
కాని	kaani
కొన్నిసార్లు	konnisaarlu
ఇంకా	inkaa
తక్కువ	thakkuva
ఉన్నట్లు	unnatlu
చెప్పబడుతుంది	cheppabaduthundhi
సాధారణంగా	saadhaaranangaa
ఇది	idhi
296	296
ట్రాయ్	troy
పౌండ్లుగా	poundlugaa
చెప్పబడుతుంది	cheppabaduthundhi
</s>	</s>
నరేష్	naresh
అక్కడికి	akkadiki
వెళ్ళేసరికి	vellesariki
ఆడవాళ్ళంతా	aadavaallanthaa
మగ	maga
వాళ్ళుగా	vaallugaa
మగవాళ్ళంతా	magavaallanthaa
ఆడవాళ్ళుగా	aadavaallugaa
ప్రవర్తిస్తుంటారు	pravarthisthuntaaru
</s>	</s>
పాకిస్తాన్	pakistan
ఒక	oka
మైన్	main
స్వీపరు	sweeperu
ఒక	oka
డిస్ట్రాయరు	distroyeru
ఆయుధాలను	aayudhaalanu
చేరవేస్తున్న	cheravesthunna
ఒక	oka
రవాణా	ravaanaa
నౌక	nauka
ఇంధన	indhana
నిల్వ	nilva
స్థావరాన్ని	sthaavaraanni
కోల్పోగా	kolpoogaa
భారత్‌కు	bharathku
ఏమాత్రం	yemaathram
నష్టం	nashtam
కలగలేదు	kalagaledhu
</s>	</s>
ఈ	ee
ఆలయం	aalayam
శ్రీ	sri
సహస్రలింగేశ్వరస్వామివారి	sahasralingeshwara swamy vaari
ఆలయ	aalaya
ప్రాంగణంలో	praanganamlo
ఉంది	undhi
</s>	</s>
అతడి	athadi
వయసు	vayasu
పెరుగుతున్న	peruguthunna
కొలదీ	koladhi
వారిలో	vaarilo
గుబులూ	gubuluu
జోరెత్తుతోంది	joreththuthondhi
</s>	</s>
కొంతమంది	konthamandhi
పరిశోధకులు	parisodhakulu
హిప్పోకాంపస్	hippocampus
పై	pai
ఆధారపడిన	aadhaarapadina
జ్ఞానముతో	gnaanamutho
కూడిన	kudina
విస్మృతి	vismruthi
కణత	kanatha
వల్కము	valkamu
మధ్యభాగముపై	madhyabhaagamupai
ఆధారపడిన	aadhaarapadina
అలవాటు	alavaatu
ల	la
మధ్య	madhya
తేడాలు	thedaalu
చూపారు	chupaaru
</s>	</s>
కట్టెతో	kattetho
చేసిన	chesina
పీటపై	pitapai
కొన్ని	konni
కుటుంబాలు	kutunbaalu
కలిసి	kalisi
అందరూ	andharu
సూచించిన	suchinchina
ఒకరి	okari
ఇంట్లో	intlo
ప్రతిష్ఠిస్తారు	prathishtisthaaru
</s>	</s>
వారి	vaari
ప్రతిపాదనకు	prathipaadhanaku
జనకుడు	janakudu
ఎంతో	yentho
సంతోషించి	santhoshinchi
దోసిలియొగ్గి	dhosiliyoggi
వందనమొనర్చి	vandhanamonarchi
భగదేవతానీకమైన	bhagadhevathaanikamaina
ఉత్తర	vuththara
ఫల్గునీ	palguni
నక్షత్రంలో	nakshathramlo
నలుగురు	naluguru
జంటల	jantala
వివాహం	vivaaham
కావాలని	kaavaalani
ఆకాంక్షించాడు	aakaankshinchaadu
</s>	</s>
హనుమాన్	hanuman
జంక్షన్	junction
</s>	</s>
వీటిని	vitini
కాసీ	kaasi
గుంటలు	guntalu
అంటారు	antaaru
</s>	</s>
వర్టెక్స్	vertex
</s>	</s>
పట్టాలను	pattaalanu
పొందాడు	pondhaadu
</s>	</s>
రాయలసీమ	rayalaseema
ఫ్యాక్షన్	faction
వేపధ్యంలో	nepathyamlo
ఆ	aa
సమయంలో	samayamlo
వెలువడిన	veluvadina
అనేక	aneeka
చిత్రాల	chithraala
పరంపరలో	paramparalo
ఇది	idhi
కూడా	kudaa
ఒకటి	okati
</s>	</s>
తనని	thanani
రిసీవ్	receive
చేసుకోడానికి	chesukodaaniki
శివ	siva
ఆ	aa
కారుతో	carutho
రైల్వే	railway
స్టేషను	station
దగ్గర	dhaggara
ఎదురుచూస్తుంటాడు	yedhuruchusthuntaadu
</s>	</s>
మోట్లపల్లి	motlapalli
పేరుతో	perutho
చాలా	chaalaa
వ్యాసాలు	vyaasaalu
ఉన్నాయి	unnaayi
ఆ	aa
వ్యాసాల	vyaasaala
జాబితా	jaabithaa
</s>	</s>
ఇవి	ivi
కాక	kaaka
బొబ్బిలి	bobbili
పాట	paata
వరుసలోనున్న	varusalonunna
పెద్దవీరగాధయు	pedhdha veeragaadhayu
ఒకటి	okati
కలదు	kaladhu
</s>	</s>
వాల్మీకి	valmiki
సంస్కృత	samskrutha
రామాయణాన్ని	ramayanaanni
తెలుగులోకి	teluguloki
అనువదించిన	anuvadhinchina
కవులు	kavulu
రామాయణ	ramayana
కవులు	kavulu
</s>	</s>
వీరి	veeri
సంతానానికి	santhaanaaniki
సామాజిక	saamajika
గుర్తింపు	gurthimpu
లేదు	ledhu
</s>	</s>
మహర్షి	maharshi
రాఘవ	raaghava
</s>	</s>
ఆయన	aayana
సొంత	sontha
రాష్ట్రం	rashtram
మహారాష్ట్ర	maharastra
సతరాలోని	satharaaloni
సైనిక	sainika
స్కూల్‌లో	schoollo
చదవి	chadhivi
ఆర్మీలో	armylo
చేరారు	cheraaru
</s>	</s>
తన	thana
పరువును	paruvunu
కాపాడుకునేందుకు	kaapaadukunendhuku
పడరాని	padaraani
పాట్లు	paatlu
పడుతూ	paduthu
ఉంటాడు	untaadu
</s>	</s>
ఈ	ee
పరికరం	parikaram
సుమారు	sumaaru
1	1
సామర్థ్యాన్ని	saamardhyaanni
మాత్రమే	maathrame
కలిగి	kaligi
ఉంది	undhi
</s>	</s>
వాటిలో	vatilo
క్రీ	kri
</s>	</s>
ఆదా	aada
మగా	maga
చిన్నా	chinna
పెద్దా	pedhdha
అన్న	anna
తేడా	thedaa
లేకుండా	lekundaa
ఈ	ee
జాతి	jaathi
వాళ్ళు	vaallu
ఎప్పుడూ	yeppudu
ఆయుధాలు	aayudhaalu
ధరించి	dharinchi
తిరుగుతుంటారు	thiruguthuntaaru
</s>	</s>
ప్రసవించిన	prasavinchina
పులివై	pulivai
నీ	ni
కన్న	kanna
బిడ్డలను	bidaalanu
మమ్ముల	mammula
</s>	</s>
కాసార	kaasaara
యోగి	yogi
సరోయోగి	saroyogi
అనునవి	anunavi
ఇతని	ithani
నామాంతరములు	naamaantharamulu
</s>	</s>
ఈ	ee
విధానంలో	vidhaanamlo
భగవద్గీతలో	bhagavatgitalo
చెప్పిన	cheppina
తొమ్మిది	thommidhi
నియమాలు	niyamaalu
పాటించని	paatinchani
వాళ్ళు	vaallu
గురువు	guruvu
కానేరరు	kaaneeraru
అవి	avi
</s>	</s>
తెలంగాణ	telangana
రాష్ట్ర	rashtra
సమితి	samithi
తరపున	tharapuna
నాగర్‌కర్నూల్	nagarkurnool
లోకసభ	lokasabha
నియోజకవర్గం	niyojakavargam
నుండి	nundi
ప్రాతినిథ్యం	praathinidhyam
వహించాడు	vahinchaadu
</s>	</s>
తమన్నా	tamannah
</s>	</s>
అంబులెన్స్‌	ambulance
</s>	</s>
పావుగంట	paavuganta
తర్వాత	tharvaatha
గోరువెచ్చటి	goruvechchani
నీళ్లతో	nititho
కడిగెయ్యండి	kadigeyyandi
</s>	</s>
మొత్తం	moththam
ముస్లింలలో	muslimulalo
60	60
శాతం	saatham
మంది	mandhi
ఆసియాలోనే	asialone
ఉన్నారు	unnaaru
</s>	</s>
మైనాక	mounaaka
సురస	surasa
సింహికా	simhikaa
వృత్తాంతములు	vruththanthamulu
గ్రంథిత్రయ	grandhithraya
భేదనములు	bhedhanamulu
</s>	</s>
బరువు	baruvu
పెరుగుతున్న	peruguthunna
కొద్దీ	kodhdhi
కాలేయానికి	kaaleyaaniki
నష్టం	nashtam
వాటిల్లుతుందని	vaatilluthundhani
అధ్యయనాలు	adhyayanaalu
పేర్కొంటున్నాయి	perkontunnaayi
</s>	</s>
రెజ్లింగ్	wrestling
అబ్జెర్వెర్	observer
న్యూస్‌లెటర్	newsletter
అవార్డులు	awardulu
</s>	</s>
వాటిని	vaatini
జలపాతానికి	jalapaathaaniki
గ్రేటర్	greater
బఫెల్లో	bufferlo
చరిత్రకు	charitraku
అంకితమిచ్చారు	ankithamichchaaru
</s>	</s>
ప్రజాప్రతిఘటన	prajaaprathighatana
తమిళ	tamila
భాష	bhaasha
నుండి	nundi
డబ్బింగ్	dubbing
చేయబడి	cheyabadi
1990లో	1990 lo
విడుదలైన	vidudhalaina
సినిమా	cinema
</s>	</s>
మూలికా	mulikaa
వైద్యములో	vaidyamulo
ఒక్కోసారి	okkosaari
శిలీంద్ర	silindra
సంబంధ	sambandha
పదార్దములు	padhaardhamulu
మరియు	mariyu
తేనే	thene
టీగల	tigala
ఉత్పత్తులు	uthpaththulu
ఇంకా	inkaa
ఖనిజ	khanija
లవణములు	lavanamulu
గుల్లలు	gullalu
మరియు	mariyu
కొన్ని	konni
జంతువుల	janthuvula
ప్రత్యేక	prathyeka
భాగములు	bhaagamulu
వంటివి	vantivi
కూడా	kudaa
వాడబడతాయి.[1	vaadabadathaayi.[1
ఔషధ	aushadha
వృక్ష	vruksha
శాస్త్రం	saasthram
అనేది	anedhi
సహజవనరుల	sahajavanarula
నుంచి	nunchi
తయారు	thayaaru
చేయబడిన	cheyabadina
ఔషధాల	aushadhaala
గురించి	gurinchi
చేసే	chese
ఒక	oka
అధ్యయనము	adhyayanamu
</s>	</s>
వీటిలో	vitilo
భారతీయ	bharathiya
కావ్యాలు	kaavyaalu
పురాణాలు	puraanaalu
చరిత్ర	charithra
జానపద	jaanapadha
