ചാൾസ് തടാകം	Charles thadakom
ഇബ്‌നെ-ഇ-ശാഫി(ഇബ്‌നെ ഷാഫി എന്നും എഴുതും) എന്നത് പാകിസ്താനിലെ പ്രശസ്തനായ ഒരു അപസർപ്പക നോവലിസ്റ്റായ അസ്റാർ അഹമ്മദിന്റെ തൂലിക നാമമാണ്.	ebney-e-shaafi(ebney shaafi ennum ezhuthum) ennath paakkisthaanile preshasthanaaya oru apasarppaka novalisttaaya asraar ahamadinte thoolika naamamaanu.
വിത്തിന് രണ്ടു ചിറകുഭാഗങ്ങളുണ്ടായിരിക്കും.	vithinu randu chirakubhaagangalundaayirikkum.
മിമിക്രിയിലൂടെ കലാരംഗത്ത് എത്തിയ ലാൽ കൊച്ചിൻ കലാഭവന്റെ മിമിക്സ് പരേഡിലൂടെ ശ്രദ്ധപിടിച്ചുപറ്റി.	mimikriyiloode kalaarangathu ethiya laal kochin kalaabhavante mimics parediloode shredhapidichupatty.
ഭൈരവന് വീടിനുപുറത്ത് ഒരു പൂവൻകോഴിയെ അറുത്ത് ,പുരുക്ഷന്മാർ കുളിച്ച് ശുദ്ധിയോടെ തയ്യാറാക്കിയ ഒറോട്ടിയും ,ഞണ്ടും മറ്റുവിഭവങ്ങളും വിളമ്പുന്നു .	bhairavanu veedinupurathu oru poovaankozhiye aruth ,purushanmaar kulich shudhiyode thayaarakkiya oroottiyum ,njanddum mattuvibhavangalum vilabunnu .
മുള്ളരിക്കുടി	mullarikkudi
വഹീദ് മിയ ആണ് ഭർത്താവ്.	vaheed miya aanu bharthaavu.
ചിന്താർമണിയൻ	chindhaarmaniyan
പുരുഷന്മാരിൽ 40മില്ലിഗ്രാം/ഡെസീലിറ്ററിൽ കുറവായിരിക്കിന്നതും സ്ത്രീകളിൽ 50മില്ലിഗ്രാം/ഡെസീലിറ്ററിൽ കുറവായിരിക്കിന്നതും ഉയർന്ന അപകടസാദ്ധ്യത.	purushanmaaril 40milligram/decilitteril kuravaayirikunnathum sthreekalil 50milligram/decilitteril kuravaayirikunnathum uyarnna apakadasaadhyatha.
ഭീഷണികളും അഴിമതിയും ഇല്ലാത്ത, നിയമാനുസൃതമായ ഭരണം നടത്തുമെന്ന ഉറപ്പു നല്കിയതിൽ ആശ്വാസം കൊണ്ട വ്യാപാരികളും ബാങ്കുടമകളും സർക്കാരിന് വായ്പ നല്കാൻ തയ്യാറായി.	bheeshanikalum azhimathiyum ellaatha, niyamaanushrithamaaya bharanam nadathumenna urappu nalkiyathil aashwaasam konda vyaapaarikalum bankkudamakalum sarkaarinu vaayppa nalkaan thyyaraayi.
അലിഗഢ് മുസ്ലിം സർവകലാശാലയിൽ നിന്നും വിദ്യാഭ്യാസം പൂർത്തിയാക്കിയ അലി ക്രിക്കറ്റിൽ അതീവ തത്പരനായിരുന്നു.	aligadd muslim sarvakalaashaalayil ninnum vidhyaabhyaasam poorthiyaakkiya ali krikattil atheeva thalparanaayirunnu.
ഇവരുടെ വീക്ഷണം മൂല്യ-സൈദ്ധാന്തിക അതീതദർശനം എന്നാണറിയപ്പെടുന്നത്.	evarude veekshanam moolya-sythandhika atheethadarshanam ennaanariyappedunnathu.
ആവശ്യപ്പെട്ട വിവരങ്ങൾ സെർവർ, ക്ലൈന്റിന് കൈമാറുന്നു.	aavishyapetta vivarangal server, clyintinu kaimaarunnu.
ലാമിയം മാകുലേറ്റം (സ്പോട്ടെഡ് ഡെഡ് നെറ്റിൽസ്പോട്ടെഡ് ഹെൻബിറ്റ്പർപ്പിൾ ഡ്രാഗൺ) യൂറോപ്പിലും മിതമായ ഏഷ്യയിലും (ലെബനൻ, സിറിയ, ടർക്കി, പടിഞ്ഞാറൻ ചൈന) തദ്ദേശീയമായി വളരുന്ന ലാമിയേസി കുടുംബത്തിലെ ഒരു പൂച്ചെടി ആണ് ഇത്.	laamiyam maakuleettam (spotted ded nettilspotted henbitpurpil draagon) uroppilum mithamaaya eeshyayilum (lebanen, siriya, tarkey, padinjaaran chyna) thadheesheeyamaayi valarunna laamiyesi kudumbathile oru poochedi aanu eth.
വിഷയവിവേചനത്തിലെന്നപോലെ, ഗ്രന്ഥത്തെ സമുച്ചയിച്ചു രചിക്കുന്നതിലും വിവിധ ഭാഗങ്ങളെ സമന്വയിപ്പിക്കുന്നതിലും ഹൃദയകാരൻ വിജയം കൈവരിച്ചിട്ടുണ്ട്.	vishayavivechanathilennapole, grendhathe samuchayichu rachikunnathilum vividha bhaagangale samanvayipikunathilum hridayakaaran vijayam kaivarichitund.
വ്യവസ്ഥാപിതമായ രീതിയിൽ അർഹരായ ആളുകൾക്ക് സകാത്തു വിഹിതം എത്തിക്കുന്നതിൽ തൽപരരായ ദായകരെ ഉദ്ദേശിച്ച് 2000 ഒക്ടോബറിൽ ജമാഅത്ത് കേരള ഘടകം സംസ്ഥാന തലത്തിൽ രൂപം നൽകിയ ബൈത്തുസ്സകാത്ത്, കേരള 2005 ൽ ഒരു ചാരിറ്റബ്ൾ ട്രസ്റായി രജിസ്റർ ചെയ്യുകയുണ്ടായി.	vyevasthaapithamaaya reethiyil arharaaya aalukalkku sakaathu vihitham ethikunnathil thalpararaaya dhaayakare udheshich 2000 oktobaril jamaaath kerala khadakam samsthaana thalathil roopam nalkiya bythussakaath, kerala 2005 il oru chaarittabil trustaayi registar cheyyukayundaayi.
കാലിഫോർണിയ അടിസ്ഥാനമാക്കി പ്രവർത്തിക്കുന്ന ആർ.	kaaliforniya adisthaanamaakki prevarthikkunna r.
ശുദ്ധീകരിച്ച റബ്ബറിന്റെ ശാസ്ത്രീയനാമം പോളി ഐസോപ്രീൻ എന്നാണ്.	shudheekaricha rubberinte shaasthreeyanaamam poly isopreen ennaanu.
ഒലവക്കോട് റെയിൽവേ സ്റ്റേഷൻ സ്ഥിതി ചെയ്യുന്നു.	olavakkod reyilvay steyshion sthithi cheyyunnu.
ഒരു ഞാണിന്മേൽ കളിയുടെ അവതരണമാണിത്.	oru njaninmel kaliyude avatharanamaanithu.
ഡി പുറത്തുവിട്ടത്.	d purathuvittathu.
2018 ജനുവരിയിലെ സ്ഥിതിയനുസരിച്ച് ഇന്ത്യയിലെ ഏറ്റവും വേഗത കൂടിയ സൂപ്പർ കമ്പ്യൂട്ടറാണ് പ്രത്യൂഷ്.	2018 januvariyile sthithiyanusarich indiayile eettavum vegatha koodiya sooper kampyuttaraanu prethyush.
ഹരിണപ്ലുതം	harinaplutham
വലിയപറമ്പ്	valiyaparambu
കുറേ കുട്ടികൾ വട്ടത്തിലിരുന്ന് കൈപ്പടം നിലത്ത് പതിപ്പിച്ച് വയ്ക്കും.	kure kuttikal vattathilirunnu kaippadam nilathu pathipichu vaikkum.
യേശുവിന്റെ പ്രബോധനങ്ങളുടെ മുഖ്യ പ്രചോദനവും അടിസ്ഥാനവും യുഗാന്തചിന്തയായിരുന്നു.	Yesuvinte prabodhanagalude mukhya prachodanavum adisthanavum yugaanthachinthayayirunnu.
എ കൃഷ്ണനുനുമായിരുന്നു.	a krishnanumaayirunnu.
ആരിയക്കര നറുംകയത്തിൽ ആരിയപ്പട്ടരുടേയും ആരിയ പട്ടത്തിയുടേയും മകളായി ജനിച്ച ദൈവകന്യയാണ് ആര്യപൂങ്കന്നി എന്നു വിശ്വസിക്കുന്നു.	aariyakkara narumkayathil aariyappattarudeyum aariya pattathiyudeyum makalaayi janicha daivakanyakayaanu aaryapoonkanni ennu viswasikkunnu.
ഇവിടെ ഉപയോക്താവിന് ഡിഎസ്എൽ സേവനം ലഭിക്കാൻ സാധാരണ ടെലിഫോൺ സേവനം ഉപയോഗിക്കണമെന്ന് നിബന്ധനയില്ല.	evide upabhokthaavinu dsl sevanam labhikkaan sadaarana telifon sevanam upayogikanamennu nibhadhamilla.
ഇതിനിടയിൽ മുൻ സസാനിയൻ രാജാവായിരുന്ന യാസ്ദജിർദ് മൂന്നാമന്റെ മകൻ ഫിറൂസ് ചൈനയിലേക്ക് കടന്ന് അറബികൾക്കെതിരെ ചൈനക്കാരുടെ സഹായം അഭ്യർത്ഥിക്കുകയും അതിൽ വിജയം കാണുകയും ചെയ്തു.	ethinidayil mun sasaaniyan raajaavayirunna yaasdhajirdh moonaamante makan firoos chynayilek kadannu arabikalkethire chynakkaarude sahaayam abhyardhikukayum athil vijayam kaanukayum cheythu.
തമിഴ്–കന്നഡ ഗണത്തിൽ പ്പെടുന്ന ഒരു ഭാഷയാണ് കുറുംബ ഇത് പലപ്പോഴും കന്നഡ ഭാഷയുടെ ഒരു വകഭേദമായി കരുതാറുണ്ട്; എങ്കിലും, Ethnologue ഇതിനെ മറ്റൊരു ഭാഷയായാണ് കണക്കാക്കുന്നത്	thamizh-kannada ganathil pedunna oru bhaashayaanu kurumba ith palapozhum kannada bhaashayude oru vakabhedhamaayi karuthaarund; enkilum, Ethnologue ethine mattoru bhaashayayaanu kanakkaakkunnath
ജനിച്ച ശേഷം, കുഞ്ഞുങ്ങളെ അഞ്ചോ ആറോ ആഴ്ച്ചകൾ വരെ ഈ സഞ്ചിക്കുള്ളിലാണ് സൂക്ഷിക്കുന്നത്.	janicha shesham, kunjungale anjoo aaroo aazhchakal vare ee sanchikullilaanu sookshikunnath.
കാട്ടുകാരമുള്ള്, കോമട്ടി എന്നും പേരുകളുണ്ട്.	kaattukaaramull, komatty ennum perukalund.
രൂപകൽപനയെ വളരെയേറെ ആശ്രയിച്ച് രൂപംനൽകിയ നോൺ-ഡെഡിക്കേറ്റെഡ് മോഡ്, രൂപകൽന കൃത്യമായി പിന്തുടരാത്ത ഹാർഡ്വെയറുകളിൽ മോശം പ്രകടനം കാഴ്ചവെച്ചിരുന്നു.	ruupakalpanaye valareyeere aashrayichu ruupamnalkiya noon-dediketted mod, roopakalpana krithyamaayi pinthudaraatha haadwayarukalil mosham prekadanam kaazhchavechirunnu.
ആവശ്യമുള്ളപ്പോൾ സാധാരണ താപനിലയിലേക്ക് തിരികെ കൊണ്ടുവന്ന് ഉപയോഗിക്കുന്നു.	aavishyamullappol saadhaarana thaapanilayilek thirike konduvann upayogikkunnu.
പിതാവ് ബാബു ചബിലെ സിങ്ങും മാതാവ് അനുപാ ദേവിയും.	pithaavu baabu chabile singum maathavu anupa deviyum.
2010ൽ പഞ്ചാബൻ, ചന്നാ സച്ചീ മുച്ചീ എന്നീ ചിത്രങ്ങളിൽ ആദ്യമായിട്ടു പാടി.	2010il panchaaban, channaa sachee muchee ennee chithrangalil aadhyamayittu paadi.
മിക്കപ്പോഴും സംഹനനത്തിന്റെ ഫലമായിത്തന്നെ ഇത്തരം ശുഷ്കനം സംഭവിക്കുന്നു.	mikkappozhum samhananathinte bhalamaayi etharam shushaknam sambhavikkunnu.
ഈ സംഭവത്തിന് ശേഷം കുമാരപ്പണിക്കരടക്കമുള്ള സമര നേതാക്കൾക്ക് ഒളിവിൽ പേകേണ്ടതായി വന്നു.	ee sambhavathinu shesham kumaarapanikkaradakamulla samara nethaakkalkku olivil pokendathaayi vannu.
ആശാരിമാർ മരപ്പണി ചെയ്യുന്നു.	aashaarimaar marapani cheyunnu.
നന്മയും തിന്മയും തമ്മിലുള്ള യുദ്ധത്തിൽ ദൈവത്തെ സഹായിക്കാനായി ദൈവമായ അഹുറമസ്ദ സൃഷ്ടിച്ചതാണ് മനുഷ്യരെ .	nanmayum thinmayum thammilulla yudhathil daivathe sahaayikanaayi daivamaaya ahuramasdha srishtichathanu manushyare .
ഈ സംവിധാനം ക്യാമറ ല്യൂസിഡയോട് താരതമ്യപ്പെടുത്താമെങ്കിലും അതിനെ അപേക്ഷിച്ച് വളരെ ലളിതവും, രംഗത്തിലെയും പെയിൻ്റിങ്ങിലെയും നിറങ്ങൾ സൂക്ഷ്മമായി താരതമ്യപ്പെടുത്താൻ കഴിയുന്ന തരത്തിലുള്ളതുമായിരുന്നു.	ee samvidhaanam kyaamara lyusidayod thaarathamyapeduthaamenkilum athine apeekshich valare lalithavum, rangathileyum peyintingileyum nirangal sooshmamaayi thaarathamyapeduthaan kazhiyunna tharathilullathumaayirunnu.
ആറിൽ നിന്നും സ്വാതന്ത്ര്യം പ്രഖ്യാപിച്ചു.	aaril ninnum swaathanthryam pekhyaapichu.
വേദങ്ങളിൽ ശിവനെ അഭിസംബോധന ചെയ്യുന്ന ഒരു പ്രശസ്തമായ വാക്ക് രുദ്രം എന്നാണ്.	veedhangalil shivane abhisamboodhana cheyyunna oru preshasthamaaya vaak rudram annaanu.
സംയോജക സീമ (ഒത്തുകൂടുന്ന സീമ)	samyojaka seema (othukoodunna seema)
2017-ൽ ഈ ദ്വീപിനെ യുനെസ്കോ ലോകപൈതൃക പട്ടികയിൽ ഉൾപ്പെടുത്തി.	2017-il ee dveepine unaskko lokapythrika pattikayil ulpeduthy.
ദന്തപരിപാലനവും ദന്താന്തർഭാഗചികിത്സയും.	dhandhaparipaalanavum dhandhaandharbhaagachikithsayum.
റ്ററോളം ആഴത്തിൽ കാണുന്നു.	ttaroolam aazhathil kaanunnu.
എൻ. എസ്. എസ് വിദ്യാഭ്യാസ കോളേജ്	N. S. S vidhyaabhyaasa koleg
ഏറെ വർഷങ്ങൾക്കു മുമ്പ് പനങ്കാവ് ക്ഷേത്രം എന്ന പേരിലും ഈ ക്ഷേത്രം അറിയപ്പെട്ടിരുന്നു.	eeree varshangalk munp panankaav ksheethram enna perilum ee ksheethram ariyapettirunnu.
ഈ ദ്വീപ് ബെലിടങിൻറെ (ബിലിറ്റോൺ എന്നും അറിയപ്പെടുന്നു) കിഴക്കൻ തീരത്ത് ബോർണിയോയുടെ പടിഞ്ഞാറൻ തീരത്ത് (കലിമന്താൻ) ഏകദേശം 125 മൈൽ വീതിയുള്ളതാണ്.	ee dveep belidanginte (bilittoon ennum ariyapedunnu) kizhakkan theerath boorniyoyude padinjaaran theerath (kalimandhaan) eekadesham 125 mayil veethiyullthaanu.
ബ്രിട്ടീഷുകാർ മറ്റു രാജ്യങ്ങളിൽ കുടിയേറിപ്പാർത്ത് കച്ചവടം നടത്തുകയും സാമ്രാജ്യസീമ വർധിപ്പിക്കുകയും ചെയ്തതും ആംഗലേയ മിഷനറിമാർ സുവിശേഷപ്രചരണാർഥം നാനാരാജ്യങ്ങളിലേക്കു പോയതും ആംഗ്ലിക്കൻസഭ ഒരു ആഗോളസഭയായിത്തീരുവാൻ കാരണമായിത്തീർന്നു.	briteeshukaar mattu raajyangalil kudiyeeripaarthu kachavadam nadathukayum samraajyaseema vardhipikkukayum cheythum aangaleya mishanarimaar shuvisheshaprecharanaardham naanaaraajyangalilek pooyathum aanglikkansabha oru aaglolasabhayaayitheeruvaan kaaranamaayitheernnu.
തെക്കും വടക്കുമുള്ളവർ ദൈവതിരുമുൻപിൽ കുറ്റക്കാരാണ്.	thekkum vadakkumullavar daivathirumunpil kuttakkaaraan.
ഇത് സൂപ്പർഹിറ്റായിരുന്നു.	ith sooperhittaayirunnu.
മുതിർന്ന സ്ത്രീകളും കൌമാരപ്രായത്തിലെത്തിയ പെൺകുട്ടികളും ഈ നൃത്തമവതരിപ്പിക്കാറുണ്ട്.	muthirnna sthreekalum kowmaaraprayathilethiya penkuttikalum ee nrithamavatharippikkaarund.
അനുയായികൾ ഇദ്ദേഹത്തെ വായുവിന്റെ മൂന്നാമത്തെ മനുഷ്യാവതാരമായി (ഹനുമാൻ, ഭീമൻ എന്നിവർക്ക് ശേഷം) കണക്കാക്കുന്നു.	anuyaayikal edhehathe vaayuvinte moonnaamathe manushyaavathaaramaayi (hamumaan, bheeman ennivark shesham) kanakkaakkunnu.
ഇന്ന് കൊച്ചിയിൽ വിരലിലെണ്ണാവുന്നവർ മാത്രമാണുള്ളത്.	enn kochiyil virarilennaavunnavar maathramaanullath.
ആഴ്സീറിയ	aazhseeriya
അണുതൈലംകൊണ്ടുള്ള നസ്യം ശിരോരോഗശമനത്തിനു നല്ലതാണ്.	anuthailamkondulla nasyam shirorogashamanathinu nallathaanu.
ഇന്ത്യൻ പ്രീമിയർ ലീഗിൽ കൊൽക്കത്ത നൈറ്റ് റൈഡേഴ്സിനു വേണ്ടി അദ്ദേഹം കളിക്കുന്നുണ്ട്.	indian preemeyer leegil kolkatha nite rydeezhsinu vendi adheham kalikunnund.
ഉപയോക്താക്കൾക്ക് നിയന്ത്രണങ്ങളേർപ്പെടുത്തുന്നതിൽ കാർനിർവാഹകരുടെ ജോലിയും എളുപ്പമായി.	upabhogthaakalkku niyanthranangalerpeduthunnathil kaarnirvaahakarude joliyum eluppamaayi.
നായകൻ ശ്രീപദ്മനാഭസ്വാമിക്ഷേത്രത്തിനു സമീപമാണ് ചെന്നു വീഴുന്നത്.	naayakan sreepadthmanaabhaswaamiksheethrathinu sameepamaanu chennu veezhunnath.
നാടകങ്ങൾക്കും നോവലുകൾക്കും പുറമെ വ്യത്യസ്ത വിഷയങ്ങളിൽ നിരവധി ലേഖനങ്ങളും പഠനങ്ങളും പ്രസിദ്ധീകരിച്ചിട്ടുണ്ട്.	naadakangalkkum novalukalkkum puramee vithyastha vishayangalil niravadhi lekhanangalum padanangalum presidheekarichitund.
ചിദംബരത്തിന്റെ സംഘാടന, പ്രവർത്തന മികവുകൊണ്ട് സമരം പെട്ടെന്നു ജനശ്രദ്ധ പിടിച്ചു പറ്റി.	chidhambharathinte sankhaadana, prevarthana mikavukond samaram pettenu janashredha pidichu patty.
ട്രോപ്പോസ്ഥിയർ	troppoosthiyar
മാർബിൾ പാലസ്, കൽക്കത്ത	maarbil paalas, kalkkatha
1936 ന്റെ അന്ത്യത്തിൽ സ്പീക്കർ വോൾട്ടേറിനെ അറിയിച്ചു, ഏകാധിപതി ഏറ്റെടുത്തത് സ്പീക്കർ റിബക്ക് ക്യാപ്പിറ്റൽ എന്നതിനായുള്ള ജനറൽബേയിൻസ്പെക്ടർ (ജിബിഐ) അല്ലെങ്കിൽ ജനറൽ ബിൽഡിംഗ് ഇൻസ്പെക്ടറായി ഉടൻ നിർദ്ദേശിക്കുകയും, വോൾട്ടേഴ്സ് റെയിൽവേ അവനെ വീണ്ടും വേല ചെയ്യുക.	1936 nte andhyathil speekar voltteerine ariyichu, eekaadhipathy etteduthath speekar ribak kyaapittal ennathinaayulla janaralbeyinspectar (gbi) allenkil janaral bilding inspectaraayi udan nirdheshikkukayum, voltteers reyivey avane veendum vela cheyyuka.
ക്യാമറ സ്വന്തം കൈയകലത്തിൽ വെച്ചോ, അല്ലെങ്കിൽ ഒരു കണ്ണാടിയ്ക്ക് മുൻപിൽ നിന്നോ എടുക്കുന്ന ഫോട്ടോകളാണിവ.	kyaamara swantham kaiyyakalathil vechcho, allenkil oru kannaadik munpil ninnoo edukkunna fhottokalaaniva.
ഒരു കുപ്പായം.	oru kuppaayam.
ഉചിതമായ ലൈബ്രറി ചട്ടങ്ങൾ (നിയമവ്യവസ്തകൾ) പ്രചരിപ്പിക്കുകയും പ്രോത്സാഹിപ്പിക്കുകയും ചെയ്യുക	uchithamaya library chattangal (niyamavyavasthakal) pracharippikkukayum prothsahippikkukayum cheyyuka
പാത്രങ്ങളുടെ ആകൃതി സാധാരണ വട്ടത്തിലായതിനാൽ അപ്പവും വൃത്താകൃതിയിലായിരിക്കും.	paathrangalude aakrithi saadaarana vattathilaayathinaal appavum vrithaakrithiyilaayirikum.
ചിട്ടയോടെ അടുക്കി അവതരിക്കപ്പെട്ടിട്ടുള്ള എട്ടു ഭാവഗീതസമാഹാരങ്ങളിലും പത്തു നീണ്ടകാവ്യങ്ങളിലും പാട്ടുകളിലുമായി സംഘ സാഹിത്യം പരന്നുകിടക്കുന്നു.	chittayode adukki avatharikkapettitulla ettu bhaavageethasamaahaarangalilum pathu neendakavyangalilum paattukalumaayi sankha saahithyam parannukidakkunnu.
ഖുൻ സാത്തൻ നാഷണൽ പാർക്ക്	khun saathan naashanal paark
നോവൽ എഴുതി പൂർത്തിയായതിനുശേഷം ജി.	noval ezhuthi poorthiyaayathinushesham g.
1936 ഫെബ്രുവരി 2ന് ഫുജി ഹകോൺ ദേശീയോദ്യാനം എന്ന പേരിലാണ് ഇത് സ്ഥാപിതമായത്, പിന്നീട് 1950ൽ ഇസു ദ്വീപ പ്രദേശങ്ങളും ദേശീയോദ്യാനത്തോട്കൂടി കൂട്ടിച്ചേർത്തു.	1936 februvary 2NU fugi hakon desheeyodhyaanam enna perilaanu eth sthaapithamaayath, pinneed 1950il isu dveep predheshangalum dhesheeyodhyaanathodukuudi koottycherthu.
1946 ൽ റോയൽ ഇന്ത്യൻ നാവിക കലാപത്തിൽ മുതിർന്ന സഹോദരൻ പങ്കെടുത്തു.	1946 il royal indyan naavika kalaapathil muthirnna sahoodaran pankeduthu.
ഇത്തരം ശിശുക്കളെ 'ടെസ്റ്റ്ട്യൂബ് ശിശുക്കൾ' എന്നു വിളിക്കുന്നു.	etharam shishukkale 'testtuub shishukkal' ennu vilikkunnu.
1726-ൽ, പതിമൂന്നാം ബെനഡിക്ട് മാർപ്പാപ്പ അദ്ദേഹത്തെ വിശുദ്ധനായി നാമകരണം ചെയ്തു.	1726-il, pathimoonnaam benadict maarappaappa adhehathe vishudhanaayi naamakaranam cheythu.
അശ്വതിതിരുനാളിന്റെ പിതാവ്‌ കിളിമാനൂർ കോയിത്തമ്പുരാൻ 'കംസവധം' എഴുതി.	ashvathithirunaalinte pithaavu kilimaanuur koyithamburaan 'kamsavadham' ezhuthi.
കരുണാനിധിയുമായിരുന്നു.	karunaanidhiyumaayirunnu.
സൂചകോന്നതി	suuchakoonnathi
മരത്തിൽ വെട്ടുന്ന ചാൽ, അതിനെ പൂർണ്ണമായും ചുറ്റി കൂട്ടിമുട്ടാത്തരീതിയിലായിരിക്കണം ടാപ്പിങ് നടത്തേണ്ടത്.	marathil vettunna chaal, athine poornnamaayum chutty koottymuttaathareethiyilaayirikkanam tapping nadathendath.
ദ്രവ്യമാനം കുറഞ്ഞ നക്ഷത്രങ്ങളുടെ പരിണാമപ്രക്രിയയുടെ അവസാന ഘട്ടമാണ് വെള്ളക്കുള്ളന്മാർ.	drevyamaanam kuranja nakshathrangalude parinaamaprakriyayude avasaana khattamaanu vellakkullanmaar.
പെസഹാ ആഘോഷത്തിൽ ഉപയോഗിക്കുന്ന ഒരു പ്രത്യേകതരം അപ്പമാണ് കൽത്തപ്പം .	pesaha ahooshathil upayogikunna oru prethyeekatharam appamaan kalthappam .
ഐ എൻ എസ് കുർസുര (എസ്20) വിശാഖപട്ടണം	I N S Kursura (S20) vishaakhapattanam
എന്നാൽ, പിന്നീട് അദ്ദേഹം ക്യൂബയെയും വിമർശിച്ചു.	ennaal, pinneed adheham kyuubayeyum vimarshichu
പാമ്പുകളെക്കുറിച്ചും മുതലകളെക്കുറിച്ചും വിശദമായ പഠനങ്ങൾക്ക് ഇദ്ദേഹം നേതൃത്വം നൽകുകയുണ്ടായി.	pambukalekurichum muthalakalekurichum vishadhamaaya padanangalk idheham nethrithvam nalkukayundaayi.
സ്ഥലപ്പേരിന്റെ ഉൽഭവവും അതിൽനിന്നു തന്നെ.	sthalaperinte ulbhavavum athilninnu thanne.
സമ്പൂർണ്ണമായ ഓഡിയോ പതിപ്പും ഇതിനോടൊപ്പം ചേർത്തിട്ടുണ്ട്.	samboornamaaya odiyo pathippum ithinodoppam cherthittund.
ഈ ക്ഷേത്രത്തിന്‌ നെടുംകുന്നത്തിൻ്റെ ചരിത്രത്തിൽ നിർണായകമായ സ്ഥാനമാണുള്ളത്‌.	ee kshethrathin nedumkunnathinte charithrathil nirnaayakamaaya sthaanamaanullath.
തുറന്ന ഫയലിൽ നിന്ന് ആവശ്യമായ വിവരങ്ങൾക്കുവേണ്ടിയുള്ള അഭ്യർത്ഥന നൽകുക.	thuranna fhayalil ninn aavishyamaaya vivarangalkkuvendiyulla abhyarthana nalkuka.
കർണാടക ഉഡുപ്പി ജില്ലയിലെ മണിപ്പാലിൽ സപ്തഗിരിയിലായിരുന്നു താമസം.	karnataka uduppy jillayile manippaalil sapthagiriyilaayirunnu thaamasam.
ഹേബിയസ് കോർപ്പസ്	hebiyas korppas
മാലക്കാരൻ	maalakkaaran
ഒരുവർഷത്തിനിടെ അമേരിക്കയിൽ വിറ്റഴിഞ്ഞത് മൂന്നു ലക്ഷം പ്രതികളായിരുന്നു.	oruvarshathinide amerikkayil vittazhinjath moonu laksham prethikalaayirunnu.
ഫ്രാൻസിന്റെ വടക്കൻ പ്രദേശത്ത് ഒരു പ്രത്യേക പ്രദേശത്താണ് ഈ ഭാഷ സംസാരിച്ചുവരുന്നത്.	fransinte vadakkan predheeshath oru prethyeeka predheeshathaanu ee bhaasha samsaarichuvarunnath.
കൂടാതെ മുത്തപ്പന്റെ ആരൂഢ സ്ഥാനമായി കണക്കാക്കപ്പെടുന്ന കുന്നത്തൂർ പാടി, പുരളിമല എന്നിവിടങ്ങളുമാണ് പ്രധാന സങ്കേതങ്ങൾ.	kuudathe muththappante aaruda sthaanamaayi kankkaakkappedunna kunnaththoor paady, puralimala ennivadangalumaanu predaana sankeethangal.
എന്നു തുടങ്ങിയ പത്തോളം ദാർശനികപ്രശ്നങ്ങൾ 'അവ്യക്ത'ങ്ങളാണ് എന്നും, അതുകൊണ്ട് അവ ബുദ്ധൻ വ്യകതമാക്കിയിട്ടില്ല എന്നും പ്രതിപാദിച്ചിട്ടില്ല ദർശനകൃതികളിൽ പറയുന്നു.	ennu muthappante pathoolam dhaarshanikapreshnangal 'avyekththa'ngalaan ennum, athukond ava bhudhan vyekthamaakkiyittilla ennum prethipaadhichittilla dharshanakrithikalil parayunnu.
ഇവയുടെ ഉത്ഭവത്തെക്കുറിച്ചു പ്രചരിച്ചിട്ടുള്ള മറ്റൊരു നാടൻകഥയിൽ ക്യാപ്റ്റൻ ചാൾസ് കൂൺ എന്ന ഇംഗ്ലീഷ് സമുദ്ര സഞ്ചാരി ഉൾപ്പെടുന്നു.	evayude uthbhavathekurich precharichitulla mattoru naadankadhayil kyaapttan chaals koon enna engleesh samudra sanchaari ulpedunnu.
തിരുവനന്തപുരം ജില്ലയിൽ പൂവാർ - നെയ്യാറ്റിൻകര റോഡിലാണ് അരുമാനൂർ. അവിടെയാണ് അരുമാനൂർ ദേവക്ഷേത്രം.	thiruvananthapuram jillayil puuvaar - neyyattinkara rodilaanu arumaanoor. Avideyaan arumaanoor devakshethram.
ഇവ രണ്ടും ഉഷ്ണമേഖലാ മഴക്കാടുകളിലെ അടിക്കാടുകളിൽ വളരുന്നവയാണ്.	iva randum ushnamekhalaa mazhakkaadukalil adikkaadukalil valarunnavayaanu.
സ്പീറിന്റെ റിലീസിനു ശേഷം, സൗഹൃദം സാവധാനത്തിലാക്കി, വോൾട്ടേഴ്സ് എതിർത്തു ജൂതന്മാരുടെ ഹോളോകസ്റ്റും രണ്ടാം ലോകമഹായുദ്ധവും ഹിറ്റ്ലറുടെയും മറ്റു നാസികളുടെയും സ്പീക്കറുടെ ആരോപണത്തെ ശക്തമായി എതിർത്തു.	peerinte rileesinu sheesham, sowhridham saavadhaanathilaakki, volters ethirthu joothanmaarude hoolookasttum randaam lokamahaayudhavum hitlarudeyum mattu naasikaludeyum speekarudey aaroopanaththe sakthamaayi ethirthu.
പതിനാറാം നൂറ്റാണ്ടിലെ വെനീഷ്യൻ സ്കൂൾ ചിത്രകാരന്മാരിൽ പ്രമുഖനായിരുന്നു.	pathinaaraam nuuttaandile veneeshyan skool chithrakaaranmaaril premukhanaayirunnu.
ഉപയോഗിക്കാത്തപ്പോൾ മടങ്ങിയിരിക്കുന്ന രീതിയിൽ ക്യാരിയിംഗ് ഹാന്റിൽ നിർമ്മിച്ചിരിക്കുന്നു.	upayogikkaathappol madangiyirikunna reethiyil kyaaring haanril nirmichirikkunnu.
