ਨੌਜਵਾਨ	naujavaan
ਪੰਜਾਬੀ	panjabi
ਗਾਇਕੀ	gaaiki
ਵਿੱਚ	vich
ਸਦਾ	sadaa
ਹੀ	hi
ਆਪਣੇ	apane
ਮਿੱਠੇ	mitthe
ਸੁਰਾਂ	suraan
ਔਰ	aur
ਮਿੰਨੇ-ਮਿੰਨੇ	minne-minne
ਬੋਲਾਂ	bolaan
ਲਈ	lai
ਯਾਦ	yaad
ਕੀਤਾ	kita
ਜਾਂਦਾ	janda
ਰਹੇਗਾ	rahegaa
</s>	</s>
ਗੌਰਤਲਬ	gauratalab
ਹੈ	hai
ਕਿ	ki
4	4
ਅਕਤੂਬਰ	october
1957	1957
ਤੋਂ	ton
ਪਹਿਲਾਂ	pehlaan
ਮਨੁੱਖ	manukkh
ਵੱਲੋਂ	vallon
ਈਜਾਦ	ijaad
ਕੀਤੀ	kiti
ਕਿਸੇ	kise
ਵਸਤੂ	vasatu
ਦੀ	di
ਵੱਧ	vaddh
ਤੋਂ	ton
ਵੱਧ	vaddh
ਰਫ਼ਤਾਰ	rafataar
ਪੌਣੇ	paune
ਕੁ	ku
ਸੱਤ	satt
ਹਜ਼ਾਰ	hazaar
ਮੀਲ	mil
ਪ੍ਰਤੀ	prati
ਘੰਟਾ	ghantaa
ਸੀ	si
ਪਰ	par
ਇਸ	is
ਦਿਨ	din
ਨੂੰ	nu
ਧਰਤੀ	dharati
ਦੁਆਲੇ	duaale
ਪੁਲਾੜੀ	pulaarhi
ਪੰਧ	pandh
ਉੱਪਰ	uppar
ਪੈ	pai
ਚੱਕੇ	chakke
ਸਪੂਤਨਿਕ-1	saputanik-1
ਦੀ	di
ਰਫ਼ਤਾਰ	rafataar
18	18
ਹਜ਼ਾਰ	hazaar
ਮੀਲ	mil
ਪ੍ਰਤੀ	prati
ਘੰਟਾ	ghantaa
ਸੀ	si
</s>	</s>
1907	1907
ਵਿੱਚ	vich
ਭਾਈ	bhai
ਮੇਵਾ	mevaa
ਸਿੰਘ	singh
ਨੇ	ne
ਦੇਖਿਆ	dekhiaa
ਕਿ	ki
ਬ੍ਰਿਟਿਸ਼	british
ਕੋਲੰਬੀਆ	kolambiaa
ਵਿਧਾਨ	vidhaan
ਸਭਾ	sabhaa
ਵਿੱਚ	vich
ਭਾਰਤੀ	bharati
ਪਰਵਾਸੀਆਂ	paravaasiaan
ਦਾ	daa
ਵੋਟ	vot
ਪਾਉਣ	paaun
ਦਾ	daa
ਹੱਕ	hakk
ਖੋਹ	khoh
ਲਿਆ	liya
ਗਿਆ	gaya
ਸੀ	si
</s>	</s>
ਨਾਸਿਰ	nasir
ਕਾਜ਼ਮੀ	kazmi
ਨੇ	ne
ਸਭ	sabh
ਤੋਂ	ton
ਵਧੀਆ	vadhiaa
ਗਜਲਾਂ	gajalaan
ਉਸੀ	usi
ਜ਼ਮਾਨੇ	zamaane
ਵਿੱਚ	vich
ਲਿਖੀਆਂ	likhiaan
</s>	</s>
ਇਹ	eh
ਤਹਿਸੀਲ	tehsil
ਮੌੜ	maurh
ਦੇ	de
ਅਧੀਨ	adhin
ਆਉਂਦਾ	aonnda
ਹੈ	hai
</s>	</s>
ਮਰਾਸ਼ਿਸ	maraashis
</s>	</s>
ਮੋਹਿਨਜੋਦੜੋ,ਕਾਲੀਬੰਗਾ,ਲੋਥਲ,ਹੜੱਪਾ,ਆਦਿ	mohinajodarho,kaalibangaa,lothal,harhappaa,aadi
ਇਸਦੇ	isade
ਪ੍ਰਮੁੱਖ	pramukkh
ਕੇਂਦਰ	kendar
ਸਨ	san
</s>	</s>
ਉਹ	uh
ਆਪੇ	aape
ਸਿੱਖੀ	sikkhi
ਹੋਈ	hoi
ਚਿੱਤਰਕਾਰ	chittarakaar
ਹੈ	hai
</s>	</s>
ਇਸ	is
ਨਾਲ	naal
ਸਾਂਝੇ	saanjhe
ਮੋਰਚੇ	morache
ਦੀ	di
ਸਰਕਾਰ	sarakaar
ਘੱਟ	ghatt
ਗਿਣਤੀ	ginati
ਵਿਚ	vich
ਹੋ	ho
ਗਈ	gai
</s>	</s>
ਪਰ	par
ਗੁਰਦਾਸਪੁਰ	gurdaspur
ਜਿਲ੍ਹੇ	jilhe
ਦੇ	de
ਸਮੇਂ	samen
ਗੁਜਰਾਂਵਾਲਾ	gujjaranwala
ਖੇਤਰ	khetar
ਵਿੱਚ	vich
ਜਰਾਇਮ	jaraaim
ਪੇਸ਼ਾ	peshaa
ਸਨ	san
</s>	</s>
ਮਾਘੀ	maaghi
ਦਾ	daa
ਸੰਬੰਧ	sambandh
ਪੰਜਾਬ	panjaab
ਦੇ	de
ਸ਼ਹੀਦੀ	shahidi
ੲਿਤਿਹਾਸ	itehaas
ਨਾਲ	naal
ਹੋਰ	hor
ਵੀ	vi
ਪੱਕੀ	pakki
ਤਰ੍ਹਾਂ	tarhaan
ਗੰਢਿਅਾ	gandhiaa
ਗਿਅਾ	gaya
ਹੈ	hai
</s>	</s>
ਵਿਯੋਜਨ	viyojan
</s>	</s>
ਇਨ੍ਹਾਂ	inhaan
ਦੇ	de
ਨਰ	nar
ਅਤੇ	ate
ਮਾਦਾ	maadaa
ਵਿੱਚ	vich
ਦੇਖਣ	dekhan
ਨੂੰ	nu
ਕੋਈ	koi
ਫ਼ਰਕ	farak
ਨਹੀਂ	nahin
ਹੁੰਦਾ	hunda
</s>	</s>
ਉਸ	us
ਨੇ	ne
ਫਰੈਡਰਿਕ	frderick
ਵਿਲੀਅਮ	william
ਯੂਨੀਵਰਸਿਟੀ	univerity
ਵਿਚ	vich
ਆਪਣੀ	aapani
ਪੜ੍ਹਾਈ	parhhaai
ਜਾਰੀ	jaari
ਰੱਖੀ	rakkhi
ਅਤੇ	ate
1928	1928
ਵਿਚ	vich
ਵਰਨਰ	varanar
ਸੋਮਬਾਰਟ	somabaarat
ਦੇ	de
ਨਿਰਦੇਸ਼ਨ	niradeshan
ਅਧੀਨ	adhin
ਅਰਥਸ਼ਾਸਤਰ	arathashaasatar
ਵਿੱਚ	vich
ਪੀਐੱਚਡੀ	phd
ਦੀ	di
ਡਿਗਰੀ	digari
ਹਾਸਲ	haasal
ਕੀਤੀ	kiti
</s>	</s>
ਨਵ	nav
ਪੱਧਤੀਆਂ	paddhatiaan
ਦੇ	de
ਸੰਚਾਰ	sanchaar
ਰਾਹੀ	raahi
ਇੱਕ	ikk
ਸਭਿਆਚਾਰ	sabhiaachaar
ਦੇ	de
ਤੱਤ	tatt
ਦੁਸਰੇ	dusare
ਸਭਿਆਚਾਰ	sabhiaachaar
ਵਿੱਚ	vich
ਦਾਖਲ	daakhal
ਹੋ	ho
ਜਾਂਦੇ	jaande
ਹਨ	han
</s>	</s>
ਇਹ	eh
ਸਰਵਪ੍ਰਥਮ	saravapratham
ਕੁੱਝ	kujjh
ਦੂਰ	dur
ਉੱਚ	ucch
ਪਹਾੜੀ	pahaarhi
ਖੇਤਰ	khetar
ਵਿੱਚ	vich
ਵਗਣ	vagan
ਦੇ	de
ਬਾਅਦ	baad
ਲਾਲ	laal
ਬੇਸਿਨ	besin
ਵਿੱਚ	vich
ਪ੍ਰਵੇਸ਼	pravesh
ਕਰਦੀ	karadi
ਹੈ	hai
ਜਿੱਥੇ	jitthe
ਧਰਾਤਲ	dharaatal
ਅਤਿਅੰਤ	atiant
ਕਟਿਆ	katiaa
ਫੱਟਿਆ	phattiaa
ਅਤੇ	ate
ਕੁੱਝ	kujjh
ਅਸਮਤਲ	asamatal
ਹੈ	hai
</s>	</s>
ਮਸਸਊਦ	nasasaud
ਨੇ	ne
ਸਭ	sabh
ਤੋ	to
ਪਹਿਲਾਪੰਜਾਬੀ	pahilaa panjabi
ਕਾਵਿ	kaavi
ਰੂਪ	rup
ਬਾਰਾਮਾਹ	baaraamaah
ਨੂੰ	nu
ਗੁਜਲੀ	gujali
ਅਤਿ	ati
ਸ਼ਹੂਰੀਆ	shahuriaa
ਨਾਮ	naam
ਹੇਠ	heth
ਲਿਖਿਆ	likhiaa
</s>	</s>
ਪ੍ਰਾਇਮਰੀ	primary
ਖਪਤਕਾਰ	khapatakaar
ਦੇ	de
ਸ਼ਰੀਰ	sharir
ਵਿੱਚ	vich
ਜਮਾਂ	jamaan
ਹੋਈ	hoi
ਊਰਜਾ	urajaa
ਨੂੰ	nu
ਸੈਕੰਡਰੀ	secondary
ਖਪਤਕਾਰ	khapatakaar
ਹਜ਼ਮ	hazam
ਕਰਕੇ	karake
ਆਪਨੇ	aapne
ਸ਼ਰੀਰ	sharir
ਵਿਚ	vich
ਸੋਕ	sok
ਲੈਂਦੇ	lainde
ਹਨ	han
</s>	</s>
ਈਸ਼ੁਵਰ	ishuvar
ਨਾਲ	naal
ਓਅੰਕਾਰ	oankaar
ਦਾ	daa
ਵਾਚੀ-ਵਾਚਕ-ਭਾਵ	vaachi-vaachak-bhaav
ਸੰਬੰਧ	sambandh
ਨਿੱਤ	nitt
ਹੈ	hai
ਸੰਕੇਤਕ	sanketak
ਨਹੀਂ	nahin
</s>	</s>
ਜਲੂਣ	jalun
</s>	</s>
ਸਾਵਰ	saavar
ਦਾ	daa
ਜਨਮ	janam
24	24
ਦਸੰਬਰ	december
1889	1889
ਨੂੰ	nu
ਅਮਰੀਕੀ	amariki
ਰਾਜ	raaj
ਮਿਜ਼ੂਰੀ	mizuri
ਵਿੱਚ	vich
ਵੈਰਨਟਨ	vairanatan
ਵਿਖੇ	vikhe
ਹੋਇਆ	hoya
</s>	</s>
ਸੀਮਾ	seema
ਦੀਆਂ	diaan
ਕਠਿਨਾਈਆਂ	kathnaaian
ਦੇ	de
ਕਾਰਨ	kaaran
ਅੰਗਰੇਜਾਂ	angreja
ਨੇ	ne
ਅਪ੍ਰੈਲ	april
1815	1815
ਵਿੱਚ	vich
ਗੜਵਾਲ	garhvaal
ਉੱਤੇ	utte
ਹਮਲਾ	hamala
ਕੀਤਾ	kitta
ਅਤੇ	ate
ਗੋਰਖੀਆਂ	gorkhian
ਨੂੰ	nu
ਗੜਵਾਲ	garhvaal
ਵਲੋਂ	vichon
ਖਦੇੜਕਰ	khader kar
ਇਸਨੂੰ	isnu
ਬਰੀਟੀਸ਼	british
ਜਿਲ੍ਹੇ	jilhe
ਦੀ	di
ਤਰ੍ਹਾਂ	tarhaan
ਮਿਲਿਆ	miliya
ਲਿਆ	liya
ਅਤੇ	ate
ਇਸਨੂੰ	isnun
ਦੋ	do
ਭੱਜਿਆ	bhajjiaa
ਪੂਰਵੀ	puravi
ਗੜਵਾਲ	garhavaal
ਅਤੇ	ate
ਪੱਛਮ	pachhchham
ਵਾਲਾ	wala
ਗੜਵਾਲ	garhavaal
ਵਿੱਚ	vich
ਵੰਡ	vand
ਦਿੱਤਾ	ditta
</s>	</s>
ਨਤੀਜਾ	natijaa
ਇਹ	eh
ਹੋਇਆ	hoya
ਕਿ	ki
ਕੰਬੋਜ	kamboj
ਉੱਤੇ	utte
ਦੋ	do
ਵੱਲ	vall
ਵਲੋਂ	valon
ਭਾਰੀ	bhaari
ਦਬਾਅ	dabaa
ਪੈਣ	pain
ਲਗਾ	lagaa
ਅਤੇ	ate
ਉਹ	uh
ਇਨ੍ਹਾਂ	inhaan
ਦੋਨਾਂ	donaan
ਦੇਸ਼ਾਂ	deshaan
ਦੀ	di
ਚੱਕੀ	chakki
ਦੇ	de
ਪਾਟੋਂ	paaton
ਦੇ	de
ਵਿੱਚ	vich
ਪਿਸਣ	pisan
ਲਗਾ	lagaa
</s>	</s>
ਪਹਿਲੀ	pahili
ਕਿਤਾਬ	kitab
ਦੇ	de
ਛਪਣ	chhapan
ਮਗਰੋਂ	magaron
ਉਹ	uh
ਡਾਕਟਰੀ	daakatari
ਛੱਡ	chhadd
ਕੇ	ke
ਕਹਾਣੀਆਂ	kahaanian
ਤੇ	te
ਡਰਾਮੇ	daraame
ਲਿਖਣ	likhan
ਲੱਗ	lagg
ਗਿਆ	gaya
</s>	</s>
ਸ੍ਰੀ	sri
ਅੰਮ੍ਰਿਤਸਰ	amritsar
ਸਾਹਿਬ	sahib
ਵਿਖੇ	vikhe
ਅਪਰੈਲ	april
1978	1978
ਦੇ	de
ਨਿਰੰਕਾਰੀ	nirankaari
ਸਿੱਖ	sikkh
ਝਗੜੇ	jhagarhe
ਦੇ	de
ਮੁਕੱਦਮੇ	mukaddame
ਦੀ	di
ਤਫ਼ਤੀਸ਼	tafatish
ਤੋਂ	ton
ਲੈ	lai
ਕੇ	ke
ਸੰਤ	sant
ਜਰਨੈਲ	jaranail
ਸਿੰਘ	singh
ਭਿੰਡਰਾਂਵਾਲਾ	bhindarawala
ਦੀ	di
20	20
ਸਤੰਬਰ	september
1981	1981
ਨੂੰ	nu
ਮਹਿਤਾ	mahitaa
ਚੌਂਕ	chaunk
ਵਿੱਚ	vich
ਗ੍ਰਿਫ਼ਤਾਰੀ	grifataari
ਧਰਮ	dharam
ਯੁੱਧ	yuddh
ਮੋਰਚਾ	morchaa
18	18
ਜੁਲਾਈ	july
1982	1982
ਦੀ	di
ਆਰੰਭਤਾ	aarambhataa
ਸਾਕਾ	saakaa
ਨੀਲਾ	nilaa
ਤਾਰਾ	taaraa
ਬਲੈਕ-ਥੰਡਰ	black-thunder
ਤੋਂ	ton
ਬਾਅਦ	baad
ਸੰਨ	sann
1997	1997
ਤਕ	tak
ਲੇਖਕ	lekhak
ਨੇ	ne
ਵੱਖ-ਵੱਖ	vakkh-vakkh
ਅਹੁਦਿਆਂ	ahudiaan
ਤੇ	te
ਪੁਲੀਸ	pulis
ਅਧਿਕਾਰੀ	adhikaari
ਵਜੋਂ	vajon
ਅੰਮ੍ਰਿਤਸਰ	amritsar
ਬਹੁਤ	bahut
ਕੁਝ	kujh
ਦੇਖਿਆ	dekhiaa
ਤੇ	te
ਹੰਢਾਇਆ	handhaya
</s>	</s>
ਅਤੇ	ate
ਫਿਰ	phir
</s>	</s>
ਜੀਵਨ	jivan
ਦੀ	di
ਬਹੁਮੁਖੀ	bahumukhi
ਵਿਆਪਕਤਾ	viaapakataa
ਦੇ	de
ਕਾਰਨ	kaaran
ਅਲਪ	alap
ਸਾਮਗਰੀ	saamagari
ਦੇ	de
ਸਹਾਰੇ	sahaare
ਬੀਤਿਆ	bitiaa
ਹੋਇਆ	hoya
ਯੁੱਗ	yugg
ਅਤੇ	ate
ਸਮਾਜ	samaaj
ਦਾ	daa
ਚਿਤਰਨਿਰਮਾਣ	chitaraniramaan
ਕਰਨਾ	karnaa
ਕਠਿਨ	kathin
ਹੈ	hai
</s>	</s>
ਉਨ੍ਹਾਂ	unhaan
ਦਾ	daa
ਵਿਆਹ	viaah
ਦਸਾਂ	dasaan
ਸਾਲਾਂ	saalaan
ਬਾਅਦ	baad
ਟੁੱਟ	tutt
ਗਿਆ	gaya
</s>	</s>
ਇਹ	eh
ਬੰਗਾਲ	bangaal
ਪ੍ਰਧਾਨਗੀ	pradhaanagi
ਬ੍ਰਿਟਿਸ਼	british
ਭਾਰਤ	bharat
ਵਿੱਚ	vich
1928	1928
ਵਿੱਚ	vich
ਲਤਿਕਾ	latikaa
ਬੋਸ	bos
ਦੁਆਰਾ	duaraa
ਸੁਭਾਸ	subhaas
ਚੰਦਰ	chandar
ਬੋਸ	bos
ਇੱਕ	ikk
ਪ੍ਰਮੁੱਖ	pramukkh
ਭਾਰਤੀ	bharati
ਰਾਸ਼ਟਰਵਾਦੀ	raashataravaadi
ਨੇਤਾ	neta
ਦੀ	di
ਪਰੇਰਨਾ	pareranaa
ਨਾਲ	naal
ਬਣਾਈ	banai
ਗਈ	gai
ਸੀ	si
</s>	</s>
ਜਮਾਂ	jamaan
ਕਰਾਉਣੇ	karaaune
ਜ਼ਰੂਰੀ	zaruri
ਹਨ	han
</s>	</s>
ਇਹ	eh
ਕਵੀਨਸ	kavinas
ਪਾਰਕ	paarak
ਰੇਨਗੇਰਸ	renageras
ਦਾ	daa
ਘਰੇਲੂ	gharelu
ਮੈਦਾਨ	maidaan
ਹੈ	hai
ਜਿਸ	jis
ਵਿੱਚ	vich
18,439	18,439
ਲੋਕਾਂ	lokaan
ਦੇ	de
ਬੈਠਣ	baithan
ਦੀ	di
ਸਮਰੱਥਾ	samaratthaa
ਹੈ	hai
</s>	</s>
ਉਨ੍ਹਾਂ	unhaan
ਦਾ	daa
ਮਤ	mat
ਹੈ	hai
ਕਿ	ki
ਨਵਾਂ	navaan
ਕਵੀ	kavi
ਕਵਿਤਾ	kavitaa
ਗਦ	gad
ਅਤੇ	ate
ਗੱਲਬਾਤ	gallabaat
ਲਈ	lai
ਵੱਖਰੇ	vakkhare
ਤੌਰ	taur
ਤੇ	te
ਭਾਸ਼ਾ	bhasha
ਦਾ	daa
ਸੰਗ੍ਰਹਿ	sangrah
ਨਹੀਂ	nahin
ਕਰਦਾ	kardaa
</s>	</s>
ਉਪਰੋਕਤ	uparokat
ਜਾਣਕਾਰੀ	jaanakaari
ਸਮੇਤ	samet
ਬੀਜ	beej
ਇਲਾਜ	ilaaj
ਬਾਰੇ	baare
ਜਾਣਕਾਰੀ	jaanakaari
ਨੂੰ	nu
ਰਜਿਸਟਰੇਸ਼ਨ	rajisatareshan
ਅਥਾਰਟੀ	athaarati
ਡੈਟਾਬੇਸ	database
ਤੇ	te
ਵੇਖਿਆ	vekhiaa
ਜਾ	jaa
ਸਕਦਾ	sakadaa
ਹੈ	hai
</s>	</s>
80	80
ਤੋਂ	ton
ਵੱਧ	vaddh
ਦੇਸ਼ਾਂ	deshaan
ਵਿਚ	vich
ਕੰਪਨੀ	kampani
ਦੀ	di
ਮੌਜੂਦਗੀ	maujudagi
ਹੈ	hai
</s>	</s>
ਇਹ੍	eh
ਮਹਾਨ	mahaan
ਅਮਰੀਕੀ	amariki
ਨਾਵਲਾਂ	naavalaan
ਵਿੱਚ	vich
ਗਿਣਿਆ	giniaa
ਜਾਂਦਾ	janda
ਹੈ	hai
ਅਤੇ	ate
ਇਹ	eh
ਵਰਨੈਕੂਲਰ	vernacular
ਅੰਗਰੇਜ਼ੀ	angarezi
ਵਿੱਚ	vich
ਲਿਖੀਆਂ	likhiaan
ਅਮਰੀਕੀ	amariki
ਸਾਹਿਤ	saahit
ਦੀਆਂ	diaan
ਪਹਿਲੀਆਂ	pahiliyan
ਵੱਡੀਆਂ	vaddiaan
ਰਚਨਾਵਾਂ	rachanaavaan
ਵਿੱਚੋਂ	vichon
ਇੱਕ	ikk
ਹੈ	hai
ਅਤੇ	ate
ਇਸ	is
ਵਿੱਚ	vich
ਸਥਾਨਕ	sathaanak
ਅਮਰੀਕੀ	amariki
ਆਂਚਲਿਕਤਾ	aanchalikataa
ਦਾ	daa
ਰੰਗ	rang
ਬਹੁਤ	bahut
ਗੂੜ੍ਹਾ	gurhhaa
ਹੈ	hai
</s>	</s>
ਕੋਈ	koi
ਨਾ	naa
ਜਾਣੇ	jaane
</s>	</s>
ਇਸ	is
ਦੌਰਾਨ	dauraan
ਗਲਾਸਟਰ	galasatar
ਨੂੰ	nu
ਵੀ	vi
ਪਰਿਵਾਰਕ	parivaarak
ਸਮੱਸਿਆਵਾਂ	samassiaavaan
ਪੈਦਾ	paidaa
ਹੁੰਦੀਆਂ	hundiaan
ਹਨ	han
</s>	</s>
1936	1936
ਵਿਚ	vich
ਉਸ	us
ਨੇ	ne
ਏਰਨਾਕੂਲਮ	eranaakulam
ਤੋਂ	ton
ਮੋਰ	mor
ਛਾਪਣਾ	chhaapanaa
ਅਰੰਭ	arambh
ਕੀਤਾ	kita
ਅਤੇ	ate
ਉਸੇ	use
ਸਾਲ	saal
ਉਸ	us
ਨੇ	ne
ਇਕ	ik
ਹੋਰ	hor
ਮੈਗਜ਼ੀਨ	magazin
ਹਰਿਜਨ	harijan
ਏ	e
ਪ੍ਰਕਾਸ਼ਿਤ	prakaashit
ਕੀਤਾ	kita
ਜਿਸ	jis
ਨੂੰ	nu
ਵੱਲੋਨ	vallon
ਸੰਪਾਦਿਤ	sampaadit
ਕਰਦਾ	kardaa
ਸੀ	si
</s>	</s>
ਇਨ੍ਹਾਂ	inhaan
ਵਿਚ	vich
ਵਿਆਹ	viaah
ਛੋਟੀ	chhoti
ਉਮਰ	umar
ਵਿੱਚ	vich
ਕਰ	kar
ਦਿੱਤੇ	ditte
ਜਾਂਦੇ	jaande
ਹਨ	han
</s>	</s>
ਸੁਖਦੇਵ	sukhdev
ਥਾਪਰ	thapar
</s>	</s>
ਕੌਮੀਅਤ	kaumiat
</s>	</s>
ਮੈਂ	main
ਰੋਵਾਂ	rovaan
ਤਰਲੇ	tarale
ਪਾਵਾਂ	paavaan
</s>	</s>
ਸ਼ਮਸ-ਉਦ-ਦੀਨ	shamas-ud-din
ਇਲਿਆਸ	iliyas
ਸ਼ਾਹ	shah
ਨੇ	ne
ਸ਼ਾਹ-ਏ-ਬਾਂਗਲਾਹ	shah-e-baangalaah
ਦਾ	daa
ਸਿਰਲੇਖ	sirlekh
ਲਿਆ	liya
ਅਤੇ	ate
ਪਹਿਲੀ	pahili
ਵਾਰ	vaar
ਇਕ	ik
ਸਰਕਾਰ	sarakaar
ਅਧੀਨ	adhin
ਸਾਰੇ	saare
ਖੇਤਰ	khetar
ਨੂੰ	nu
ਇਕਜੁੱਟ	ikjutt
ਕਰ	kar
ਦਿੱਤਾ	ditta
</s>	</s>
ਇਨ੍ਹਾਂ	inhaan
ਨੂੰ	nu
ਵਿਕਰਮਾਦਿੱਤ	vikaramaaditt
ਦੇ	de
ਨੌਂ	naun
ਰਤਨਾਂ	ratanaan
ਵਿੱਚੋਂ	vichon
ਇੱਕ	ikk
ਮੰਨਿਆ	mania
ਜਾਂਦਾ	janda
ਹੈ	hai
</s>	</s>
ਸ਼ੋਪੁਹ	shopuh
ਵਾਰਸਾ	vaarsaa
ਦੀ	di
ਡਚੀ	dachi
ਦੇ	de
ਇੱਕ	ikk
ਪਿੰਡ	pind
ਜੇਲਾਜੋਵਾ	jelaajovaa
ਵੋਲਾ	volaa
ਵਿੱਚ	vich
ਪੈਦਾ	paida
ਹੋਇਆ	hoya
</s>	</s>
ਸਮਾਂ	samaan
ਬੀਤਣ	bitan
ਉੱਪਰੰਤ	upparant
ਇਨ੍ਹਾਂ	inhaan
ਕਾਰਜਾਂ	kaarajaan
ਨੇ	ne
ਨਰਮਦਾ	naramadaa
ਬਚਾਉ	bachaau
ਅੰਦੋਲਨ	andolan
ਦਾ	daa
ਰੂਪ	rup
ਧਾਰ	dhaar
ਲਿਆ	liya
</s>	</s>
ਜ਼ਰਾ	zaraa
ਆਈਂ	aain
ਮੁੰਡਿਆ	mundiaa
</s>	</s>
ਜਗਸੀਰ	jagsir
ਦਾ	daa
ਜਨਮ	janam
ਭਾਰਤੀ	bharati
ਪੰਜਾਬ	panjaab
ਦੇ	de
ਬਠਿੰਡਾ	bathinda
ਜ਼ਿਲ੍ਹੇ	zilhe
ਦੇ	de
ਪਿੰਡ	pind
ਜੀਦਾ	jidaa
ਵਿਖੇ	vikhe
ਪਿਤਾ	pitaa
ਸ੍ਰੀ	sri
ਗੁਰਦੇਵ	gurdev
ਸਿੰਘ	singh
ਅਤੇ	ate
ਮਾਤਾ	maataa
ਮਰਹੂਮ	marahum
ਮੁਖਤਿਆਰ	mukhatiaar
ਕੌਰ	kaur
ਦੇ	de
ਘਰ	ghar
1963	1963
ਵਿੱਚ	vich
ਹੋਇਆ	hoya
ਸੀ	si
</s>	</s>
ਇਸ	is
ਦੇ	de
ਨੇੜੇ	nerhe
ਦਾ	daa
ਰੇਲਵੇ	railway
ਸਟੇਸ਼ਨ	station
ਨੰਗਲ	nangal
ਡੇਮ	dem
6	6
ਕਿਲੋਮੀਟਰ	kilomitar
ਦੀ	di
ਦੂਰੀ	duri
ਤੇ	te
ਹੈ	hai
</s>	</s>
ਪੰਜਾਬੀ	panjabi
ਭਾਸ਼ਾ	bhasha
ਵਿਚ	vich
ਸੈਂਕੜੇ	sainkarhe
ਹੀ	hi
ਸ਼ਬਦ	shabad
ਪੱਛਮੀਕਰਨ	pachhamikaran
ਦੇ	de
ਪ੍ਰਭਾਵ	prabhaav
ਅਧੀਨ	adhin
ਆਏ	aae
ਹਨ	han
ਜਿਵੇਂ	jiven
ਬੈਟ,ਸਕੂਲ,ਬੱਸ	bait,sakul,bass
ਆਦਿ	aadi
</s>	</s>
ਇਸ	is
ਬੋਲੀ	boli
ਦੀ	di
ਉੱਨਤੀ	unnati
ਵਿੱਚ	vich
ਇਸ	is
ਉੱਤੇ	utte
ਮੂਲ	mul
ਰੋਮਨ	roman
ਗੌਲ	gaul
ਦੀਆਂ	diaan
ਕੈਲਟਿਕ	kailatik
ਬੋਲੀਆਂ	boliyan
ਅਤੇ	ate
ਬਾਅਦ	baad
ਦੇ	de
ਰੋਮਨ	roman
ਫਰੈਕਿਸ਼	pharaikish
ਹਮਲਾਵਰਾਂ	hamalaavaraan
ਦੀ	di
ਜਰਮਨੇਕ	jaramanek
ਬੋਲੀ	boli
ਦਾ	daa
ਅਸਰ	asar
ਪਿਆ	piaa
</s>	</s>
ਤਾਰ	taar
ਸਪਤਕ	sapatak
ਨਵੀਂ	navin
ਕਵਿਤਾ	kavitaa
ਦਾ	daa
ਆਗਾਜ਼	aagaaz
ਬਿੰਦੂ	bindu
ਮੰਨਿਆ	manniaa
ਜਾਂਦਾ	janda
ਹੈ	hai
</s>	</s>
ਪਰ	par
ਇਹ	eh
ਗੱਲ	gall
ਆਲੋਚਨਾ	aalochanaa
ਦੇ	de
ਮੁਖਬੰਦ	mukhaband
ਤੇ	te
ਲਾਗੂ	laagu
ਨਹੀਂ	nahin
ਹੁੰਦੀ	hundi
</s>	</s>
ਸਿਆਲਕੋਟ	siaalakot
ਵੱਲ	vall
ਕੁਝ	kujh
ਗਿੱਲ	gill
ਜੱਟ	jatt
ਮੁਸਲਮਾਨ	musalamaan
ਵੀ	vi
ਬਣ	ban
ਗਏ	gae
ਸਨ	san
</s>	</s>
ਬੁਰਜ	buraj
ਮਹਿਮਾ	mahimaa
ਪੰਜਾਬ	panjaab
ਵਿੱਚ	vich
ਬਠਿੰਡੇ	bathinde
ਜ਼ਿਲ੍ਹੇ	zilhe
ਦਾ	daa
ਇੱਕ	ikk
ਪਿੰਡ	pind
ਹੈ	hai
</s>	</s>
ਫ਼ਰੀਦ	farid
ਆਇਆਜ਼	ayaz
ਨੇ	ne
ਸ਼ਾਸਤਰੀ	shaasatari
ਸੰਗੀਤ	sangit
ਦੀ	di
ਆਪਣੇ	aapne
ਪਿਤਾ	pitaa
ਉਸਤਾਦ	usataad
ਮੁਨਸ਼ੀ	munshi
ਰਾਜ਼ੀਉੱਦੀਨ	raaziuddin
ਅਹਿਮਦ	ahmad
ਖਾਨ	khan
ਤੋਂ	ton
ਲਈ	lai
</s>	</s>
ਨਾਟਕ	naatak
ਕਲਾ	kalaa
ਵਿੱਚ	vich
ਕਥਾਰਸਿਸ	kathaarasis
ਦਾ	daa
ਸੰਕਲਪ	sankalap
ਤਰਾਸਦੀ	taraasadi
ਜਾਂ	jaan
ਕਾਮੇਡੀ	kaamedi
ਅਤੇ	ate
ਸਗੋਂ	sagon
ਹੋਰ	hor
ਕਲਾਤਮਕ	kalaatamak
ਰੂਪਾਂ	rupaan
ਵਲੋਂ	valon
ਮੁੱਖ	mukkh
ਤੌਰ	taur
ਤੇ	te
ਦਰਸ਼ਕਾਂ	darashakaan
ਉੱਤੇ	utte
ਹਾਲਾਂਕਿ	haalaanki
ਕੁੱਝ	kujjh
ਵਿਦਵਾਨ	vidavaan
ਡਰਾਮੇ	daraame
ਵਿੱਚ	vich
ਕੰਮ	kamm
ਕਰਦੇ	karde
ਅਦਾਕਾਰਾਂ	adaakaaraan
ਨੂੰ	nu
ਵੀ	vi
