තන්ත්‍රයන්ට	Thanthrayanta
පුජනීය	poojaniya
ග‍්‍රන්ථය වන	granthaya
ත‍්‍රිවිධ	thrividha
පුන්ඩරික	pundarika
සුත‍්‍රය	suthraya
යනු	yanu
විවිධාර්ථ	vividhartha
සුත‍්‍රය,සද්ධර්ම	suthraya, saddharma
පුණ්ඩරික	pundarika
සුත‍්‍රය ,සමන්තභද්‍ර	suthraya, samanthabhadra
බෝධිසත්වයන්	bodhisathvayan
මෙනෙහි	menehi
කීරීම	kirima
පිළිබඳ	pilibanda
සුත‍්‍රය	suthraya
යන	yana
සුත‍්‍ර වලින්	suthravalin
සමබුදුරජාණන්	sama budu rajanan
වහන්සේ	vahanse
විසින්	visin
දේශිත	deshitha
වටිනා	vatina
ධර්ම	dharma
ග‍්‍රන්ථයකි.	granthayaki.
</s>	</s>
ලිච්චවී	lichchavi
පරිපාලනයේ	paripalanaye
කේන්ද්‍රස්ථානය	kendrasthanaya
වූයේ,	vuye
වජ්ජීයානු	wajjiyanu
සන්ධීයනයෙහි	sandhiyanayehi
අගනගරයද	aganagarayada
වූ,	vu,
වෛශාලී	Vaishali
විය.	viya.
</s>	</s>
නමුත්	namuth
පසුව	pasuwa
දේශීය	deshiya
නිවාඩු	niwadu
දිනයකින්	dinayakin
පසුව	pasuwa
එය	eya
යළි	yali
ප්‍රබෝධයකට	prabodhayakata
හේතු	hethu
විය.	viya.
</s>	</s>
එහි	ehi
ගෘහනිර්මාණ	gruha nirmana
ශෛලියට	shailiyata
හේතුවී	hethu vi
ඇත්තේ	etthe
තන්ත්‍රික	thanthrika
යාඥා	yagna
චාරිත්‍ර	charithra
ක්‍රම	krama
භූමණ්ඩලය	bhu mandalaya
(ස්වභාවයේ	(svabhavaye
පංච	pancha
මහා	maha
ධාතූන්ගෙන්	dhathungen
සැදුම්	sedum
ලත්	lath
පරිසරය)	parisaraya)
හා	ha
සම්බන්ධ	sambandha
නිසායි.	nisayi.
</s>	</s>
ග්නූ/ලිනුක්ස්	GNU/Linux
ඕනෑම	onema
වින්ඩෝස්	Windows
ගොනු	gonu
පද්ධතියක්	paddhathiyak
සමඟ	samanga
අනුකූල	anukula
වන	vana
අතර	athara
වින්ඩෝස්	Windows
මෙහෙයුම්	meheyum
පද්ධති	paddhathi
කිසිදු	kisidu
ග්නූ/ලිනුක්ස්	GNU/Linux
ගොනු	gonu
පද්ධති	paddhathi
කිසිවක්	kisiwak
සමඟ	samaga
අනුකූල	anukula
නො‍වේ .	nowe.
</s>	</s>
එසේම	esema
ඔවුන්	ovun
කිල්ල	killa
පිළිබද එතරම්	pilibanda
විශ්වාස	vishvasa
නොකළහ	nokalaha.
දරු	Daru
උපතකදී	upathakadi
විශේෂ	vishesha
මහාසමාජය	maha samajaya
පිළිගත්	piligath
චාරිත්‍ර	charithra
වාරිත්‍ර	varithra
කිසිවක්	kisiwak
ඉටු	itu
නොකළහ	nokalaha.
දැරියක්	Deriyak
වැඩිවිය	vediviya
පැමිනීමේ	peminime
දීද	dida
එසේය	eseya.
ඔවුනට	Ovunta
රෙදි	redi
නැන්දාගේ	nendage
සේවය	sevaya,
හේනේමාමා ගේ	hene mamage
සේවය	sevaya
නොලැබුනි	nolebuni.
එයට	Eyata
හේතුව	hethuva
මේ	me
වත්පිළිවෙත් වලට	vath piliwethvalata
සමිබන්ධවන	sambandha vana
රධා	rada
කුලයට	kulayata
අයත්වූවන්	ayath vuvan
තමන්ගේ	thamange
සේවය	sevaya
තමන්ට	thamanta
වඩා	vada
පහත්	pahath
කුලයන්ට	kulayanta
සලසා	salasa
නොදීමයි	nodimayi.
මහාසමාජය	Maha samajaya
තුල	thula
වැඩිවියපත්වූ	wediviya path vu
දැරිය	deriya
නැහැවීම	nehewima
සිදු	sidu
කළේ	kale
රෙදි	redi
නැන්දා	nenda
නමින්	namin
හැදින්වූ	hendinwu
රධා	rada
කුලයට	kulayata
අයත්	ayath
ස්ත්‍රීයක	sthriyaka
විසිනි	visini.
ඒ	E
සදහා	sandaha
නැකැත්	neketh
බැලීම	belima
හේනෙ	hene
මාමා	mama
නමින්	namin
හදින්වූ	hendinvu
රධා	rada
කුලයට	kulayata
අයත්	ayath
පුරුෂයෙනු	purushayeku
විසින්	visin
සිදු	sidu
කළහ	kalaha.
මොවුනගේ	Movunge
සේවය	sevaya
රොඩීනට	rodinta
නොලැබිණ	nolebini.
විවාහය	Vivahaya
ද	da
මහාසමාජයතුල	maha samajaya thula
දක්නට	daknata
ලැබුණ	lebuna
චාරිත්‍ර	charithra
කිසිවක්	kisiwak
අනුගමනය	anugamanaya
කිරීමට	kirimata
ඔවුනට	ovunta
තහංචි	thahanchi
විය.	viya.
</s>	</s>
1979	1979
ජුනි	juni
මාසයේ	masaye
දී	di
හදිසි	hadisi
නීතිය	nithiya
පනවමින්	panavamin
ත‍්‍රස්තවාදය	thrasthavadaya
වැළැක්වීමේ	velekvime
පනත	panatha
යටතෙහි	yatathehi
උතුරු	uthuru
නැගෙනහිර	nengenahira
ත‍්‍රස්තවාදය	thrasthavadaya
තුරන්	thuran
කරලිමේ	karalima
මෙහෙයුමක්	meheyumak
දියත්	diyath
කෙරිණි.	kerini.
</s>	</s>
කාලයත්	kalayath
සමග	samaga
සාතකර්ණී	sathakarni
වාශිෂ්ඨි	vashishti
දේවි	devi
(ශ්‍රියා	(shriya
සරන්)	saran)
සමග	samaga
විවාහ	vivaha
වේ.	ve.
</s>	</s>
සාර්ථක	sarthaka
ප‍්‍රචාරණයක	pracharanayaka
කාර්යයන්	karyayan
හා	ha
වාසි	vasi
</s>	</s>
ලුවාං	Luwang
පෝ	Po
වෑන්	Van
සුචින්නෝ ට	Suchinnota
ගිහියන්	gihiyan
පිළිබඳව	pilibandawa
උනන්දුවක්	unanduwak
නොතිබිණි.	nothibini.
</s>	</s>
පුලතිසි	pulathisi
නම්	nam
වූ	vu
ඉසිවරයකු	isivarayaku
ඉදිකළ	idi kala
ඔසු	osu
උයන්	uyan
ලෙස	lesa
ද	da
සැලකේ.	selake.
</s>	</s>
මද	manda
විෂ	visha
සහිත	sahitha
සර්පයෙක්	sarpayek
ලෙසින්	lesin
පොල්මල්	polmal
කරවලාව	karawalava
හදුන්වනු	handunvanu
ලබයි.	labayi.
</s>	</s>
මෙලෙස	melesa
විශාල	vishala
ජල	jala
ප්‍රවාහයක්	pravahayak
ඝනීකාරකය	ghanikarakaya
හරහා	haraha
ගමන්	gaman
කරවන්නේ	karavanne
එමගින්	emagin
මුහුදින්	muhudin
ලබාගත්	labagath
ජලය	jalaya
තුලට	thulata
ඇතුළු	ethulu
වන	vana
උෂ්ණත්වය	ushnathvaya
අවම	awama
කිරීම	kirima
සදහා	sandaha
වේ.	we.
</s>	</s>
සාමාන්‍ය	samanya
පෞද්ගලික	paudgalika
සාම්ප්‍රදායික	sampradayika
වෛද්‍ය	vaidya
පාසල්(වසර	pasal (vasara
6)	6)
හා	ha
සසඳන	sasandana
විට	vita
මෙය	meya
විශේෂ	vishesa
උපාධි	upadhi
පාසලක්(වසර	pasalak (vasara
8)	8)
වේ.	වේ.
</s>	</s>
සිවිල්	civil
ආරක්ෂක	arakshaka
දෙපාර්තමේන්තුවේ	departhamenthuwe
නිල	nila
වෙබ්	web
අඩවිය	adawiya
</s>	</s>
එහෙත්	eheth
ඔහුගේ	ohuge
ඉගැන්වීම්	igenwim
ගැනද	genada
සෑහිමකට	sehimakata
පත්	path
නොවූ	novu
සිද්ධාර්ථ	Siddhartha
එතැනින්ද	etheninda
නික්මුනේය.	nikmuneya.
</s>	</s>
පසුව	pasuwa
සත්වයාට	sathwayata
අස්ථි	asthi
කඩා	kada
දැමීමට	demimata
සිතුනු	sithunu
බැවින්,	bevin,
හස්තිය	hasthiya
තම	thama
සොඬවැල	sondawela
තමාගේ	thamage
හිසටත්	hisatath
උඩින්	udin
ඔසවා	osawa
නොසෙල්වී	noselwi
නංගී	nangi
සිටියේය;	sitiyeya;
පසුව	pasuwa
මුලාදෑනියා	muladeniya
"තමාගේ	"thamage
රාජකාරිය	rajakariya
අවසන්	awasan
කරන්න"	karanna"
යයි	yayi
අණ	ana
කිරීමෙන්	kirimen
පසුව	pasuwa
සත්වයා	sathwaya
එසැනින්ම	eseninma
මිනිසාගේ	minisage
උදරය	udaraya
මත	matha
තමා	thama
එක	eka
පාදයක්	padayak
තබා,	thaba,
අනෙක්	anek
පාදය	padaya
ඔහුගේ	ohuge
හිස	hisa
මත	matha
තබා	thaba
ඌගේ	uge
මුළු	mulu
සවි	savi
ශක්තියම	shakthiyama
වරදකරුවාව	waradakaruwava
පාගා	paga
දමා	dama
ඔහුට	ohuta
අවසානය	avasanaya
අත්කර	athkara
දීමට	dimata
යොදමින්	yodamin
සිටියේය.	sitiyeya.
</s>	</s>
මෙහි	mehi
ප්‍රතිඵලයක්	prathiphalayak
ලෙස	lesa
1636දී	1636 di
ජොසොන්	Josong
රාජ්‍යය	rajyaya
ක්විං	Kwing
රාජවංශයට	raja wanshayata
යටත්	yatath
විය.	viya.
</s>	</s>
පළමුවන	palamuwana
විජයබාහු	Wijayabahu
රජතුමා	rajathuma
විසින්	visin
අලූතෙන්	aluthen
තනවන	thanavana
ලද්දේ	ladde
එක	eka
වැවක්	wevak
පමනි.	pamani.
</s>	</s>
රසායනික	rasayanika
බන්ධන	bandhana
-	-
විද්‍යාවට	vidyavata
අදාළ	adala
රසායනික	rasayanika
විපර්‍යාස...	viparyasa…
</s>	</s>
බටර්	Butter
සමන්යයෙන්	samanyen
කහ	kaha
පැහැයක්	peheyak
ගෙන	gena
දේ.	de.
</s>	</s>
කෙසේ	kese
නමුත්	namuth
ලොස්	Los
ඇන්ජලීස්,	Angelese,
ටෝකියෝ	Tokyo
වැනි	veni
ප‍්‍රධාන	pradhana
නගරයන්ද	nagarayanda
සිය	siya
විලාසිතා	vilasitha
සති	sathi
සඳහා	sandaha
ලොවපුරා	lowa pura
විශාල	vishala
ප‍්‍රචාරයක්	pracharayak
ලබාදෙනු	laba denu
ලබයි.	labayi.
</s>	</s>
නඩු	nadu
දිනයෙහි	dinayehi
චුදිතයා	choodithaya
පමණක්	pamanak
නොව,	nowa,
ඔහුගේ	ohuge
නෑදෑයන්	nedeyan
ද	da
පවුල්	pawul
පිටින්	pitin
තොටුපොළට	thotupalata
රොක්වන්නේ	rakvanne
නඩුව	naduwa
විසඳෙන	visandena
හැටි	heti
නරඹන්නටය.	narambannataya.
</s>	</s>
කඳු	kandu
සහිත	sahitha
අදූෂිත	adushitha
වැසි	vesi
වනාන්තරය	vanantharaya
හා	ha
පහත	pahatha
භූමී	bhumi
භාගයේ	bhagaye
පිහිටි	pihiti
වැසි	vesi
වනාන්තර වලින්	vanantharawalin
සමන්විත	samanwitha
ජෛව	jaiwa
විවිධත්වය	vividhathwaya
අවිධිමත්	avidhimath
වාණිජ	vanija
අතපෙවීම් වලින්	atha pewimvalin
ආරක්ෂා	araksha
කිරීමට	kirimata
ලෝක	loka
ජෛව	jaiva
ගෝල	gola
රක්ෂිතයක්	rakshithayak
ලෙසට	lesata
1978	1978
වර්ෂයේදී	varshayedi
නම්	nam
කළ	kala
අතර	athara
1989දී	1989di
ලෝක	loka
උරුම	uruma
රක්ෂිතයක්	rakshithayak
ලෙසට	lesat
නම්	nam
කරන	karana
ලදී.	ladi.
</s>	</s>
මොරවක	Morawaka
වැසියන්ගේ	vesiyange
ප්‍රධාන	pradhana
ජීවනෝපාය	jeewanopaya
තේ	the
වගාවෙන්	vagawen
සලසා	salasa
ගෙන	gena
ඇති	ethi
අතර	athara
වී	vi
ගොවිතැන,	govithena,
අල ,	ala,
බතල,	bathala,
කෙසෙල් ,	kesel,
පොල්	pol
ගෙවතු	gewathu
වගාවන්	vagavan
ද	da
අතනොහැර	atha nohera
පරිභෝජනයට	paribhojanayata
ගෙන	gena
ඇත.	etha.
</s>	</s>
ලේඛකයන්ට	lekhakayanta
ඔහු	ohu
ඉමහත්	imahath
අනුග්‍රහයක්	anugrahayak
දැක් වූ	dekwu
බව	bawa
හරිසේන	Harisena
සහ	saha
වසුබන්ධු	Wasubandhu
වැනි	veni
ප්‍රකට	prakata
සාහිත්‍යධරයන්	sahithyadharayan
සිටීමෙන්	sitimen
පැහැදිළි	pehedili
වේ.	ve.
</s>	</s>
එසේ	ese
වුව	wuva
ද	da
නගර	nagara
නඩත්තු	nadaththu
කළ	kala
ගොවියන්	goviyan
හෝ	ho
ඔවුන්ගේ	ovunge
කෘෂිකාර්මික	krushikarmika
විධික්‍රම	vidhikrama
පිළිබඳව	pilibandawa
දැනුවත්ව	denuwathwa
ඇත්තේ	etthe
ඉතා	itha
අල්ප	alpa
වශයෙනි.	washayeni.
</s>	</s>
තවත්	thawath
පුද්ගලයෝ	pudgalayo
17	17
දෙනෙකු	deneku
ප්‍රහාරය	praharaya
නිසා	nisa
තුවාල	thuwala
ලැබූහ.	lebuha.
</s>	</s>
2009	2009
දෙසැම්බරයේදී,	decembarayedi,
එනම්	enam
ශ්‍රී	Sri
ලංකා	Lanka
සිවිල්	civil
යුද්ධය	yuddhaya
අවසන්	avasan
වූ	vu
වසරේදී,	vasaredi,
නීතිවිරෝධී	neethivirodhi
ලෙස	lesa
ඕස්ට්‍රේලියාව	Australiava
වෙත	vetha
ගමන්	gaman
කරමින්	karamin
සිටි	siti
ශ්‍රී	Sri
ලාංකික	Lankika
දමිල	damila
සරණාගතයින්	saranagathayin
46	46
දෙනෙකු,	deneku,
ඉන්දුනීසියාව	Indonesiawa
විසින්	visin
රුමේනියාවට	Romeniawata
හරවා	harawa
යවනු	yawanu
ලැබූහ.	lebuha.
</s>	</s>
නිරන්තරයෙන්	nirantharayen
යෝනි	yoni
මාර්ගයෙන්	margayen
තරලයන්	tharalaya
පිටවීම.	pitawima.
</s>	</s>
එමෙන්ම	emenma
අඳුරු	anduru
කාමරයන්හිද	kamarayanhida
රතු	rathu
ආලෝකය	alokaya
යොදාගනු	yodaganu
ලැබිණි.	lebini.
</s>	</s>
නිතර	nithara
කුඩයක්	kudayak
රැගෙනයාම	regena yama
ඔවුන්ගේ	ovunge
සිරිතක්	sirithak
විය.	viya.
</s>	</s>
වසර	wasara
දහස්	dahas
ගණනකට	gananakata
පෙර	pera
දකුණු	dakunu
ආසියාවේ	asiyawe
චතුරංග	Chathuranga
නමින්	namin
මෙම	mema
ක්‍රීඩාව	kridawa
ආරම්භ	arambha
වූ	vu
බව	bawa
සැලකේ.	selake.
</s>	</s>
සංග්යේසාහි	Sangyesahu
ජින්ගම්සොන්සා	Jingamsonsa
බෞද්ධ	bauddha
භික්ෂුව	bhikshuwa
සඳහා	sandaha
වූ	vu
ශිලාව,	shilawa,
හාදොං	Hadong
ප්‍රාන්තය	pranthaya
</s>	</s>
කල්කටාවේ	Culcuttave
දි	di
ඇය	eya
අමතරව	amatharawa
නිරූපනයට	nirupanayata
හා	ha
වැඩසටහන් වලටද	wedasatahanwalatada
පෙනි	peni
සිටියාය.	sitiyaya.
</s>	</s>
ප්‍රායෝගිකව	prayogikawa
ඒකකයක්	ekakayak
හා	ha
සැකසුමක්	sekasumak
අතර	athara
යම්	yam
නොපැහැදිලිතාවයක්	nopehedilithawayak
පවතී.	pavathi.
</s>	</s>
මිනිසුන්	minisun
බොහෝ	boho
දෙනා	dena
සිත්තැවුලෙන්	sith thewlen
සිටියේ	sitiye
ධන	dhana
රජුගේ	rajuge
නීති වලටය.	nithiwalataya.
</s>	</s>
ඔහු	ohu
ශ්‍රී	Sri
ලංකාවේ	Lankawe
කන්ද	kanda
උඩරට	udarata
රාජධානියේ	rajadhaniye
තෙවැනි	theveni
සිංහල	Sinhala
රජුය.	rajuya.
</s>	</s>
ඒ	e
අනුව	anuwa
බහුත්ව	bahuthwa
වෛද්‍ය	vaidya
ක‍්‍රමයක්	kramayak
ක‍්‍රියාත්මක	kriyathmaka
වුවද	vuvada
රෝගීන්ගේ	roginge
ප‍්‍රතිකාර	prathikara
පරිහරණය	pariharanaya
යම්	yam
යම්	yam
සාධක	sadhaka
මත	matha
වෙනස්	venas
වේ.	ve.
</s>	</s>
වඩා	vada
වැදගත්	vedagath
වූයේ	vuye
මින්	min
එක්	ek
ගල්	gal
ගුහාවක්	guhawak
තුළ	thula
විශාල	vishala
හිස්කබලක්	his kabalak
සහිතව	sahithawa
කුඩා	kuda
ඇටසැකිල්ලක්	eta sekillak
හමුවීමය.	hamuvimaya.
</s>	</s>
කෑන්ස්	Cannes
චිත්‍රපට	chithrapata
උළෙලේ	ulele
දී	di
චිත්‍රපටය	chithrapataya
නිරාවරණය	niravaranaya
කෙරිණි.	kerini.
</s>	</s>
පද්මාවත්	Padmawath
අනුව,	anuwa,
ඛිල්ජි	Khilji
මෙම	mema
ආක්‍රමණය	akramanaya
මෙහෙයවූයේ	meheyawuye
රාණි	Rani
පද්මිණීව	Padminiwa
අල්ලා	alla
ගැනීමට	genimata
ඔහු	ohu
තුළ	thula
වූ	vu
ආශාව	ashawa
නිසායි.	nisayi.
</s>	</s>
අනාගත	anagatha
භාවිත	bhavitha
සදහා	sandaha
නව	nava
ක්‍රම	krama
</s>	</s>
පිරිස	pirisa
කඳුළු	kandulu
ගෑස්වලින්	gasvalin
නැහැවී	nehevi
තිබිණි.	thibini.
</s>	</s>
පළමුවෙන්ම	palamuwenma
වෙළඳ	velenda
සමාගමක්	samagamak
ප්‍රබල	prabala
ස්ථානයක	sthanayaka
සිටිනවාද?	sitinawada?
</s>	</s>
මීට	mita
නුදුරින්	nudurin
රත්නප්‍රාසාදයට	rathnaprasadayata
පිටු පසින්	pitupasin
එවැනිම	ewenima
කලාත්මක	kalathmaka
සඳකඩපහණක්	sandakadapahanak
ඇත.	etha.
</s>	</s>
ලැබෙන	lebena
අධික	adhika
තාපය	thapaya
නිසා	nisa
මෙම	mema
හයිඩ්‍රජන්	Hydrogen
න්‍යෂ්ඨික	nyashtika
ප්‍රතික්‍රියාවට	prathikriyawata
භාජනය	bhajanaya
වී	wi
හීලියම්	Helium
නිපදවීමට	nipadawimata
පටන්	patan
ගනී.	gani.
</s>	</s>
මේවා	mewa
ශතවර්ෂ	shathavarsha
ගණනාවක්	gananawak
පැරණි	perani
අතර,	athara,
ග්‍රාමීය	gramiya
විශ්වාසය	vishvasaya
හා	ha
ඇඳහිලි	endahili
මත	matha
පදනම්	padanam
වී	vi
ඇත.	etha.
</s>	</s>
කැලෑ	kele
නාගයා	nagaya
ක්‍රියාශීලි	kriyashili
නැති	nethi
විටදී	vitadi
කුහර	kuhara
තුලට,පඳුරු වලට,	thulata, panduruwalata,
බෙන වලට,	benawalata,
මුල්	mul
අතර,හා	athara ha
කඳු	kandu
කුහර	kuhara
තුල	thul
සැඟව	sengawa
සිටි.	siti.
</s>	</s>
කෘෂිකර්මාන්ත	krushi
කර්මාන්තය	karmanthaya
තුළ	thula
දී	di,
කෘෂි	krushi
ව්‍යාපාර,	vyapara,
කෘෂිකර්මාන්තයට	krushi karmanthayata
හා	ha
වෙළඳාමට	velendamate
ගැලපෙන	gelapena
ගමන්මල්ලක්	gaman mallak
ලෙස	lesa
බහුලව	bahulawa
භාවිතා	bhavitha
වන	vana
අතර	athara
එමඟින්	emangin
නූතන	nuthan
ආහාර	ahara
නිෂ්පාදනයට	nishpadanayata
අයත්	ayath
වන	vana
ක්රියා	kriya
හා	ha
විෂය	vishaya
පරාසයක්	parasayak
සම්බන්ධ	sambandha
වේ.	ve.
</s>	</s>
රූගත	rugatha
කිරීම්	kirim
තුම්කූර්	Thumkur
(කර්ණාටක),	(karnataka),
ජාන්සි	Jansi
අසල	asala
ඕර්ඡා	Orja
සහ	saha
මධ්‍ය	madhya
ප්‍රදේශ්හි	pradeshhi
වනාන්තර,	vananthara,
මහාරාෂ්ට්‍රයේ	maharashtraye
මහබලේශ්වර්	mahabaleshwar
වැනි	veni
ස්ථානවල	sthanawala
සිදු	sidu
විය.	viya.
</s>	</s>
නගරය	nagaraya
තවත්	thawath
උපකොටස්	upakotas
දෙකකට	dekakata
බෙදන	bedana
ලදී.	ladi.
</s>	</s>
ශ්‍රී	Sri
නිවාසන්	Nivasan
පැවසූයේ	pewasuye
මෙය	meya
"මෙතෙක්	"methek
රායිගේ	Raige
වඩාත්	vadath
නියම	niyama
රංගනය	ranganaya
බවයි".	bawayi".
</s>	</s>
ඔහුගේ	ohuge
බෲට්" (Brut)	Brut
නම්	nam
කාව්‍යයෙන්,	kawyayen,
ඇන්ග්ලෝ-නෝර්මානූ	Anglo-Normanu
රාජ්‍යයේ	rajyaye
ඉංග්‍රීසි	ingrisi
බල	bala
ප්‍රදේශ	pradesha
මත	matha
පදනම්	padanam
වුණු	vunu
මිථ්‍යා	mithya
ප්‍රබන්ධ	prabandha
පිළිබඳ	pilibanda
නෝර්මානුවන්ට	Normanuwanta
තිබු	thibu
උනන්දුව	unanduwa
පෙන්නුම්	pennum
කරයි.	karayi.
</s>	</s>
නියෝන්	Neon
යනු	yanu
p	p
ගොනුවේ	gonuwe
පළමු	palamu
උසස්	usas
වායුවයි.	vayuvayi.
</s>	</s>
නමුත්	namuth
මේ	me
සියලූ	siyalu
ප‍්‍රතිකාර	prathikara
ක‍්‍රමයන්	kramayan
හරහා	haraha
කෘත්‍යාත්මක	kruthyathmaka
අවශ්‍යතාවයන්	avashyathawayan
ඉටු	itu
කරන	karana
නිසා	nisa
ඒවා	ewa
සහයෝගීව	sahayogiwa
රෝගීන්	rogin
වටා	wata
ක‍්‍රියාත්මක	kriyathmaka
වන	vana
බව	bawa
පෙනේ.	pene.
</s>	</s>
උදාහරණයක්	udaharanayak
වශයෙන්	vashayen
මධ්‍යකාලින	madhyakalina
යුගයේ	yugaye
රෝමානු	Romanu
කතෝලික	Catholika
දේවස්ථාන	devasthana
පෘතුවිය	pruthiviya
පැතලි	pethali
බව	bava
විශ්වාස	vishvasa
කරන	karana
ලද	lada
බව	bawa
පසන	pewasena
අතර	athara
එම	ema
විශ්වාසය	vishvasaya
විද්‍යාවෙන්	vidyawen
වෙනස්	venas
කෙරේ.	kere.
</s>	</s>
කප්පගොඩ	Kappagoda
වලව්ව	walawwa
</s>	</s>
විශිෂ්ට	vishishta
ජපන්	japan
විද්‍යාඥ‍යෙකු	vidyagnayaku
වන	vana
දොස්තර	dosthara
මයාසුකී	Mayasuki
නකඩසිමා	Nakadasima
පවසන	pawasana
අන්දමට	andamata
සියලුම	siyaluma
සත්ත්වයන්අතරින්	satthwayan atharin
ඩොල්ෆින්	Dolphin
මත්ස්‍යයා	mathsyaya
ඉතාමත්ම	ithamathma
ඥානාන්විත	gnananvitha
දක්ෂතම	dakshathama
සත්ත්වයා	satthvaya
වන	vana
අතර	athara
මිනිසාට	minisata
ඉතාමත්	ithamath
පහසුවෙන්	pahasuwen
සම්බන්ධකම්	sambandhakam
ඇතිකර	ethi kara
ගත	gath
හැකි	heki
සත්ත්වයාද	satthvayada
වේ.	ve.
</s>	</s>
විශාල	vishala
කටාරම්	kataram
සහිත	sahitha
ලෙන්	len
කිහිපයක්	kihipayak
විහාරයේ	viharaye
දැක	deka
ගත	gatha
හැකි	heki
අතර	athara
එහි	ehi
ඇති	ethi
එක්	ek
ශිලා	shila
ලිපියක්	lipiyak
අනුව	anuwa
එහි	ehi
ඉතිහාසය	ithihasaya
ක්‍රි.	kri.
</s>	</s>
මේවා	mewa
සිහින්	sihin
බහිඃසැකිලි	bahihsekili
සේතුවකින්	sethuwakin
සම්බන්ධ	sambandha
වී	vi
ඇත.	etha.
</s>	</s>
ජුනි	juni
01	01
දිනය	dinaya
ශ්‍රී	Sri
ලංකා	Lanka
බාලදක්ෂ	baladaksha
ව්‍යාපාරයෙහි	vyaparayehi
ආදිකතෘ	adikathru
දිනය	dinaya
ලෙස	lesa
සලකනු	salakanu
ලැබේ.	lebe.
</s>	</s>
හරින්ද්‍ර	Harindra
ගොඩකන්ද	Godakanda
</s>	</s>
මීට	mita
අමතරව	amatharawa
පූර්ව	purwa
කර්ණාකාර	karnakara
ධමනි	dhamani
කනේ	kane
පිටත	pitatha
ගැටිත්ත	getittha
සහ	saha
එය	eya
පසුපස	pasupasa
ශීර්ෂචර්මය	shirshacharmaya
වෙත	vetha
රුධිරය	rudhiraya
ස්වල්පයක්	swalpayak
සපයයි.	sapayayi.
</s>	</s>
මෙම	mema
වේගය	vegaya
ආසන්න	asanna
වශයෙන්	vashayen
පැයට	peyata
කිලෝමීටර	kilometera
මිලියන	milliona
1079ක්	1079k
හෝ	ho
පැයට	peyata
සැතපුම්	sethapum
මිලියන	milliona
671ක්	671k
පමණ	pamana
වේ.	ve.
</s>	</s>
එපමණක්	epamanak
නොව,	nowa,
රූගත	rugatha
කිරීම්	kirim
වෙනුවෙන්	venuwen
අලියකු	aliyaku
රැගෙන	regena
ආ	a
විට	wita
කුලප්පු	kulappu
වූ	vu
එම	ema
අලියා	aliya
ඇත්ගොව්වාව	ethgowwawa
මරා	mara
දමා	dama
දිවගියේ ය.	diwa giyeya.
</s>	</s>
සබීතා	Sabitha
පෙරේරා	Perera
</s>	</s>
හල්පේ	Halpe
පත්තිනි	patthini
දේවාලය	dewalaya
</s>	</s>
වෙළඳ	welenda
ප‍්‍රචාරණ	pracharana
ව්‍යාපාරයකට	vyaparayakata
අත්‍යවශ්‍ය	athyawashya
පියවර	piyawara
</s>	</s>
ලී	li
කුඩු	kudu
මළු	malu
පිළියෙළ	piliyela
කිරීම	kirima
සඳහා	sandaha
මිශ්‍රණය	mishranaya
සකස්	sakas
කර	kara
ගැනීම.	genima.
</s>	</s>
ප්‍රකාෂ	prakasha
කර	kara
ඇත්තෙ	etthe
මෙම	mema
ශබ්දයේ	shabdaye
මුල	mula
නොදන්නා	nodanna
බය,	baya,
සහ	saha
එය	eya
සැළකිය	selakiya
හැකි	heki
උස්	us
හඬකින්	handakin
ඇසිය	esiya
හැකි	heki
වුනා	vuna
සම්පූර්න	sampurna
SOSUS	SOSUS
මද්‍යස්ථානය	madhyasthanaya
හරා.	hara.
</s>	</s>
සතර	sathara
කෝරලේ	korale
විත්ති	witthi
ග්‍රන්ථයට	granthayata
අනූව	anuwa
ලංකාවේ	lankawe
සතර	sathara
කෝරලයෙහි	koralayehi
වූ	vu
වළව්	walaw
30ක්	30k
සඳහන්	sandahan
කොට	kota
තිබේ.	thibe.
</s>	</s>
ඒ	e
අතර	athara
හිසගසා	hisa gasa
මරා	mara
දැමීම	demima,
ගල්ගසා	gal gasa
මරා	mara
දැමීම	demima
වැනි	weni
දඩුවම්	danduwam
ක්‍රම	krama
දැක්විය	dekwiya
හැක.	heka.
</s>	</s>
බොහෝ	boho
විට	wita
මෙවැනි	meweni
සාම්පල	sampala
ජුනි	juni
මාසයේදී	masayedi
එනම්	enam
අස්වනු	aswanu
නෙලීම	nelima
ආරම්භ	arambha
කරන	karana
කාලයේදී	kalayedi
හමු	hamu
වේ.	ve.
</s>	</s>
පංච	pancha
කාම	kamaya
ලෝකය	lokaya
කෙරෙහි	kerehi
කැමැත්ත	kemettha
හෙවත්	hewath
ආශාවයි.	ashawayi.
අභිජ්ඣා ,	Abhijgna,
කාමරාග	kamaraga
යනු	yanu
සමාන	samana
පදවේ.	pada ve.
</s>	</s>
මාසියප්පිට්ටිය	masiyappitiya
ශ්‍රී	sri
ලංකාවේ	lankave
යාපනය	yapanaya
දිස්ත්‍රික්කය	disthrikkaya
තුල	thula
පිහිටි	pihiti
ගම්මානයකි.	gammanayaki.
</s>	</s>
බොන්ඩ්	Bond
දෙවරක්	dewarak
විවාහ	vivaha
විය	viya
—1950	- 1950
දී	di
බ්‍රෙන්ඩා	Brenda
මේරි	Mary
ජොන්සන්	Johnson
සමග	samaga
විවාහ	vivaha
වූ	vu
අතර,	athara
ඇය	eya
