තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
අනතුරුව 20වන සියවසේ දී කුළුණු සහිත බරාඳයක් සහ ප්‍රසාද මුඛයක් ලෙන ඉදිරියෙන් ඉදිකෙරිණි.	anathuruwa 20 wana siyawase di kulunu sahitha barandayak saha prasada mukhayak lena idiriyen idi kerini.
කැළුම් විජේසූරිය	Kelum Wijesooriya
ඒ මත කළු පුල්ලි රටාවකින් සමන්විතය.	e matha kalu pulli ratawakin samanwithaya.
නීතා ලල්ලා විසින් චිත්‍රපටයේ වස්ත්‍ර සහ ආභරණ සැලසුම් කරන ලදී.	Nitha Lalla visin chithrapataye wasthra saha abharana selasum karana ladi.
දඹදෙණි හත්පත්තුව වර්තමාන කුරුණෑගල පරිපාලන දිස්ත්‍රික්කයට අයත් වුවද අතීත සත්කෝරළයට අයත්ව තිබී නැත.	Dambadeni Hathpaththuwa warthamana Kurunegala paripalana disthrikkayata ayath vuvada athitha sathkoralayata ayathwa thibi netha.
ඉන්දු නිම්න හා මොහැන්දොජාරෝ හරප්පා ශිෂ්ටාවාරවලින් මතුවූ ලෝහමය ස්ත්‍රී නළගන රූප ස්වර්ණමය ස්ත්‍රී නිර්වත්‍ර රූප මගින් කාන්තාව දේවත්වයේ තබා ගෞරවයට පාත්‍ර කරඇතිබව පුරාවිද්‍යාඥයන්ගේ අදහසයි.	Indu nimna ha Mohendojaro Harappa shishtacharawalin mathu vu lohamaya sthri nalangana rupa, swarnamaya sthri nirvasthra rupa magin kanthawa dewathwaye thaba gaurawayata pathra kara ethi bawa pura vidyagnayange adahasayi.
මෙය තීන්ත, පාරාන්ධ දියසායම් සහ රන් භාවිතයෙන් කඩදාසි මත කළ සිතුවම්වලින් සම්නවිත ය.	meya thintha, parandha diyasayam saha ran bhavithayen kadadasi matha kala sithuwamwalin samanvitha ya.
1889 පනත යටතේ නම් ලංකාවේ ඕනෑම ප්‍රදේශයකදී නඩත්තු සම්බන්ධව ඉල්ලීමක් සදහා නඩු පැවරිය හැකි නමුත් නව නීතිය අනුව අදාළ පාරශවයන් පදිංචි අධිකරණ බල ප්‍රදේශයේ පමණක් නඩු පැවරිය හැකිය.	1889 panatha yatathe nam Lankawe onema pradeshayakadi nadaththu sambandhawa illimak sandaha nadu pewariya heki namuth nawa nithiya anuwa adala parshwayan padinchi adhikaran bala pradeshaye pamanak nadu pewariya heka.
x බාල නිෂ්පාදන සහ බොරු ප‍්‍රචාර පිළිබඳව පාරිභෝගිකයන්ට අනතුරු හැඟවීම මෙන්ම ඔවුන් ආරක්ෂා කිරීම	x bala nishpadana saha boru prachara pilibandawa paribhogikayanta anathuru hengawima menma ovun araksha kirima
නෙකේනි, නෙකේන්,එනම් උකුස්සාගේ නගරයේ දී වන්දනාවට පාත්‍ර වූ තවත් උකුසු දෙවියෙකු විය හැකි ය.	Nekeni, Neken, enam ukussage nagaraye di wandanawata pathra vu thawath ukusu dewiyaku viya hekiya.
මෙහි උත්පත්ති ස්ථානය වශයෙන් හඳුන්වන්නේ ලිච්ඡවී රජ දරුවන් සිටි විශාලා මහනුවරයි.	mehi uthpatthi sthanaya washayen handunwanne lichchavi raja daruwan siti Vishala mahanuwarayi.
යුධබිමේ සිටින ඇය සිය සෙබලියන් සහ වාමනයින්ගෙන් සැදි හමුදාවක් පිරිවරා සිටියි.	yudhabime sitia eya siya sebaliyan saha wamanayingen sedi hamudawak piriwara sitiyi.
පාඨක ප‍්‍රජාව අභිභවමින් තාක්ෂණය පරිහරණය කරන පිරිස් දිනෙන් දින ව්‍යාප්ත වෙමින් පවත්නා නිසා, සිංහල විශ්වකෝෂය ද අන්තර්ජාලයට ප‍්‍රවිෂ්ට කිරීම අත්‍යවශ්‍ය කටයුත්තකි.	pataka prajawa abhibhawamin thakshanaya pariharanaya karan piris dinen dina vyaptha wemin pawathina nisa, Sinhala vishwakoshaya da antharjalayata pravishta kirima athyawashya katayuththaki.
පෙරේරා මහතාට අයත් භූමියක ඉදිකොට තිබේ.	Perera mahathata ayath bhumiyaka idikota thibe.
පෙරහැරේ ගෙනයන ප්‍රධාන කොඩි අටකි.	perahere genayana pradhana kodi ataki.
භට පිරිස් මෙහෙයවන ලදී.	bhata piris meheyawana ladi.
භාණ්ඩ දෙකක් පමණක් නිපදවණු ලබන ආර්ථිකයක් යන්න උපකල්පනය කරනුයේ ප්‍රස්තාරයක් මගින් භාණ්ඩ වර්ග කිපයක් දැක්විය නොහැකි නිසා වෙනි.	bhanda dekak pamanak nipadawanu laban arthikayak yanna upakalpanaya karanuyw prastharayak magin bhanda warga kipayak dekwiya noheki nisaweni.
හීලියම් විසරණය	Helium visaranaya
ඔවුනගේ වෑයම රූකඩ ආණ්ඩුවට එරෙහිවීමය.	ovunge weyama rukada anduwata erehi wimaya.
ඉන්පසු බැරලයේ පියන මත කුඩා සිදුරක් විදිය යුතුය.	inpasu barelaye piyana matha kuda sidurak vidiya yuthuya.
මිරිස වැටිය චෛත්‍ය	Mirisawetiya chaithyaya
විද්‍යාගාර තුළ බහුලව දැකිය හැකි උපකරණයක් වන බන්සන් දාහකය තනි විවෘත දැල්ලක් ලබාගැනීමට යොදාගන්නා අතර ඒ ඇසුරින් උණුසුම් කිරීම් කටයුතු ජීවානුහරණ ක්‍රියා සහ දහනය කිරී‍ම් සිදු කරනු ලැබේ.	vidyagara thula bahulawa dekiya heki upakaranayak wana Bunson dahakaya thani vivurtha dellak laba genimata yoda ganna athara e esurin unusum kirim katayuthu jivanuharana kriya saha dahanaya kirim sidu karanu lebe.
වාරිජලය යොදාගෙන වී වගාව සහ එළවලු වගාව සිදුකරනු ලැබේ.	warijala yodagena vi wagawa saha elawulu wagawa sidu karanu lebe.
ඉන් අනතුරුව, ZEE ජාලය විසින් පොලිමර් ටීවී නාළිකාවට ලබා දී තිබූ හඬකැවීම් අයිතිය අහෝසි කළ අතර, මේ වනවිට එම කතාමාලාව ඉණිය ඉරු මලර්ගල් යන තේමාව ඔස්සේ සී තමිල් නාළිකාවෙන් විකාශය කෙරේ.	in anathuruwa, ZEE jalaya visin Polymar TV nalikawata laba di thbu handakewim ayithiya ahosi kala athara me wana wita ema katha malawa Iniya iru malarhal yama themawa osse C Thamil nalikawen viikashaya kere.
රිෂාභ් ශ්‍රීවාස්ථව (අහාම් ෂර්මා) යනු සැහැල්ලුවෙන් දිවිගෙවන හාස්‍යොත්පාදක තරුණයෙකි.	Rishah Sriwasthawa (Aham Sharma) yanu sehelluwen diwi gewan hasyothpadaka thaurnaykei.
දකුණු ඇමෙරිකානු කලාපයේ සියලු තරඟ ජය ගනිමින් 2014 ලෝක කුසලාන තරඟාවලියට සුදුසුකම් ලබාගෙන ඇත.	dakunu Americanu kalapaye siyalu tharaga jaya ganimin 2014 loka kusalana tharagawaliyata sudusukam labagena etha.
ඉරේනියස් එක් ඥයවාදි නිකයා විශ්වාසය සම්බන්ධව වාර්තා තැබුවේය.	Iranius ek gnayawadi nikaya vishvasaya sambandhawa vartha thebuweya.
මංගල දර්ශනය මරදාන අශෝකා සිනමා ශාලාවේ දී මාලිනී ෆොන්සේකා මහත්මියගේ ප්‍රධානත්වයෙන්.	mangala darshanaya Maradana Ashoka cinema shalawe di Malini Fonseka mahathmiyage pradhanathwayen
සැලසුම්ගත ආර්ථිකයට රජයට අයත් ව්‍යාපාර, රජය විසින් මෙහෙයවන පෞද්ගලික ව්‍යාපාර හා මෙම ‍ෙදඅංශයටම අයත් ව්‍යාපාර අයත්ය.	selasumgatha arthikayata rajayata ayath vyapara, rajaya visin meheyawana paudgalika vyapara ha mema de-anshayatama ayath vyapara ayathya.
බැලක්ලාවා හෙවත් බැලක්ලාවා හිස්වැස්ම හෝ හිම මුහුණු වැස්ම යනුවෙන් හඳුන්වන්නේ මුහුණේ කොටසක් පමණක් නිරාවරණය වන සේ පැළඳිය හැකි රෙදි හිස්වැස්මකි.	balaclava hewath balaclava hiswesma ho hima muhunu wesma yanuwen handunwanne muhune kotasak pamanak nirawaranay wana se pelandiya heki redi hiswesmaki.
එහි ප්‍රතිඵලයක් ලෙස, උතුරු කොරියානු පාසල්වල 5-9 ශ්‍රේණි දක්වා බාවිතයට චීන-අක්ෂර පෙළපොතක් නිර්මාණය කෙරුණු අතර, එමගින් අක්ෂර 1,500ක් ද, උසස් පාසල් සිසුන්ට තවත් අක්ෂර 500ක් ද ඉගැන්විණි.	ehi prathiphalayak lesa, uthuru Koreanu pasalwala 5-9 shreni dakwa bhavithayata china akshara pelapothak nirmanaya kerunu athara emagin akshara 1,500k da, usas pasal sisumta thawath akshara 500k da igenwini.
ඇතැම් රෝගීන් රෝහල් කරා පැමිණීමෙන් රෝග සඳහා නිර්ණයක් ලබාගැනීම හා ප්‍රතිකාර ලබාගැනීම පිණිස වන අතර ඉන්පසුව ඔවුන් බාහිර රෝගීන් ලෙස ප්‍රතිකාර ලබා පිටව යති.	ethem rogin rohal kara peminimen roga sandaha nirnayak labagenima ha prathikara labagenima pinisa wa athara inpasuwa ovun bahira rogin lesa prathikara laba pitawa yathi.
ක්‍රිස්තියානි ආගම ප්‍රධාන වශයෙන් ආගම් දෙකකට බෙදේ.	kristhiyani agama pradhana vashayen agama dekakata bede.
ශ්‍රී ලංකා පාපන්දු සම්මේලනය මෙරට පාපන්දු ක්‍රීඩාවට බලපැවැත්වෙන ආයතයනයයි.	Sri Lanka papandu sammelanaya merata papandu kridawata bala pewethwena ayathanayayi.
ඉංග්‍රිසි ආධිපත්‍යය පැතිරීම ක්‍රිකට් ක්‍රිඩාව පිට රටවලට පැතිරීමට හෙතු වූ අතර 19වන සියවස මැද භාගය වන විට මුල්ම ජාත්‍යන්තර තරග පැවැත්වුනි.	ingrisi adhipathya pethirima cricket kridawa pita ratawalata pethirimata hethu vu athara 19 wana siyawasa meda bhagaya wana wita mulma jathyanthra tharaga pewethwuni.
මහා විහාරය	maha viharaya
සැබවින්ම කැප්ටන් ඩෝසන්ගේ බංගලාව අද දවසේ හඳුන්වනනේ අඹේපුස්ස තානායම ලෙසයි.	sebevinma capton Dorzange bangalawa ada dawase handunwanne ambepussa thanayama lesayi.
බලාගාරයෙන් නිපදවන සෑම කිලෝවොට් පැය 1 කටම, පළමු වසර අට සඳහා, ලංකා විදුලිබල මණ්ඩලය විසින් Senok ආයතනයට රුපියල් 20 ක මුදලක් ගෙවනු ලැබේ.	balagarayen nipadawan sema Kio Watt peya 1katama, palamu wasara ata sandaha, Lanka vidulubala mandalaa visin Senok ayathanayata rupiyal 20ka mudalak gewanu lebe.
වුන්ඩ් අන්තරාවලෝකනය මගින් මනසේ ව්‍යුහය අධ්‍යනය කිරීමේ දී මනා පුහුණුවකින් යුක්තව යොදාගත්හ.	Wundt antharawalokanaya magin manase vyuhaya adhyayanaya kirime di mana puhunuwakin yukthawa yoda gathha.
මෙයට හේතුව වනුයේ කුඩා ළමුන්ගේ රෝග ලක්ෂණ එම වයසට සාමාන්‍ය චිත්ත ස්වභාවයන් ලෙස ගැනීමත් විවිධ පරිසරවල ඔවු‍න්ගේ රෝග ලක්ෂණ වැඩිහිටියන්ට වඩා වෙනස්වීමත් නිසාය.	meyata hethuwa wanuye kuda lamunge roga lakshana ema wayasata samanya chittha svabhawayan lesa genimath vividha parisarawala ovunge roga lakshana wedihitiyanta wada wenaswimath nisaya.
මෙම වෙනසට පාරිසරික හේතු (ගංඟා වැනි) බලපාන්නට ඇත.	mema wenasata parisarika hethu (ganga weni) balapannata etha.
සාමාන්‍ය ජ්‍යාමියෙදී අරය යනු ඕනෑම වෘත්තයක මධ්‍ය ලක්ෂයේ සිට පරිධියට ඇති දුර ප්‍රමාණයයි.	samanya jyamithiyedi araya yanu onema vrutthayaka madhya lakshaye sita paridhiyata ethi dura pramanayai.
අනෙක් අතිව් හදිසි අනුතරුකට ලක්වන තනූගේ දරු ගැබ ගබ්සා වේ.	anek athin hadisi anathurakata lakwan Tanuge daru geba gabsa we.
බොහෝ පරිගණක ක්‍රීඩාවල තත්කාලීන වශයෙන් පරිගණක මඟින් ත්‍රිමාණ ආකෘති විදැහුම්කරණය කිරීමේ හැකියාව ලැබීමට පෙර විදැහුම්කරණය කරන ලද ත්‍රිමාණ ආකෘතිවල රූප sprites ආකාරයට භාවිතා විය.	boho pariganaka kridawala thathkalina vashayen pariganaka magin thrimana akruthi videhumkaranaya kirime hekiyawa lebimata pera videhumkaranaya karana lada thrimana akruthiwala rupa sprites akarayata bhavitha wiya.
මෙම ප්‍රහාරයේ පිහිටුම ඇතැම් විට මැජිනොට් රේඛාව නිසා සිදු වූවා විය හැකිය.	mema praharaye pihituma ethem wita maginot rekhawa nisa sidu vuva wiya hekiya.
මෙම දැල්ල වර්ණයෙන් කහ පැහැවන අතර එය උණුසුම් කිරීමට යොදාගත හොත් එමගින් දැලි තට්ටුවක් උපකරණ පාදමෙහි බැදෙන බැවින් එය අපිරිසිදු යැයි සැලකේ.	memaa della varnayen kaha pehe wana athara eya unusum kirimata yoda gathhoth emagin deli thattuvak upakaranaya padamehi bendena bewin eya apirisidu yeyi selake.
උදාහරණයක් ලෙස වඩු ශිල්පය හා ඉදිකිරීම් ශිල්පය දැක්විය හැක.	udaharanayak lesa wadu shilpaya ha idikirm shilpaya dekwiya heka.
විස්තර සඳහා බලන්න.	wisthara sandaha balanna.
වෛද්‍යවරුන් ඔහුට මාස 6 ක පමණ කාලයක් ජීවත් විය හැකි බව පැවසීය.	vaidyawarun ohuta masa 6ka pamana kalayak jivath wiya heki bawa pewasiya.
ඔහුගේ සත්වන වර්ෂයේ අප්‍රේල් මස අමෙන්හොටෙප්ට සිරියාවේ නහාරින්හි යටත් රාජ්‍යවල මහා කැරැල්ලකට මුහුණ දීමට සිදු විය.	ohuge sath wana warshaye Aprel masa Amenhotepata Siriyawe Naharinhi yatath rajyawala maha kerellakata muhuna dimata sidu wiya.
228. චොන්සං යොල්චා බුන්යාජිදෝ, ශෛලමය කැටයම් සහිත තල ගෝලයක්. කොරියානු රාජකීය කෞතුකාගාරය, සෝල්	228. Chonsang Yulwa Bunyajido, shailamaya ketayam sahitha thala golayak. Koreanu rajakiya kauthukagaray, Seoul
මෙම තත්ත්වය බොක්සිංකරුවන් සහ මල්ලවපොර ශිල්පීන් අතර බහුලව දක්නට ලැබේ.	mema thatthwaya boxingkaruwan saha mallawapora shilpin athara bahulawa daknata lebe.
3 වන සියවසේදි මහා නාග උප රාජ වරයෙක් කරච්ච නම් (වලස් වැව) කුඩා වැවක් තැනවීම ගැන මහා වංශයේ සඳහන් වේ.	3 wana siyawasedi Mahanaga upa rajawarayek Karachcha nam (walas weva) kudua wevak thenawima gena mahawanshaye sandahan we.
තිත් දෙකෙන් කියැවෙන්නේ සිරිපතුල් දෙකක් ඇති බවයි.	thith dekakin kiyewenne siripathul dekak ethi bawayi.
ලිකුඩු මළු සඳහා යොදාගත් ගේජ් 150 පොලිතින්ම මෙහිදී පැකට් සදහා භාවිතා කල යුතුය.	li kudu malu sandaha yodagath guage 150 polythenema mehidi packet sandaha bhavitha kala yuthuya.
1. කලාපය තුළ සාමය, ස්ථාවරත්වය, මිත‍්‍රත්වය හා සංවර්ධනය වැඩිදියුණු කිරීම.	1. kalapaya thula samaya, sthavarathwaya, mithrathwaya ha sanwardhanaya wedi diyunu kirima.
2 සහ 4 වැනි සියවස් අතර රචනා කරන ලදැයි සැලකෙන රාමායන නම් වීර කාව්‍යයෙහි ලංකාව ගැන විස්තර වන්නේ ඵය කුවේර නම් ධනයට අධිපති දෙවියා වෙනුවෙන් විශ්වකර්මයා විසින් නිර්මාණය කරන ලද්දක් ලෙසිනි.	2 saha 4 weni siyawas athara rachana karana ladeyi selakena Ramayana nam vira kawyayehi Lankawa gena visthara wanne eya Kuvera nam dhanayata adhipathi dewiya venuwen vishvakarmaya visin nirmanaya karana laddak lesini.
ජුසේවාස් පියතුමා එම ස්ථානයේ ලි කුරුසියක් සිටවූ අතර අදටත් එම ග්‍රාමය වන සතුන්ගෙන් ආරක්ෂාවී තිබෙන බව ගම්මුන් විශ්වාස කරයි.	Juse Vass piyathuma ema sthanaye li kurusiyak sitawu athara adatath ema gramaya wana sathungen araksha vi thibena bawa gammun vishwasa karayi.
දකුණු ලක බලපිටියේ මාදු ගඟ ජාත්‍යන්තර වශයෙන් පිළිගත් රැම්සා තෙත් බිමකි.	dakunu laka Balapitiye Madu ganga jathyanthara washayen piligath Ramza theth bimaki.
මෙම කෘතිය මගින් භූ ගොලීය සීමාවන් ඔහු දක්වයි.	mema kruthiya magin bhu goliya simavan ohu dakwayi.
එල්ටීටීඊ ය යුධමය වශයෙන් පරාජය කර එහි යුධ ශක්තීන් විනාශ කර දාවිඩ ජාතිකවාදී ව්‍යාපෘතියේ නියෝජිතයෙකු හැටියට එල්ටීටීඊ ය නැති කිරීමය.	LTTEya yudhamaya washayen parajaya kara ehi yudha shakthin vinasha kara dravida jathikavadi vyapruthiye niyojithayeku hetiyata LTTEya nethi kirimataya.
සවුන්ඩ් රිකෝඩර් යනු මයික්‍රොසොෆ්ට් වින්ඩෝස් මෙහෙයුම් පද්ධති තුල අඩංගු ශ්‍රව්‍ය පටිගත කිරීමේ වැඩසටහනකි.	sound recorder yanu Microsoft Windows meheyum paddhathi thula adangu shravya patigatha kirime wedasatahanaki.
නුවරඑළිය දිස්ත්‍රික්කයට අයත්ය.	Nuwara-Eliya disthrikkayata ayathya.
ගම්පහ නගර මධ්‍යයේ හෙනරත්ගොඩ උද්භිද උද්‍යානයට ආසන්නයෙන්ම ගම්පහ දුම්රිය ස්ථානය පිහිටා තිබේ.	Gampaha nagara madhyaye Henarathgoda udbhida udyanayata asannayenma Gampaha dumriya sthanaya pihita thibe.
එවිට ආපෝ ධාතුව ප්‍රකට වෙනවා.	ewita apo dhathuwa prakata wenawa.
මෙම කුඩා සර්පිලාකාර බාහු වටා තරු පොකුරු දැකිය හැකිය.	mema kuda sarpilakara bahu wata tharu pokuru dekiya hekiya.
පාසැල් 25 කින් සමන්විත වන මිනිපේ අධ්‍යාපන කොට්ඨාශයෙහි සමස්ත රජයේ පාසැල් ලැයිස්තුව සඳහා මෙය බලන්න	pasel 25kin samanvitha wana Minipe adhyapana kottasayehi samastha rajaye pasel leyishthuwa sandaha meya balanna
සෑම අපරාධයක් ම අපරාධය සම්පූර්ණ වීමට අත්‍යවශ්‍ය වන සංඝටක වලින් නිර්මාණය වී ඇත.	sema aparadhayak ma aparadhaya sampurana wimata athyawashya wana sanghatakawalin nirmanaya wi etha.
සංඛ්‍යාක තිරණයකට හෝ විනිවිදින තිරවයක ඇති දිප්ත පරාසවය වඩා වැඩි දීප්ති පරාසයක් ග්‍රහණය කර ගැනීමේ හැකියාව සාමාන්‍ය සේවා සංඛලයක් සතුවේ.	sankhyanka thiranayakata ho vinividina thirayaka ethi diptha parasaya wada wedi dipthi parasayak grahanaya kara genime hekiyawa samanya sewa sankhalayak sathu we.
මෙහි කෙලවර ඇතැම් විට කම්බි පුඩුවක් සාදා ඇත.	mehi kelawara ethem wita kambi puduwak sada etha.
හුණු වටයේ කථාවේ අසඩක්, ගම්පෙරළියේ පියල්, මනමේ නාට්‍යයේ මනමේ කුමරු, දු දරුවෝහි සුදු සීයා ලෙස මෙරට රසික මතකයේ නොමැකී රඳමින් හෙන්රි ජයසේන ‍අප අතර සදා සජීවී කලාකරුවෙක් ලෙස රඳනු ඇත.	Hunu wataye kathawe Asadak, Gamperaliye Piyal, Maname natyaye Maname kumaru, Du Daruwohi sudu siya lesa merata rasika mathakaye nomeki randamin Henry Jayasena apa athara sada sajivi kalakaruwek lesa rendenu etha.
පළමු සහ දෙවන වට සඳහා, 300-මන්ත්‍රී සංඛ්‍යාවකින් සැදි මණ්ඩලය වෙතින් 200 ක සුපිරිබහුතරයක් අවශ්‍ය වන අතර, තුන්වැන්නේදී මෙය 180 දක්වා පහත වැටෙයි.	palamu saha dewana wata sandaha. 300-manthri sankhyawakin sedi mandalaya vethin 200ka supiri bahutharayak avashya wana athara thunwennedi meya 180 dakwa pahatha weteyi.
එතුමා වසර 16ක් සේවයේ නිරත විය.	ethuma wasara 16k sewaye niratha wiya.
බොහෝ විට ලිපිය නොවැසෙන සේ කටාරමට යටින් ගල් කැබලි හෝ මැටි උපයෝගි කරගෙන වරිච්චි බිත්ති බැඳ කවුළුවක්‌ සහිත දොරටුවක්‌ තබා වැසි පිණි හා සතුන්ගෙන් ඇතිවිය හැකි හිරිහැර වළක්‌වා ගැනීම සඳහා "ආවාස කුටි" සකස්‌ කර දි තිබේ.	boho wita lipiya nowesena se kataramata yatin gal kebali ho meti upayogi karagena warichchi bitthi benda kawluwak sahitha doratuwak thaba wesi pini ha sathungen ethi wiya heki hirihera walakwa genima sandaha "awasa kuti" sakas kara di thibe.
එමෙන්ම උෂ්ණ කලාපීය වාසුළි නිසා අහස වළාකුලින් බරවෙයි.	emenma ushna kalapiya wasuli nia ahasa walakulin barawweyi.
1991 දී සමාජවාදී ෆෙඩරල් යුගොස්ලාවියානු ජනරජයෙන් ස්ලෝවේනියාව සහ ක්‍රෝඒෂියාව වෙන්ව යාමෙන් පසු බහු-වාර්ගික සමාජවාදී බොස්නියා සහ හර්සගොවිනා ජනරජය නිදහස සඳහා ජනමත විචාරණයක් 1992 පෙබරවාරි 29 සම්මත කර ගත්තේය.	1991 di samajawadi federal Yugoslawiyanu janarajayen Sloveniyawa saha Croatiawa wenwa yamen pasu bahu-wargika samajavadi Bosnia saha Herzegovina janarajaya nidahasa sandaha janamatha vicharanayak 1992 Pebarawari 29 sammatha kara gaththeya.
බෝපත් ඇල්ල පිහිටා තිබෙන්නේ ශ්‍රී ලංකාවේ රත්නපුර දිස්ත්‍රික්කයේය.	Bopath ella pihita thibenne Sri Lankawe Rathnapura disthrikakyeya.
සොළොස්මස්ථාන අතර එක් ස්ථානයක්වන මහියංඟනය රුහුණේ සිට රජරට දක්වා වැටී තිබූ ඓතිහාසික මාර්ගයේ පිහිටා තිබූ නිසා මෙම ස්ථානය ආගමික වශයෙන් මෙන්ම දේශපාලණික වශයෙන් ද වැදගත්කමක් උසුලා ඇත.	Solosmasthana athara ek sthanayak wana Mahiyanganaya Ruhune sita rajarata dakwa weti thibu aithihasika margaye pihita thibu nisa mema sthanaya agamika washayen menma deshapalanika washayen da wedagathkamak usula etha.
සැමවිටම එයට අන්තර්-උදම් කලාපයද අඩංගු වන අතර බොහෝවිට අන්තර්-උදම් කලාපය හැඳින්වීමටද භාවිතා වෙයි.	semawitama eyata anthar-udam kalapayada adangu wana athara bohowita anthar-udam kalapaya hendinwimatada bhavitha weyi.
මෙත්තා කරැණා මුදිතා උපේක්ෂා යනු සතර අප්‍රමාණයෝ ය.	mettha, karuna, muditha, upeksha yanu sathara apramanayo ya.
එහි අර්ථය "විස්තීරණයට හේතු වන බලය" වේ.	ehi arthaya "visthiranayata hethu wana balaya" we.
මෙම අවශ්‍යතා දෙකින් එකක් හෝ ඉක්මවන්නේ නම්, සමීකරණ තවදුරටත් නිරවද්‍ය නොවේ.	mema awashyatha dekin ekak ho ikmawanne nam, samikarana thawaduratath nirawadya nowe.
සාමාන්‍යය මස් මාංශ වලින් තරම්ම ප්‍රෝටීන් ප්‍රමාණයක් නොලැබුනද මෙහි එක් විශේෂත්‍වයක් ඇත.	samanya mas manshawalin tharamma protien pramanayak nolebunada mehi ek visheshathwayak etha.
මෙය මානසික ආතතිය ඇති පුද්ගලයන් අතර සුලබ ය.	meya manasika athathiya ethi pudgalayan athara sulabha ya.
රේඛිය ආර්ථිකය	rekhiya arthikaya
වැදි නැටුම, සිංහ නැටුම, වලස් නැටුම, කොටි නැටුම වැනි නර්තන අංගවල අංගම්පොර සටන් ශීල්පීය ක්‍රමවේදයන් දක්නට ඇත.	wedi netuma, sinha netuma, walas netuma, koti netuma weni narthana angawala angampora satan shilpiya kramawedayan daknata etha.
මිනිසාගේ කතාබමට සවන්දී එය අනුකරණය කිරීමට ඩොල්ෆින් මාළුවා ජග‍තෙකි.	minisage kathabahata sawan di eya anukaranaya kirimata Dolphin maluwa jagatheki.
මෙහි දී විත්තිකරුට ගැලවී පලා යාමට යාමට කිසිදු මඟක් නොමැති විය යුතුය.	mehi di witthikaruta gelawi pala yamata kisindu magak nomethi wiya yuthuya.
මෙම තත්‍වයට හේතුවී ඇත්තේ කර්මාන්තශාලාවකින් අධික ලෙස හයිඩ්‍රජන් සල්ෆයිඩ් විමෝචනය වීමයි.	mema thatthwayata hethu wi etthe karmanthashalawakin adhika lesa Hydrogen Sulfide vimochanaya wimayi.
•දේහාවරණයේ ස්වේද ග්‍රන්ථි, ස්නේහ ස්‍රාවී ග්‍රන්ථි ඇත.	•dehavaranaye sweda granthi, sneha sravi granthi etha.
උඩුමහලේ කාමර 6ක්, නාන කාමර සහිත වැසිකිලි 4ක්, බැල්කනියක් හා තවත් එක් හිස් අවකාශයක් වේ.	udumahale kamara 6k, nana kamara sahitha vesikili 4k, balconiyak ha thawath ek his awakashayak we.
රාජ්‍ය බලය විදහා දක්වන මෙවලම් වශයෙන් ඔහුගේ පූර්ණ අණ දීම යටතේ වූ උන් භාවිත කිරීම වෙතින් බලවත් පණිවුඩයක් යැවුණේ ඉතා බලවත් ජීවීන් මස්තකයෙහි පවා සිය ආධිපතිත්වය පැතිරවීමට පාලකයාට ඇති හැකියාව විය.	rajya balaya vidaha dakwana mewalam vashayen ohuge purna ana dima yatathe vu un bhavitha kirima wethin balawath panivudayak yewune itha balawath jivin masthakayehi pawa siya adhipathvaya pethirawimata palakayata ethi hekiyawa wiya.
මෙම සිද්දිය හේතුවෙන් සිඩි බෞසිඩ් නගරයේ විරෝධතා හට ගත්තේය.	mema siddhiya hethuwen Sidy Bousid nagaraye virodhatha hata gattheya.
ඝෝෂාල්ට අනුව "චිත්‍රපටයේ අලංකාර කිහිපයක් ගීත ඇතුළත් වේ. මෙහි ජන සංකලනය, ජීවමාන ගතියටත් වඩා විශාල සැකසුම් ආදිය විශිෂ්ට ය. මෙය විශේෂ සංග්‍රහයක් වනු ඇත."	Ghoshalta anuwa "chithrapataye alankara kihipayak geetha ethulath we. Mehi jana sankalanaya, jivamana gathiyatath wada vishala sekasum adiya vishishta ya. Meya viishesha sangrahayak wanu etha."
මේවා සම්බන්ඳ කරන කෘතීම ඇළ මාර්ගයන්හි බැස්ම සැතපුමකට අඟල් 6 ක් පමණ වීමෙන් පෙන්නුම් කරන්නේ මිණුම් හා ඉදිකිරිම් තාක්ෂණයේ පැවති දියුණුවයි.	mewa sambandha karana kruthrima ela margayanhi besma sethapumakata angal 6k pamana vimen pennum karanne minum ha idi kirim thakshanaye pewathi diyunuwayi.
නැටුම් අධ්‍යක්ෂණය - රොනල්ඩ් ප්‍රනාන්දු, චන්ද්‍රිකා සිරිවර්ධන	netum adhyakshanaya - Ronald Fernando, Chandrika Siriwardhana
ඉන්දියානු උපමහාද්වීපයෙන් පැමිණි හින්දු ආගම හා සම්බන්ධයක් නොපෙන්වන ඉන්දුනීසියාවේ නැගෙනහිර වෙරළ තීරයේ ජනයා පවා දියුණු ලෝහ තාක්ෂණ ක්‍රම අනුගමනය කොට ඇත.	Indiyanu upa mahadvipayen pemini Hindu agama ha sambandhayak nopenwana indunisiyawe nengenahira werala thiraye janaya pawa diyunu loha thakshana krama anugamanaya kota etha.
II. යුධමය විසඳුම් ක්‍රියාමාර්ගයෙන් ඉවත්වන ලෙස කෙරුණු ජාත්‍යන්තර බලපෑම්වලට ආණ්ඩුව යට වීම.	II. Yudhamaya visandum kriya margayen iwath wana lesa kerunu jathyanthara balapemwalata anduwa yata wima.
