پاڪستان	Pakistan
جا	ja
پن	pan
معدي	maday
۽	aen
جگر	jighar
کي	khay
تقويت	taqweat
ڏين	dayan
ٿا،	tha,
دستن	dastan
کي	khay
بند	band
ڪن	kan
ٿا،	tha,
رحم	raham
جي	Jay
سوڄ	soj
۽	aen
سور،	soor,
بادفرنگ	badfring
جي	jay
ڦٽن،	fatan,
بدن	badan
جي	jay
خارش،	kharish,
جذام،	juzam,
مثاني	masanay
جي	jay
ڦٽ،	fit,
پرميل،	parmail,
پيشاب	peshab
جي	jay
ساڙي	saray
لاءِ	lai
مفيد	mufeed
آهي.	ahy.
</s>	</s>
وچئين	Wichen
مکيه	mukia
ونگ	wing
جي	jay
هيٺئين	hathen
پاسي	pasy
تي	tay
اصلي	asli
سنجٽ	sanjat
جا	ja
ڪجهه	kujh
حصا	hisa
اڃا	anja
به	ba
بچيل	bachyal
آهن.	ahin.
</s>	</s>
پر	Par
وري	waree
ڳوٺ	ghoth
لاڙڪاڻي	larkanay
۾	main
اچي	achi
گورنمينٽ	Government
هاءِ	hai
اسڪول	School
۾	main
داخلا	dakhila
ورتائين	wartain
۽	aen
1950ع	1950eesvi
۾	main
مئٽرڪ	Matric
پاس	paas
ڪيائين.	kayaen.
</s>	</s>
عرب	Arab
دور	door
۾	main
سنڌي	sindhi
شاعرن	shairan
جا	ja
حوالا	hawala
ملن	milan
ٿا	tha
۽	aen
ان	un
دور	door
۾	main
قرآن	Quraan
جو	jo
سنڌي	sindhi
۾	main
ترجمو	tarjmo
ڪرڻ	karan
جا	Ja
مثال	misal
پڻ	pin
ملن	malan
ٿا،	tha,
پر	par
سنڌ	sindh
جي	jay
ليکڪن	lakhakan
جي	jay
گھڻائي	ghanai
انهن	unhan
کي	khay
سنڌي	sindhi
ادب	adab
جو	jo
دور	dor
نٿا	natha
ڪوٺين.	kotheen.
</s>	</s>
هشام	Hasham
راجا	raja
کان	khan
انهن	unhan
جو	jo
هٿ	hath
گهريو	ghuryo
پر	par
راجا	raja
ڏيڻ	dayan
کان	khan
نابري	nabri
واري،	wari,
تنهن	tanh
تي	tay
هشام	Hasham
مٿس	Mathas
151	151
هه	hah
(69 ــ 768ع)	(69,768 essvi )
تي	tay
حملو	hamlo
ڪيو.	kayo.
</s>	</s>
ان	In
وقت	waqt
تائين،	tain,
جڏهن	jadhain
چچ،	Chach,
برهمڻ	Barhaman
۽	aen
اروڙ	Aror
جو	jo
رهواسي،	rehwasi,
جو	jo
راءِ	raye
سهاسي	sahasi
ٻئي	bai
وٽ	wat
نوڪريءَ	nokiria
۾	main
گھڙيو،	gharion,
۽	aen
هُشياري	hushiari
سبب	sabab
سندس	sandas
وزير	wazeer
بنيو،	banion,
۽	aen
راجا	raja
جي	je
مهاراڻيءَ،	Mahararian,
سُهاندي	Suhandi
(سونهن	(Sunh
ديوي)	Devi)
جي	jay
زلفن	zulfun
جي	jay
پيچ	beach
۾	main
ڦاٿو	fatho
۽	aen
راجا	Raja
کي	khey
ٻيءَ	baia
جھان	jahan
جي	jai
ٽڪٽ	ticket
وٺرائي،	wathrai,
بعد	bad
۾	main
پاڻ	parr
زوريءَ	zoria
اروڙ	aror
جو	jo
حاڪم	hakim
بنيو.	banio.
</s>	</s>
ساڳيو	Sagio
مصنف	Musanif
لکي	likhe
ٿو	tho
ته: ”سندس	ta:"sandas
دؤر	dor
۾	main
عالم	aalim
صالح،	salah,
بزرگ	buzurg
۽	aen
فقير	faqeer
سڀ	sabh
خوش	khush
و	o
خرم،	khuram,
۽	aen
رعيت	raeet
خواهه	khwah
سپاهي	sipahi
فارغ	farigh
البال	ul bal
۽	aen
آسوده	aasudha
حال	haal
هئا.“	hua."
</s>	</s>
پوءِ	Poye
اهي	uhay
قطار	qatar
جي	jay
اٺن	uthan
جي	jay
گوڏين	godian
۾	main
گهنگهرو	ghanghro
ٻڌي	badhi
ڇڏيندا	chadienda
هئا،	hua,
۽	aen
ڳچيءَ	gichia
۾	main
چڙا	chara
يا	ya
گهنڊ	Gandh
ٻڌندا	badhanda
هئا،	hua,
جنهن	jainh
جو	jo
مطلب	matlab
هي	hi
هوندو	hondo
هو	ho
ته	ta
جي	jay
ڪو	ko
اٺ	uth
قطار	qatar
مان	maan
ڇڄي	chajay
وڃي،	wajain,
ته	Ta
چڙي	charai
۽	aen
گهنگهرن	ghangharan
جي	jay
آواز	awaz
تي	tai
خبر	khabar
پئجي	paiji
وڃي،	wajain,
۽	aen
کيس	khais
ڳولي	gholai
لهجي	lahjai
پر	par
جي	jay
اٺ	uth
قطار	Qataar
۾	main
هلن	halan
ته	ta
سندن	sandan
گهنگهرو	ghangharo
۽	aen
چڙا	chara
هڪ	hik
قسم	qisim
جو	jo
تال	taal
۽	aen
موسيقي	mosiqi
پيدا	paida
ڪندا	kanda
آهن.	aahin.
</s>	</s>
البت	Albat
هيٺئين	haithian
واقعي	waqe
مان	maan
اهو	uho
معلوم	maloom
ٿئي	thai
ٿو	tho
ته	ta
انهيءَ	inhia
زماني	zamanai
۾	main
سنڌي	sindhi
زبان	zaban
جي	jay
نثر	nasar
خواهه	Khwah
نظم	nazam
۾	main
ڪتابن	kitaban
تصنيف	tasneaf
ڪرڻ	karar
جو	jo
رواج	rawaj
هو،	ho,
۽	aen
زبان	zaban
ايتري	aetri
قدر	kadar
مقبول	maqbool
هئي	hoi
جو	jo
خود	Khud
ٻاهريان	bahirian
ماڻهو	marunh
به	ba
سنڌي	sindhi
زبان	zaban
ڄاڻڻ	jarar
نه	na
فقط	faqat
ضروري	zarori
سمجهندا	samjhanda
هئا،	hua,
بلڪه	balkah
ان	in
۾	main
ايترو	aaitro
ڪمال	Kamal
پيدا	paida
ڪري	karai
چڪا	chaka
هئا	hua
جو	jo
نظم	nazam
خواهه	khwah
نثر	nasar
بلاتڪلف	bila takaluf
لکي	likhi
ويندا	wainda
هئا.	hua.
</s>	</s>
ڊيءَ	Dhia
سندس	sandas
پيڇو	paicho
نه	na
ڇڏيو	chadio
۽	aen
نئين	nain
پاڪستاني	Pakistani
حڪومت	hukumat
هڪدم	hikdam
ملڪ	mulk
ڇڏڻ	chadar
جو	jo
پروانو	parwano
هٿ	hath
۾	main
ڏئي،	dai,
کيس	khais
سنڌ	sindh
مان	maan
زوريءَ	Zoria
روانو	rawano
ڪيو	kio
۽	aen
هو	ho
اکين	akhean
مان	maan
لڙڪ	lurk
لاڙيندو	lariendo
پنهنجي	pahnjay
جنم	janam
ڀومي	Bhomi
کي	khey
الوداع	alwida
ڪري	karay
هند	hand
روانو	rawano
ٿي	thi
ويو.	wayo.
</s>	</s>
مخدوم	Makhdoom
محمد	Muhammad
زمان	Zaman
طالب	Talib
الموليٰ	al Mola
پنهنجي	pahinjay
تصنيف	tasneef
ڪيل	kayal
ڪتاب	kitab
”ڪافي“	"kafi"
۾،	main,
جيڪو	jaiko
ڪافي	kafi
متعلق	mutaliq
تحقيق	tehqeeq
جي	jay
ابتدائي	ibtidai
ڏاڪن	dhakan
۾	main
معتبر	matabar
حيثيت	haisiat
رکي	rakhi
ٿو،	tho,
لکيو	likhio
آهي	ahey
ته: ”منهنجي	ta:munhanji
تحقيق	tehqeeq
هيءَ	hea
آهي	Aahy
ته	ta
سنڌيءَ	sindhia
۾	main
هي	hi
جيڪو	jaiko
ڪافيءَ	kafia
جو	jo
استعمال	istamal
ٿئي	thai
ٿو،	tho,
سو	so
بنهه	binah
غلط	ghalat
آهي،	aahai,
ڇو	cho
ته	ta
ان	in
لفظ	lafz
مان	maan
بيت	bait
يا	yaan
شعر	shair
جي	jay
معنيٰ	manai
اصل	asal
ڪانه	kana
ٿي	thi
نڪري.	nikray.
</s>	</s>
ٻيون	Bion
ٻوليون	bolion
2.91	2.91
سيڪڙو،	saikro,
جيڪي	jaikai
ڪشمير،	Kashmir,
گلگت	Gilgit
۽	aen
لداخ	Ladagh
وغيره	waghaira
۾	main
ڳالهائيون	ghalaion
وڃن	wajan
ٿيون،	thion,
جهڙوڪ:	jaihrol:
ڪشميري،	Kashmir,
هندڪو،	Hindko,
بلتي،	Balti,
کوار،	Kawar,
شينا،	Shina,
شورسيني،	shorseni,
پشاچي،	pashachi,
توروالي	torowali
وغيره.	waghera.
</s>	</s>
پر	Par
وري	wari
فساد	fasad
ڪيائين	kayain
۽	aen
دھليءَ	dahlia
واري	waray
غدر	ghadar
۾	main
شامل	shamil
ھئڻ	huarn
ڪري	karay
گرفتار	giriftar
ٿي	thi
عدن	adan
ڏي	dai
روانو	rawano
ڪيو	kayo
ويو،	wayo,
جتي	jitay
مري	mari
ويو.	wayo.
</s>	</s>
هن	Hin
فيصلو	feslo
ڪندڙ	kandar
جنگ	jang
۾	main
چارلس	Charlas
نيپئر	nepear
دوکي	dokhay
سان	san
ٽالپور	Talpuran
ميرن	meeran
جي	jay
بلوچ	balouch
فوج	foj
کي	khay
هارائي	harai
حيدرآباد	Hyderabad
سنڌ	Sindh
تي	tay
قبضو	qabzo
ڪيو.	kayo.
</s>	</s>
هي	Hi
حالتون	halton
تيستائين	testain
ڪونه	ko na
بدلبيون، جيستائين	badleyon,jestaen
سنڌو	Sindhu
ڪنهن	kanh
به	ba
فطري	fatri
سبب	sabab
کان	khan
لاڙ	lar
وارو	waro
پنهنجو	panhjo
موجوده	mojoda
وهڪرو	wahkro
بدلائي، اوڀر	badlai ,obhar
ڏانهنس	danh
رڪي	raki
وڃي	wijeh
۽	aen
هڪڙي	hikray
ڦاٽ	Phat
ڏکڻ	dakhan
–	-
اولهه	olah
ڏانهن	danhn
ڇڏي	shady
۽	aen
ٻيو	bhayo
ڪڇ	kash
جي	jay
رڻڏانهن	randanh
موڪلي	mokly
ته	ta
پوءِ	poi
سچو	sacho
پچو	pacho
سنڌوءَ	Sindhu
جي	jay
ڇوڙ	shor
وارو	oaro
ٽڪنڊو	takundo
بڻجي	banji
پوندو.	Pawndo.
</s>	</s>
اوهان	Awhan
اسلام ء	islam
مسلمانن	musalmanan
جي	jay
لاءَ	lai
ڪافي	kaafi
قربانيون	qurbanion
ڏنيو	dinio
آهن	ahin
اوهان	awhan
جا	jaa
تي	te
پٽ	putu
2014	2014
۾	men
القدس	Al quds
ريلي	rely
۾	men
نائيجيريا	nigeria
جي	je
فوج	fauj
جي	je
هٿان	hathan
قتل	qatal
ٿيا	Thian
ان	in
ريلي	rely
جي	jay
سربراهي	sarbarahi uhay
اوهان	awhan
ڪري	karey
رهيا	rhia
هوا	hua
جنهن	jainh
۾	main
سني	suni
ء	aen
شيعه	shia
گڏ	gad
هواجنهن	hua jainh
۾	main
30 هزار	30hazar
مسلمان	Musalman
شهيد	shahid
ٿيا، 13	thia,13
ڊسمبر	December
2015	2015
زاريا	Zaria
۾	main
موجود	mojood
قديمي	qadimi
امام	Imam
بارگاه	Bargah
بقيت	Baqiqt
الله	Allah
۾	main
مجلس	majliss
پڙهي	parih
رهيا	rahya
هوا	hua
تڏهن	tadainh
نائيجيرين	naijairian
فوج	foj
اوهان	awhan
جي	jay
گهر	ghar
تي	tay
چڙهائي	charhain
ڪئين	kain
جنهن	jainh
۾	main
اوهان	awhan
جو	Jo
چوٿهون	chothon
ء	aen
آخري	akhri
پٽ	put
سندس	sandas
ماءَ	mau
سان	saan
گڏ	gad
قتل	qatal
ڀيو	payo
ء	aen
اوهان	awhan
کي	khey
گرفتار	griftar
ڪري	karay
نا	na
معلوم	malom
مقام	maqam
تي	tay
منتقل	muntiqal
ڪري	karay
چڏيو	chadio
آهي.	aahy.
</s>	</s>
(2) مخدوم	(2)Makhdoom
عبدالخالق	Abdul Khaliq
عرف	urf
مخدوم	Makhdoom
دين	Din
محمد،	Muhammad,
هي	hi
صاحب	sahib
به	ba
نهايت	nihayat
قابل	qabil
۽	aen
دانشمند	danishmand
هو.	ho.
</s>	</s>
انهيءَ	Unhi
حوض	hoz
جي	jay
چؤگرد	chowdhari
ميويدار	mewadar
وڻ	wan
۽	aen
گلن	gulan
وارا	wara
-ٻوٽا-	-bhota-
به	ba
ترتيب	tarteeb
سان	san
نقش	naqsh
ٿيل	thayal
آهن.	ahin.
</s>	</s>
هارمونيم	Harmonyam
۾	main
’نکاد‘	'nakad'
جي	jay
سر	sar
کان	khan
موٽي	moti
’کرج‘	"khirij "
تائين	tain
اچڻ	achan
کي	khay-
-امروهي- چيو	amrohi-chayo
ويندو	wendo
آهي.	ahy.
</s>	</s>
الطاف	Altaf
شيخ	Shaikh
پنهجي	panhjay
سفرنامن	safrnaman
۾	main
پنهنجي	panhjay
وطن	watan
سنڌ	Sindh
کي	khay
ڪڏهن	kadah
به	ba
وساريو	wasaryo
نه	na
آهي.	ahy.
</s>	</s>
ٻار،	Bhar,
رڌم	radham
۽	aen
جهونگار	jhonghar
جو	jo
فهم	faham
ٻين	bhayan
سمورين	samoryun
شين	shayan
کان	khan
وڌيڪ	wadhek
رکن	rakhan
ٿا.	tha.
</s>	</s>
هڪ	Hik
سنگيت	sanget
ڪار	kar
لاءِ	lai
هي	hi
سڀ	sabh
خطاب	khitab
وڏي	waday
اعزاز	aizaz
۽	aen
عزت	azat
جو	jo
نشان	nashan
سمجهيا	samjhya
وڃن	wanjan
ٿا.	tha.
</s>	</s>
وڌيڪ	Wadhek
اوهان	awhan
کي	khay
ياد	yad
ڏياريندس	dayarends
ته	ta
فرينچ	french
ادب	adab
ٻن	bhin
صدين	sadyun
تائين	tain
جرمنن	jarmnan
پڙهيو	parhyo
۽	aen
پسند	pasand
ڪيو،	kayo,
جرمن	jarman
زبان	zaban
جي	jay
ادب	adab
کي	khay
ترقي	tarki
ڏيارڻ	dayaran
۾	main
فرينچ	French
ادب	adab
جو	jo
وڏو	waddo
حصو	hisso
آهي.	ahey.
</s>	</s>
(غلام	(Gulam
شاهه	Shah
جو	jo
حال	hal
مفلسيءَ	muflisi
سبب	sabab
نهايت	nahayat
خراب	kharab
هو.)	ho.)
</s>	</s>
ليڪن	Lakin
مرتب	murtab
يا	yan
مترجم	Mutarjum
خاص	khas
توجه	tawaj
جاگرافيائي	jagrafyai
ماڳن	maghan
جي	jee
نشاندهي،	nashandhi,
ڪتاب	kitab
۾	main
ذڪر	zikar
هيٺ	heth
آيل	ayal
ماڻهن	manhan
۽	aen
ان	un
دور	door
جي	jay
انتظامي	intzami
ٻوليءَ	bholi
جي	jee
تشريح	tashreh
تي	te
ڏنو	dino
آهي.	ahe.
</s>	</s>
هندستان	Hindustan
جي	jay
پراڻن	puranan
شهرن	shaharan
مان	man
هو.	ho.
</s>	</s>
ان	Un
مرض	maraz
جو	jo
علاج	ilaaj
ڪانٽيڪٽ	contact
لينس	lens
جي	jay
ذريعي	zreay
ئي	ee
سگھي	sghay
ٿو.	tho.
</s>	</s>
گجراتي	Gujrati
رسم	rasam
الخط	alkhat
کاٻي	khabhi
کان	khan
ساڄي	saji
طرف	tarf
لکبو	lakhbo
آھي.	ahy.
</s>	</s>
هن	Hin
ڊراما	drama
۾	main
موسيقيءَ	moseki
۾	main
وڏو	wado
عمل	amal
دخل	dakhal
ٿيندو	thendo
اھي.	ahy.
</s>	</s>
اها	Aha
آڪاش	aakash
واڻي	wani
ٻڌي	bhadhi
ڪنس	kans
ديوڪيءَ	dewki
کي	khay
مارڻ	maran
ٿي	thay
چاهيو،	chahyo,
پر	par
واسديو	wasdev
ڪنس	kins
کي	khay
اهو	uho
وچن	wachan
ڏيئي	deay
ديوڪيءَ	dewki
کي	khey
بچائي	bachai
ورتو	warto
ته،	ta
”ديوڪيءَ	"dewki'a
جي	jee
پيٽ	pait
مان	Maan
جيڪو	jeko
به	ba
اولاد	olad
ٿيندو،	thendo
سو	so
تنهنجي	tunhjay
حوالي	hawaly
ڪيو	kayo
ويندو،	wendo
جنهن	janh
۾	main
توکي	tokhay
شڪ	shak
لڳي، ان	lagay,un
کي	khay
ماري	mary
ڇڏجانءِ،	shadjan
پر	par
ڀيڻ	bhen
کي	khay
مارڻ	maran
مهاپاپ	maha pap
آهي.“	ahy.
</s>	</s>
ڪجھ	Kujh
عرصي	arsay
کانپوءِ	khan poi
اٽڪل	atkal
1701ع	1701essvi
۾	main
ميان يار	Mian
محمد	Muhammad
ڪلهوڙو	Kalhoro
بلوچستان	Balochistan
کان	khan
واپس	wapas
منڇر	Manshar
ڍنڍ	dhandh
ڪناري	kenaray
ڳوٺ	Ghoth
سانوه	sanwa
(موجوده	(mojoda
ساوڙو،	sawro
جوهي	Johi
تعلقو) کان	tailko )khan
ٿيندي	thenday
قيصر	Qaser
پنهور	Panhwer
کان	khan
ڳوٺ	ghoth
سامتاڻي	samtani
کسي,	kasi,
ڳوٺ	ghoth
ڳاها	ghaha
( هاڻجوهي	,(Haron he
تعلقو)	talluqo )
۾ ويهي	mein
ميانوال	Mianwali
تحريڪ	Tahreek
کي	khay
سرگرم	sargram
ڪيائين	kayain
شڪارپور	Shikarpur
پنهورڪِي	pnhwerki
(هاڻ	(Han
خدا آباد)،	Khudabad ),
مرکپور	Murakpur
( هاڻ	(Hanrn
دادو	dadu
شهر	sheher
جو	jo
محلو)	mohallo)
۽	aen
فتحپور	Fateh pur
جا	ja
ڳوٺ	ghoth
قبضي	qabzay
۾	main
آندائين.	andaaen.
</s>	</s>
ترجمو:	Tarjumo:
(مان	(Man
کليو	khulyio
ڳالهائي	ghalyai
رهيو	rahyo
آهيان	ahyan
۽	aen
جيڪي	jekay
چوان	chawan
ٿو	tho
انهيءَ	unhi
تي	tay
خوش	khush
آهيان،	ahyan,
مان	man
عشق	ashiq
جو	jo
بندو	bando
آهيان	ahyan
۽	aen
ٻنهي	bhanhi
جهانن	jahanan
کان	khan
آزاد	azad
آهيان.)	ahyan.)
</s>	</s>
منزل	Munzil
مراد	Murad
جا	ja
مسافر	Musafir
حق	haq
۽	aen
انصاف	insaf
جي	jay
رستي	rasty
جي	jee
چونڊ	chond
ڪن	kan
ٿا.	tha.
</s>	</s>
تڏھن	Tadahan
ٽائيٽن	tain
انسان	insan
جي	jay
رھڻ	rahan
لاء	lai
ھڪ	hik
بھترين	behtren
جڳه	jagah
ھوندي.	hondi.
</s>	</s>
سندس	Sands
مستقل	musqil
رهائش	rehaish
سلطان	Sultan
ڪوٽ	kot
ضلعي	zalay
شڪارپور	Shikarpur
۾	main
آهي.	ahay.
</s>	</s>
اهي	Ahy
کائبيون	Khaibyon
ناهن.	nahin.
</s>	</s>
ڪجهه	Kujh
عرصي	arsy
کانپوءِ هي	khan poi
حيدرآباد	Hyderabad
۾	main
اچي	achi
رهائش	rehaish
پذير	pazeer
ٿيا.	thaya,
-پاڪستان-	-Pakistan-
ٺهڻ	thahan
کان	khan
پوءِ	poi
جڏهن	jadah
سڀ	sabh
-انگريز-	-angrez-
آفيسر	oficers
موٽي	moti
لنڊن	london
ويا،	waya,
تڏهن	tadah
هن	hin
جي	jee
پيءُ	piyo
۽	aen
زال	Zal
به	ba
موٽي	moti
هلڻ	halan
لاءِ	lai
ضد	zid
ڪيو،	kayo,
آخرڪار	akhirkar
هن	hin
جي	jay
انڪار	inkar
بعد	bad
علي	Ali
گوهر	Ghohar
ڪاٽ	Kaat
جو	jo
پيءُ،	pew ,
زال ۽	zal
-ٻار-	bhar
کانئنس	khans
ناراض	naraz
ٿي	thi
لنڊن	london
هليا	halya
ويا.	waya.
</s>	</s>
-ابوالبقا- -امير-	Abu Al Baqa--Ameer-
خان	Khan
ولد -ابوالقاسم	wald-Abu Al Qasim
نمڪين-، هو	namkeen-,ho
شاهجهان	shahjhan-
-بادشاهه- جي	Badshah-jay
وقت	waqat
۾	main
سنڌ	sindh
جي	jay
مختلف	mukhtlaf
علائقن	alaikan
جو	jo
حاڪم	hakim
۽	aen
نواب	nawab
مقرر	muqarar
ٿيو.	thayo.
</s>	</s>
ــــــــــــ سچل	_______Sachal
سرمست	Sarmast
بين	ben
الاقوامي	alaqwami
شاعر.	shair.
</s>	</s>
ريڊيو	Radio
نشريات	nashryat
مان	main
”تلقين	"talqeen
شاهه“	shah"
هن	hin
جو	jo
سڀ	sabh
کان	khan
مقبول	maqbol
فيچر	fecher
هو.	ho.
</s>	</s>
دودي	Doday
جي	jee
شھادت، رياست	shahadat,rayasat
جي	jay
حاڪم	hakim
جي	jay
شھادت	shahadat
ڪانه	ka na
ھئي،	hui,
پر	par
اھا	aha
شھادت	shahadat
سڄي	saji
معاشري	muashary
جي،	jay,
ساٿ	sath
ڌڻي	dhani
سرواڻ	sarwan
جي	jay
شھادت	shahadat
ھئي،	hui,
ڇاڪاڻ	chakarn
ته	Ta
اھا	uha
ويڙھ	warh
سلامت	slamat
شاھي	shahi
جي	jee
طاقت	takat
۽	aen
ڦرلٽ	phurlut
خلاف	khilaf
پورھيت	porhyat
ھنرمندن	hunarmandun
۽	aen
واپارين	waparain
جي	jay
اتحاد	ithad
وطنيت	wtanyat
۽	aen
قومي	qomi
ثقافت	saqafat
جي	jee
جنگ	jang
ھئي.	hui.
</s>	</s>
سيد	Sayed
قائم	Qaim
علي	Ali
شاھ	shah
(اردو: سید	(urdu,Sayed
قائم	Qaim
علی	Ali
شاہ,انگريزي	shah, angreze
ٻولي: Qaim	boli:Qaim
Ali	Ali
Shah)	Shah )
سنڌ	Sindh
جو	Jo
اڳوڻو	Aghono
وڏو	wado
وزير	wazeer
۽	aen
پاڪستان	Pakisan
پيپلز	Peoples
پارٽي	party
سنڌ	Sindh
جو	jo
سربراھ	Sarbrah
آھي	ahy aen
۽	an
پڻ	pin
تَڪَ	tak
نمبر	numer
PS-220 خيرپور	PS-220,Khairpur
تان	tan
صوبائي	sobai
اسيمبليءَ	Assembly
جو	jo
ميمبر	member
پڻ	pin
آهي.	ahy.
</s>	</s>
مرڻ	Maran
وقت	waqat
وصيت	wasyat
ڪيائين	kayain
ته	ta
سندس	sands
هاٺيون،	hathyon,
سنڌ	Sindh
۾،	main,
سنڌو	Sindhu
نديءَ	nadi
۾	main
پرواهه	parwah
ڪيون	kayon
وڃن.	wanjan.
</s>	</s>
پر	Par
ڪو	ko
زمانو	zamano
هو	ho
جو	jo
انسان	insan
شڪاري	shikare
به	ba
هو	ho
ته	to
شڪار	shikar
به	ba
هو.	ho.
</s>	</s>
گرنٿن	Grinthan
۾	main
هن	hin
جو	jo
نالو	nalo
نٽ	nat
-ڀيروي-	perwi
ميل	mail
ڄاڻايل	janayal
آهي.	ahy.
</s>	</s>
پير	Peer
علي	Ali
محمد	Muhammad
راشدي	Rashidi
جو	jo
شمار	shumar
تحريڪ	Tahreek
پاڪستان	Pakistan
جي	jay
بنيادي	Bunyadi
ڪارڪنن	karknan
۾	main
ٿئي	theay
ٿو۔	tho.
</s>	</s>
اتاترڪ	ataturk
</s>	</s>
سندس	Sandas
فڪر	fikar
انگيز	angez
۽	aen
انقلاب	inqlab
پسند	pasand
تحريرن	tahreeron
نه	na
فقط	faqat
روس	ros
جي	jay
عوام	awam
۽	aen
اهل	ahl
فڪر	fikar
ماڻهن	manhun
کي	Khay
متاثر	mutasir
ڪيو،	kayo,
پر	par
دنيا	dunya
جي	jay
وڏن	wadan
وڏن	wadan
اديبن	adeeban
۽	aen
مفڪرن	mufkran
کي	khay
به	ba
متوجهه	mutwaja
ڪيو.	kayo.
</s>	</s>
(1) ڇُٽا خان مان ڇُٽا پاڙو	(1)
(جنهن	(Janh
تي	tay
سرداري	Sardari
پڳ	pag
آهي)،	ahy) shata khan man jata paro
</s>	</s>
سندس	Sandas
پٽن	putan
مان	man
-آغا-	Agha
زين	zen
العابدين شاهه	ul abiden
(شڪارپور	(Shikarpur
۽	aen
ڪراچيءَ	Karachi
جو	jo
حاڪم)،	hakim),
ڪاظم	Kazim
علي	Ali
شاهه	Shah
(شڪارپور	(Shikarpur
جو	Jo
حاڪم)، تقي	hakim),Taki
شاهه	shah
(شڪارپور	(Shikarpur
جو	jo
ناظم)	nazim )
۽	aen
ابراهيم	Ibraim
شاهه	Shah
(شڪارپور	(Shikarpur
جو	jo
حاڪم)	Hakim)
پڻ	Pin
وڏن	wadan
عهدن	uhdan
تي	Tay
فائز	faiz
هئا،	hua,
-آغا-	Agha
اسماعيل	smile
شاهه،	shah,
ٽالپرن	talpuran
جي	jay
دؤر	door
۾	main
حيدرآباد	Hyedrabad
جي	jay
ڀر	bhar
۾	main
”-ٽنڊو	"-Tando
آغا-	Agha-
اسماعيل“	Ismail"
نالي	naly
هڪ	hik
علائقو	alaiko
-آباد-	abad
ڪري	kary
پنهنجي	Panhjay
خاندان	khandan
لاءِ	lai
اتي	utay
وڏيون	wadyon
وڏيون	wadyon
حويليون	hawelyon
تيار	tayar
ڪرايون.	karayon.
</s>	</s>
سر	Sir
سورٺ	Sorth
</s>	</s>
پاڪستان	Pakistan
جي	jay
آئين	aeen
۾	main
پڻ	pin
مذهبي	mazahbi
آزاديءَ	azadi
بابت	babat
هڪ	hik
مستقل	mustaqil
شِق	shiq
موجود	mojod
آهي،	ahy,
جنهن	janh
تحت	tahat
ڪنهن	kanh
به	ba
ماڻهوءَ	manho
کي	khay
تعليمي	talemi
ادارن	Adarn
۾	main
اهڙي	ahri
مذهب	mazahab
جي	jee
تعليم	taleem
يا	ya
عبادت	abadat
لاءِ	lai
مجبور	majbor
نٿو	natho
ڪري	kary
سگهجي،	saghjay,
جيڪو	jeko
هن	hin
جو	jo
پنهنجو	panhjo
نه	na
آهي.	ahy.
</s>	</s>
هڪ	Hik
سجد	sjd
جا	ja
آثار	asar
آهن،	ahin,
جا	ja
غازي	Ghazi
محمد	Muhammad
بن	Bin
قاسم	Qasim
ڏانهن	danh
منسوب	munsoob
ڪئي	kai
وڃي	wanjy
ٿي.	thi.
</s>	</s>
رسول	Rasool
الله	Allah
صلي	Sal
الله	lallaahu
عليه	Alaihi
وسلم	Wasallam
ٻين	bhayn
صحابن	sahaban
سان	san
گڏ	gad
انهن	unhan
کي	khay
به	ba
جنت	janat
۽	aen
شهادت	shahadat
جي	jay
موت	mot
جي	jay
خوش	khush
خبري	khabri
ڏني۔	dani.
</s>	</s>
پنڊت	Pandat
چنگل	janghal
لال	lal
شرما	sharma
کان	khan
پهريائين	pehrain
راڳ	rag
جي	je
سکيا	sakhya
گنگا	ganga
نگر	nagar
۾	main
ئي	ae
ورتائين.	wartain.
</s>	</s>
ھيء	Hi
ٻوليءَ	bholi
افغانستان	Afghanistan
جي	jay
سرحدي	sarhdi
ٻولي	bholi
مونجي	monji
جھڙي	jehri
آھي	ahy
</s>	</s>
نوٽ:	note:
چون	Chawan
ٿا	tha
ته	ta
شيخ	Shaikh
الشيوخ	AlShewaikh
حضرت	Hazrat
بهاءُ	Baho
الدين	Uddin
زڪريا	Zakrya
ملتاني	Multani
رحه	Rah
التمش	Altamash
کي	khay
ناصرالدين	nasir uddin
جي	jay
بد	bd
ارادن	aradn
کان	khan
واقف	waqif
ڪيو	kayo
هو.	ho.
</s>	</s>
صداقت	Sadaqat
</s>	</s>
ان	Unh
کان	khan
پوءِ	poi
کيس	khais
افغانستان	Afghanistan
جي	jay
مهم	muham
حوالي	hawlay
ڪئي	kai
وئي.	wai.
</s>	</s>
هن	Hin
رسالي	risaale
جي	jee
مئنيجنگ	Managing
ڪاميٽيءَ	Committee
جو	jo
چيئرمين	Chairman
نواز	nawaz
علي	Ali
ڀٽو	Bhutto
۽	aen
چيف	Chief
-ايڊيٽر-	-Editor-
محمد	Muhammad
وسيم	Waseem
خان	Khan
آهي.	aahe.
</s>	</s>
امر	Amar
جليل	Jaleel
نمبر	number
۾	me
مولانا	Maulana
غلام	Ghulam
محمد	Mohammad
گرامي،	Grami,
نسيم	naseem
کرل،	Kharal,
زيب	Zaib
-ڀٽي-،	-Bhatti-,
ڊاڪٽر	Doctor
غلام	Ghulam
علي	Ali
الانا،	Allana,
عبدالقادر	Abdul-Qadir
جوڻيجي،	Junejo,
